task_id,compressarc_top1_solved,compressarc_top2_solved,compressarc_top1_failure,compressarc_top2_failure
bb43febb,1,1,0,0
bbc9ae5d,0,0,1,1
bc1d5164,0,0,1,1
bd4472b8,0,0,1,1
bda2d7a6,1,1,0,0
bdad9b1f,1,1,0,0
be94b721,0,0,1,1
beb8660c,0,0,1,1
c0f76784,1,1,0,0
c1d99e64,1,1,0,0
c3e719e8,0,0,1,1
c3f564a4,1,1,0,0
c444b776,0,0,1,1
c59eb873,0,0,1,1
c8cbb738,0,0,1,1
c8f0f002,1,1,0,0
c909285e,0,0,1,1
c9e6f938,0,0,1,1
c9f8e694,1,1,0,0
caa06a1f,0,0,1,1
cbded52d,1,1,0,0
cce03e0d,0,0,1,1
cdecee7f,0,0,1,1
ce22a75a,0,0,1,1
ce4f8723,0,0,1,1
ce602527,0,0,1,1
ce9e57f2,0,0,1,1
cf98881b,0,0,1,1
d037b0a7,1,1,0,0
d06dbe63,1,1,0,0
d07ae81c,1,1,0,0
d0f5fe59,0,0,1,1
d10ecb37,1,1,0,0
d13f3404,0,0,1,1
d22278a0,0,0,1,1
d23f8c26,0,0,1,1
d2abd087,0,0,1,1
d364b489,1,1,0,0
d406998b,1,1,0,0
d43fd935,1,1,0,0
d4469b4b,0,0,1,1
d4a91cb9,0,1,1,0
d4f3cd78,0,0,1,1
d511f180,0,0,1,1
d5d6de2d,1,1,0,0
d631b094,0,0,1,1
d687bc17,0,0,1,1
d6ad076f,1,1,0,0
d89b689b,1,1,0,0
d8c310e9,0,0,1,1
d90796e8,0,0,1,1
d9f24cd1,0,0,1,1
d9fac9be,1,1,0,0
dae9d2b5,0,0,1,1
db3e9e38,0,0,1,1
db93a21d,0,0,1,1
dbc1a6ce,1,1,0,0
dc0a314f,0,0,1,1
dc1df850,1,1,0,0
dc433765,1,1,0,0
ddf7fa4f,1,1,0,0
de1cd16c,1,1,0,0
ded97339,1,1,0,0
e179c5f4,0,0,1,1
e21d9049,0,0,1,1
e26a3af2,1,1,0,0
e3497940,0,0,1,1
e40b9e2f,0,0,1,1
e48d4e1a,0,0,1,1
e5062a87,0,0,1,1
e509e548,0,0,1,1
e50d258f,0,0,1,1
e6721834,0,0,1,1
e73095fd,1,1,0,0
e76a88a6,0,0,1,1
e8593010,0,0,1,1
e8dc4411,0,0,1,1
e9614598,0,0,1,1
e98196ab,0,0,1,1
e9afcf9a,1,1,0,0
ea32f347,0,0,1,1
ea786f4a,1,1,0,0
eb281b96,0,0,1,1
eb5a1d5d,0,0,1,1
ec883f72,1,1,0,0
ecdecbb3,0,0,1,1
ed36ccf7,0,0,1,1
ef135b50,1,1,0,0
f15e1fac,0,0,1,1
f1cefba8,1,1,0,0
f25fbde4,0,0,1,1
f25ffba3,0,0,1,1
f2829549,0,0,1,1
f35d900a,0,0,1,1
f5b8619d,0,0,1,1
f76d97a5,1,1,0,0
f8a8fe49,0,0,1,1
f8b3ba0a,1,1,0,0
f8c80d96,1,1,0,0
f8ff0b80,0,0,1,1
f9012d9b,1,1,0,0
fafffa47,0,0,1,1
fcb5c309,1,1,0,0
fcc82909,0,0,1,1
feca6190,0,0,1,1
ff28f65a,0,0,1,1
ff805c23,0,0,1,1
