task_index,task_id,status,exact_match,duration_seconds,error
17,0dfd9992,error,False,28.982,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
18,0e206a2e,error,False,29.063,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
19,10fcaaa3,ok,False,185.789,
20,11852cab,error,False,49.806,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
21,1190e5a7,error,False,41.309,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
22,137eaa0f,error,False,78.43,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
23,150deff5,error,False,40.392,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
24,178fcbfb,error,False,51.769,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
25,1a07d186,error,False,180.993,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
26,1b2d62fb,ok,True,126.655,
27,1b60fb0c,ok,False,232.914,
28,1bfc4729,error,False,35.661,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
29,1c786137,ok,True,427.552,
30,1caeab9d,error,False,66.975,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
31,1cf80156,ok,True,108.785,
32,1e0a9b12,ok,True,284.508,
33,1e32b0e9,ok,False,207.245,
34,1f0c79e5,ok,False,486.857,
35,1f642eb9,ok,True,130.256,
36,1f85a75f,ok,True,205.246,
37,1f876c06,ok,True,97.01,
38,1fad071e,ok,True,218.196,
39,2013d3e2,ok,True,214.361,
40,2204b7a8,ok,True,129.207,
41,22168020,ok,True,138.867,
42,22233c11,ok,False,297.445,
43,2281f1f4,ok,True,246.821,
44,228f6490,ok,True,145.58,
45,22eb0ac0,ok,True,347.325,
46,234bbc79,ok,False,250.133,
47,23581191,ok,True,258.392,
48,239be575,ok,True,229.928,
49,23b5c85d,ok,True,246.975,
50,253bf280,ok,True,789.992,
51,25d487eb,ok,False,242.094,
52,25d8a9c8,ok,True,222.24,
53,25ff71a9,ok,True,209.023,
54,264363fd,ok,False,179.709,
55,272f95fa,ok,True,416.205,
56,27a28665,ok,True,148.558,
57,28bf18c6,ok,True,298.347,
58,28e73c20,ok,False,231.218,
59,29623171,ok,True,282.487,
60,29c11459,ok,True,146.533,
61,29ec7d0e,ok,True,312.805,
62,2bcee788,ok,False,301.971,
63,2bee17df,ok,False,171.691,
64,2c608aff,ok,True,146.846,
65,2dc579da,ok,True,149.616,
66,2dd70a9a,ok,False,164.443,
67,2dee498d,ok,True,262.364,
68,31aa019c,ok,True,153.408,
69,321b1fc6,ok,True,243.876,
70,32597951,ok,True,254.139,
71,3345333e,ok,False,154.669,
72,3428a4f5,ok,True,159.116,
73,3618c87e,ok,True,168.461,
74,3631a71a,ok,False,276.659,
75,363442ee,ok,True,65.647,
76,36d67576,ok,False,149.454,
77,36fdfd69,ok,False,503.095,
78,3906de3d,ok,False,58.411,
79,39a8645d,ok,False,349.133,
80,39e1d7f9,ok,False,157.96,
81,3aa6fb7a,ok,True,134.173,
82,3ac3eb23,ok,True,168.369,
83,3af2c5a8,ok,True,143.018,
84,3bd67248,ok,True,512.674,
85,3bdb4ada,ok,True,173.78,
86,3befdf3e,ok,False,253.938,
87,3c9b0459,ok,True,232.692,
88,3de23699,ok,False,143.724,
89,3e980e27,ok,False,37.281,
90,3eda0437,ok,False,162.732,
91,3f7978a0,ok,True,145.682,
92,40853293,ok,False,220.487,
93,4093f84a,ok,False,229.769,
94,41e4d17e,ok,True,250.979,
95,4258a5f9,ok,True,259.486,
96,4290ef0e,ok,False,193.688,
97,42a50994,ok,True,142.943,
98,4347f46a,ok,True,266.709,
99,444801d8,ok,True,231.959,
100,445eab21,ok,True,145.668,
101,447fd412,ok,False,252.081,
102,44d8ac46,ok,False,188.115,
103,44f52bb0,ok,True,146.51,
104,4522001f,ok,False,143.289,
105,4612dd53,ok,False,148.377,
106,46442a0e,ok,True,132.492,
107,469497ad,ok,False,226.33,
108,46f33fce,ok,True,154.559,
109,47c1f68c,ok,True,176.313,
110,484b58aa,ok,False,258.824,
111,48d8fb45,ok,True,275.974,
112,4938f0c2,ok,False,182.476,
113,496994bd,ok,True,147.712,
114,49d1d64f,ok,True,276.387,
115,4be741c5,ok,True,167.375,
116,4c4377d9,error,False,61.722,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
117,4c5c2cf0,ok,False,162.617,
118,50846271,error,False,161.32,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
119,508bd3b6,ok,False,56.362,
120,50cb2852,ok,True,147.526,
121,5117e062,error,False,203.895,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
122,5168d44c,ok,False,171.427,
123,539a4f51,ok,True,156.868,
124,53b68214,ok,True,146.207,
125,543a7ed5,ok,False,146.638,
126,54d82841,ok,True,173.644,
127,54d9e175,ok,True,139.471,
128,5521c0d9,ok,True,176.78,
129,5582e5ca,ok,True,28.842,
130,5614dbcf,ok,True,21.751,
131,56dc2b01,error,False,236.983,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
132,56ff96f3,ok,True,177.303,
133,57aa92db,ok,False,170.668,
134,5ad4f10b,ok,False,149.137,
135,5bd6f4ac,error,False,145.566,"Gemini request failed after 4 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
136,5c0a986e,ok,True,151.331,
137,5c2c9af4,ok,False,196.091,
138,5daaa586,ok,False,158.576,
139,60b61512,ok,False,1080.453,
140,6150a2bd,ok,True,144.962,
141,623ea044,ok,True,146.509,
142,62c24649,ok,True,150.654,
143,63613498,ok,False,900.815,
144,6430c8c4,ok,True,270.898,
145,6455b5f5,ok,False,159.982,
146,662c240a,ok,False,149.936,
147,67385a82,ok,True,154.086,
148,673ef223,ok,False,150.02,
149,6773b310,ok,True,38.457,
150,67a3c6ac,ok,True,151.705,
151,67a423a3,ok,True,134.793,
152,67e8384a,ok,True,139.119,
153,681b3aeb,ok,False,243.872,
154,6855a6e4,ok,False,221.909,
155,68b16354,ok,True,215.047,
156,694f12f3,ok,True,219.679,
157,6a1e5592,ok,False,167.538,
158,6aa20dc0,ok,False,217.408,
159,6b9890af,error,False,25110.845,Gemini request failed after 3 attempts: [WinError 10054] An existing connection was forcibly closed by the remote host
160,6c434453,ok,True,23370.02,
161,6cdd2623,ok,True,1807.68,
162,6cf79266,ok,False,197.366,
163,6d0160f0,ok,False,231.446,
164,6d0aefbc,ok,True,380.07,
165,6d58a25d,ok,False,937.417,
166,6d75e8bb,ok,False,130.821,
167,6e02f1e3,ok,True,402.752,
168,6e19193c,ok,False,411.643,
169,6e82a1ae,ok,True,128.715,
170,6ecd11f4,ok,False,226.188,
171,6f8cd79b,error,False,422.22,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
172,6fa7a44f,ok,True,61.476,
173,72322fa7,ok,False,268.247,
174,72ca375d,error,False,319.324,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
175,73251a56,error,False,320.628,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
176,7447852a,ok,False,304.469,
177,7468f01a,error,False,177.695,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
178,746b3537,error,False,175.556,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
179,74dd1130,ok,True,358.856,
180,75b8110e,ok,True,276.901,
181,760b3cac,ok,True,304.666,
182,776ffc46,ok,False,386.072,
183,77fdfe62,ok,True,306.091,
184,780d0b14,ok,True,299.467,
185,7837ac64,ok,False,220.59,
186,794b24be,ok,True,359.952,
187,7b6016b9,error,False,320.579,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
188,7b7f7511,ok,True,373.038,
189,7c008303,ok,True,220.483,
190,7ddcd7ec,error,False,175.438,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
191,7df24a62,ok,False,386.739,
192,7e0986d6,error,False,249.006,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
193,7f4411dc,error,False,191.048,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
194,7fe24cdd,error,False,181.571,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
195,80af3007,error,False,239.069,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
196,810b9b61,ok,True,327.929,
197,82819916,error,False,316.117,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
198,83302e8f,error,False,205.434,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
199,834ec97d,error,False,175.55,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
200,8403a5d5,ok,True,339.251,
201,846bdb03,ok,False,442.254,
202,855e0971,ok,True,272.834,
203,85c4e7cd,error,False,262.314,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
204,868de0fa,ok,True,341.25,
205,8731374e,ok,False,330.939,
206,88a10436,error,False,201.758,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
207,88a62173,error,False,207.868,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
208,890034e9,error,False,172.742,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
209,8a004b2b,error,False,316.848,Gemini request failed after 1 attempts: [WinError 5] Access is denied: 'C:\\Users\\cooki\\Desktop\\ARC-AGI\\GemmaData\\runs\\20260409T045708Z_gemini-3-1-flash-lite-preview_thinking-high_400tasks\\status.json.tmp' -> 'C:\\Users\\cooki\\Desktop\\ARC-AGI\\GemmaData\\runs\\20260409T045708Z_gemini-3-1-flash-lite-preview_thinking-high_400tasks\\status.json'
210,8be77c9e,ok,True,295.489,
211,8d5021e8,error,False,207.104,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
212,8d510a79,ok,False,317.109,
213,8e1813be,ok,True,336.115,
214,8e5a5113,ok,True,349.893,
215,8eb1be9a,error,False,203.299,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
216,8efcae92,ok,True,289.009,
217,8f2ea7aa,error,False,257.149,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
218,90c28cc7,error,False,230.309,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
219,90f3ed37,ok,False,470.717,
220,913fb3ed,error,False,176.531,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
221,91413438,error,False,189.273,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
222,91714a58,error,False,206.442,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
223,9172f3a0,ok,True,290.719,
224,928ad970,ok,True,347.174,
225,93b581b8,ok,False,382.99,
226,941d9a10,ok,True,368.405,
227,94f9d214,ok,False,387.141,
228,952a094c,error,False,446.622,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
229,9565186b,ok,True,355.527,
230,95990924,error,False,203.631,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
231,963e52fc,error,False,266.516,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
232,97999447,ok,True,382.336,
233,97a05b5b,error,False,209.544,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
234,98cf29f8,error,False,239.382,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
235,995c5fa3,error,False,150.996,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
236,99b1bc43,error,False,332.604,Gemini request failed after 1 attempts: [WinError 5] Access is denied: 'C:\\Users\\cooki\\Desktop\\ARC-AGI\\GemmaData\\runs\\20260409T045708Z_gemini-3-1-flash-lite-preview_thinking-high_400tasks\\status.json.tmp' -> 'C:\\Users\\cooki\\Desktop\\ARC-AGI\\GemmaData\\runs\\20260409T045708Z_gemini-3-1-flash-lite-preview_thinking-high_400tasks\\status.json'
237,99fa7670,error,False,262.059,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
238,9aec4887,ok,False,307.441,
239,9af7a82c,ok,True,273.657,
240,9d9215db,ok,False,69.571,
241,9dfd6313,error,False,269.017,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
242,9ecd008a,error,False,86.131,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
243,9edfc990,ok,False,496.12,
244,9f236235,ok,True,306.634,
245,a1570a43,ok,True,279.951,
246,a2fd1cf0,ok,True,352.136,
247,a3325580,error,False,428.96,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
248,a3df8b1e,ok,True,190.49,
249,a416b8f3,ok,True,28.313,
250,a48eeaf7,error,False,33.343,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
251,a5313dff,error,False,265.076,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
252,a5f85a15,ok,False,198.686,
253,a61ba2ce,error,False,334.574,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
254,a61f2674,ok,True,265.43,
255,a64e4611,ok,False,139.227,
256,a65b410d,error,False,289.387,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
257,a68b268e,error,False,361.342,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
258,a699fb00,error,False,94.895,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
259,a740d043,error,False,255.297,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
260,a78176bb,ok,False,330.399,
261,a79310a0,ok,True,273.991,
262,a85d4709,ok,True,53.09,
263,a87f7484,ok,True,268.154,
264,a8c38be5,error,False,189.346,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
265,a8d7556c,ok,False,146.777,
266,a9f96cdd,ok,True,267.939,
267,aabf363d,ok,True,251.787,
268,aba27056,ok,False,293.592,
269,ac0a08a4,ok,True,498.288,
270,ae3edfdc,ok,True,407.281,
271,ae4f1146,error,False,607.394,"Gemini request failed after 1 attempts: 504 DEADLINE_EXCEEDED. {'error': {'code': 504, 'message': 'Deadline expired before operation could complete.', 'status': 'DEADLINE_EXCEEDED'}}"
272,aedd82e4,error,False,31.786,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
273,af902bf9,error,False,235.709,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
274,b0c4d837,error,False,268.031,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
275,b190f7f5,ok,False,290.484,
276,b1948b0a,ok,True,72.615,
277,b230c067,error,False,24.079,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
278,b27ca6d3,error,False,53.461,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
279,b2862040,error,False,11.275,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
280,b527c5c6,error,False,457.557,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
281,b548a754,error,False,62.113,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
282,b60334d2,error,False,70.401,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
283,b6afb2da,error,False,76.958,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
284,b7249182,error,False,259.998,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
285,b775ac94,error,False,264.028,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
286,b782dc8a,error,False,78.216,"Gemini request failed after 1 attempts: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
287,b8825c91,ok,True,373.5,
