group,metric_x,metric_y,n,pearson_r,pearson_p,spearman_r,spearman_p
human,mean_duration_seconds,ability,509,-0.20738289071837127,2.373999823052552e-06,-0.27987499396857035,1.296029458005268e-10
human,mean_duration_seconds,outfit,509,0.3105206742895004,7.702504398976375e-13,0.31584040116805345,2.9702309632039095e-13
human,mean_duration_seconds,log_tasks_per_minute,509,-0.6429544209519326,1.0383774057556698e-60,-1.0,0.0
human,mean_submissions,tasks_per_minute,509,-0.2045559209752154,3.2724380051056135e-06,-0.31104846198233316,7.013643049855545e-13
human,mean_submissions,ability,509,-0.2244604082708015,3.103614039531898e-07,-0.029519689878045458,0.5063690779095618
human,mean_submissions,outfit,509,0.19928187669410652,5.885258224104427e-06,0.0992072729657301,0.025205453787621675
human,mean_submissions,log_tasks_per_minute,509,-0.24840926619874973,1.3480684010700212e-08,-0.31104846198233316,7.013643049855545e-13
human,tasks_per_minute,ability,509,0.1432222659046625,0.0011952302919100545,0.27987499396857035,1.296029458005268e-10
human,tasks_per_minute,outfit,509,-0.22630433997302582,2.46686072140925e-07,-0.31584040116805345,2.9702309632039095e-13
human,tasks_per_minute,log_tasks_per_minute,509,0.9899006676919535,0.0,1.0,0.0
human,ability,outfit,509,-0.34558517217119566,1.005411963366239e-15,-0.5358950652952734,3.531053891824977e-39
human,ability,log_tasks_per_minute,509,0.18890939736432746,1.7851209372943356e-05,0.27987499396857035,1.296029458005268e-10
human,outfit,log_tasks_per_minute,509,-0.24899263923646908,1.243648961455558e-08,-0.3158404011680535,2.9702309632038777e-13
non_llm,performance_rate,primary_effort,15,-0.36180939639882737,0.18512224844167743,0.15579812407211843,0.5792638774762039
non_llm,performance_rate,secondary_effort,15,-0.605351955639702,0.01678806967155875,-0.1883796586038536,0.5013571185097795
non_llm,performance_rate,oracle_rate,15,0.9879257944286276,6.4993907972419576e-12,0.7080035503705949,0.0031421969183748504
non_llm,performance_rate,pass1_rate,4,0.9878678080534045,0.012132191946595539,0.9486832980505139,0.05131670194948612
non_llm,performance_rate,pass2_rate,4,0.9984143563263731,0.001585643673626791,1.0,0.0
non_llm,performance_rate,pass3_rate,4,0.9990753415982765,0.0009246584017235104,1.0,0.0
non_llm,performance_rate,pass4_rate,4,1.0,0.0,1.0,0.0
non_llm,performance_rate,pair1_rate,10,0.8837930812235791,0.0006918645514474174,0.9688896662368099,3.9472113979941e-06
non_llm,performance_rate,pair2_rate,10,1.0,0.0,1.0,0.0
non_llm,performance_rate,kaggle_score,10,0.9929756254857286,1.0561927777567746e-08,0.984638103630949,2.391821993586014e-07
non_llm,primary_effort,secondary_effort,15,0.7353753535357906,0.001783066848050853,0.8366600265340757,0.00010084267272620158
non_llm,primary_effort,oracle_rate,15,-0.4744440320697403,0.07395604269661389,-0.31741351842915305,0.24898807230718464
non_llm,primary_effort,pass1_rate,4,,,,
non_llm,primary_effort,pass2_rate,4,,,,
non_llm,primary_effort,pass3_rate,4,,,,
non_llm,primary_effort,pass4_rate,4,,,,
non_llm,primary_effort,pair1_rate,10,0.9460741816649916,3.4656149220110025e-05,0.9725179925282851,2.414220529804286e-06
non_llm,primary_effort,pair2_rate,10,0.936960082449636,6.400327781458848e-05,0.956954224328155,1.4258966972098016e-05
non_llm,primary_effort,kaggle_score,10,0.9088804401547514,0.0002698535270380384,0.9179373709568976,0.0001795302177889845
non_llm,secondary_effort,oracle_rate,15,-0.713141896015651,0.0028386514671198105,-0.7393632349323443,0.001632688667439069
non_llm,secondary_effort,pass1_rate,4,,,,
non_llm,secondary_effort,pass2_rate,4,,,,
non_llm,secondary_effort,pass3_rate,4,,,,
non_llm,secondary_effort,pass4_rate,4,,,,
non_llm,secondary_effort,pair1_rate,10,,,,
non_llm,secondary_effort,pair2_rate,10,,,,
non_llm,secondary_effort,kaggle_score,10,,,,
non_llm,oracle_rate,pass1_rate,4,0.9946117668202101,0.00538823317978987,0.9486832980505139,0.05131670194948612
non_llm,oracle_rate,pass2_rate,4,0.9996888615598005,0.00031113844019947656,1.0,0.0
non_llm,oracle_rate,pass3_rate,4,0.9996010075904704,0.00039899240952956383,1.0,0.0
non_llm,oracle_rate,pass4_rate,4,0.9981825922194894,0.0018174077805106492,1.0,0.0
non_llm,oracle_rate,pair1_rate,10,0.8691055203841651,0.0010933593129315326,0.9417355140271635,4.69786497574566e-05
non_llm,oracle_rate,pair2_rate,10,0.9929756254857286,1.0561927777567746e-08,0.9846381036309488,2.3918219935860864e-07
non_llm,oracle_rate,kaggle_score,10,1.0,0.0,1.0,0.0
non_llm,pass1_rate,pass2_rate,4,0.9950432757727317,0.004956724227268339,0.9486832980505139,0.05131670194948612
non_llm,pass1_rate,pass3_rate,4,0.9936297095866365,0.006370290413363566,0.9486832980505139,0.05131670194948612
non_llm,pass1_rate,pass4_rate,4,0.9878678080534045,0.012132191946595539,0.9486832980505139,0.05131670194948612
non_llm,pass2_rate,pass3_rate,4,0.9999110353052825,8.896469471753043e-05,1.0,0.0
non_llm,pass2_rate,pass4_rate,4,0.9984143563263731,0.001585643673626791,1.0,0.0
non_llm,pass3_rate,pass4_rate,4,0.9990753415982765,0.0009246584017235104,1.0,0.0
non_llm,pair1_rate,pair2_rate,10,0.8837930812235791,0.0006918645514474174,0.9688896662368099,3.9472113979941e-06
non_llm,pair1_rate,kaggle_score,10,0.8691055203841651,0.0010933593129315326,0.9417355140271635,4.69786497574566e-05
non_llm,pair2_rate,kaggle_score,10,0.9929756254857286,1.0561927777567746e-08,0.984638103630949,2.391821993586014e-07
