target,target_label,orientation,predictor,predictor_label,predictor_kind,n,aligned_corr,fit_r2,delta_vs_logit_corr,delta_ci_low,delta_ci_high,p_value_vs_logit
human_overlap_ease_pc1,Human overlap ease PC1,ease,two_pl_difficulty_all_models,Binary 2PL difficulty,full,17,0.5293530009664885,0.28021459963222717,0.014084483248821389,-0.0910157989147586,0.0878973269060992,0.8776666666666667
human_overlap_ease_pc1,Human overlap ease PC1,ease,exact_any_difficulty_logit,Exact-any logit difficulty,full,17,0.545264290955011,0.29731314699067096,0.029995773237343926,-0.037050948213434506,0.12262774358838198,0.42033333333333334
human_overlap_ease_pc1,Human overlap ease PC1,ease,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,17,0.45654912821320687,0.2084371064722392,-0.05871938950446026,-0.404991007693163,0.4057018480487103,0.8606666666666667
human_overlap_ease_pc1,Human overlap ease PC1,ease,gpcm_location,Partial-credit GPCM location,partial,17,0.6983626849233866,0.48771043969340133,0.18309416720571947,-0.19073212264291323,0.559844239655397,0.32233333333333336
human_overlap_ease_pc1,Human overlap ease PC1,ease,graded_location,Partial-credit graded location,partial,17,0.7422601253949859,0.5509500937513802,0.22699160767731874,-0.12383109234674046,0.5974360224151452,0.18766666666666668
human_solve_rate_weighted,Human overlap solve rate,ease,logit_difficulty_all,Binary logit difficulty,full,17,0.6025432330134891,0.36305834765034783,,,,
human_solve_rate_weighted,Human overlap solve rate,ease,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,17,0.576100381060498,0.331891649058051,-0.02644285195299112,-0.052650252586983845,0.012698254230302413,0.22266666666666668
human_solve_rate_weighted,Human overlap solve rate,ease,two_pl_difficulty_all_models,Binary 2PL difficulty,full,17,0.6294420030182197,0.3961972351635885,0.02689877000473062,-0.08726007357525938,0.09960693642491095,0.8033333333333333
human_solve_rate_weighted,Human overlap solve rate,ease,exact_any_difficulty_logit,Exact-any logit difficulty,full,17,0.5836403794038242,0.34063609247063986,-0.018902853609664927,-0.06618647960770759,0.063209377043489,0.5873333333333334
human_solve_rate_weighted,Human overlap solve rate,ease,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,17,0.4168398294505325,0.17375544341634902,-0.18570340356295661,-0.5334788582530223,0.23822050089327554,0.4033333333333333
human_solve_rate_weighted,Human overlap solve rate,ease,gpcm_location,Partial-credit GPCM location,partial,17,0.7113397880049868,0.5060042939989795,0.10879655499149765,-0.2580751590409147,0.418465782530012,0.5216666666666666
human_solve_rate_weighted,Human overlap solve rate,ease,graded_location,Partial-credit graded location,partial,17,0.7476776263789593,0.5590218329876746,0.14513439336547018,-0.19010551593658062,0.447442768541494,0.3546666666666667
difficulty_weighted,Human overlap difficulty,hardness,logit_difficulty_all,Binary logit difficulty,full,17,0.5312094235709729,0.28218345169060527,,,,
difficulty_weighted,Human overlap difficulty,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,17,0.5065960412147102,0.2566395489744164,-0.024613382356262647,-0.051740427039741216,0.011823505546038319,0.21433333333333332
difficulty_weighted,Human overlap difficulty,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,17,0.5606506065897068,0.31432910266940617,0.029441183018733885,-0.08599686136435293,0.09557424897765227,0.6433333333333333
difficulty_weighted,Human overlap difficulty,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,17,0.5311715287463614,0.28214319295074664,-3.789482461147298e-05,-0.06515275089827735,0.0870095444652383,0.9643333333333334
difficulty_weighted,Human overlap difficulty,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,17,0.4387380357075458,0.19249106397651575,-0.09247138786342707,-0.42385625220694356,0.33116975557547906,0.6716666666666666
difficulty_weighted,Human overlap difficulty,hardness,gpcm_location,Partial-credit GPCM location,partial,17,0.6202117927694725,0.38466266789032305,0.08900236919849958,-0.3071494572119566,0.43414236937006445,0.6546666666666666
difficulty_weighted,Human overlap difficulty,hardness,graded_location,Partial-credit graded location,partial,17,0.6722790472254243,0.4519591173383243,0.14106962365445141,-0.22416634168230923,0.472865442732197,0.429
mean_duration_seconds_weighted,Human overlap duration,hardness,logit_difficulty_all,Binary logit difficulty,full,17,0.05049458227619814,0.002549702839247743,,,,
mean_duration_seconds_weighted,Human overlap duration,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,17,0.06668786076988727,0.004447270774063869,0.01619327849368913,-0.021637121216215346,0.05215847631994904,0.42533333333333334
mean_duration_seconds_weighted,Human overlap duration,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,17,0.02276886340400644,0.0005184211407103037,-0.027725718872191697,-0.12072208961846864,0.06462860074863488,0.632
mean_duration_seconds_weighted,Human overlap duration,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,17,0.1707223934263502,0.029146135617221503,0.12022781115015208,0.0254828711222115,0.20883176801439227,0.009666666666666667
mean_duration_seconds_weighted,Human overlap duration,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,17,0.3305186280833277,0.10924256351008511,0.2800240458071296,-0.19015363656514553,0.8413195262482277,0.2816666666666667
mean_duration_seconds_weighted,Human overlap duration,hardness,gpcm_location,Partial-credit GPCM location,partial,17,0.3927089966830039,0.1542203560757716,0.3422144144068058,-0.10046336064833282,0.8330099656443007,0.13866666666666666
mean_duration_seconds_weighted,Human overlap duration,hardness,graded_location,Partial-credit graded location,partial,17,0.4086879462496736,0.16702583740977608,0.35819336397347545,-0.04359002779541595,0.8306698280097119,0.08033333333333334
