complexity_metric,llm_outcome,n,pearson_r,spearman_rho,abs_pearson_r,abs_spearman_rho
peak_memory_bytes,abs_thinking_advantage,56,-0.2180251144201971,-0.3900704698182599,0.2180251144201971,0.3900704698182599
python_call_count_dynamic,abs_thinking_advantage,56,-0.20068812195125066,-0.23766379843415678,0.20068812195125066,0.23766379843415678
elapsed_ms_per_test,abs_thinking_advantage,56,-0.197781010468411,-0.29115095113100303,0.197781010468411,0.29115095113100303
log1p_peak_memory_bytes,abs_thinking_advantage,56,-0.19754532336247896,-0.3900704698182599,0.19754532336247896,0.3900704698182599
opcode_count_dynamic,abs_thinking_advantage,56,-0.19363780529768393,-0.12400199279794967,0.19363780529768393,0.12400199279794967
elapsed_ms_total,abs_thinking_advantage,56,-0.18168743667930898,-0.16357793895604447,0.18168743667930898,0.16357793895604447
log1p_elapsed_ms_total,abs_thinking_advantage,56,-0.17986713545354532,-0.16357793895604447,0.17986713545354532,0.16357793895604447
opcode_per_input_cell,abs_thinking_advantage,56,-0.16131838286673206,-0.01937050294224141,0.16131838286673206,0.01937050294224141
elapsed_ms_per_input_cell,abs_thinking_advantage,56,-0.15208138168937685,-0.018805992145866316,0.15208138168937685,0.018805992145866316
branch_opcode_count_dynamic,abs_thinking_advantage,56,-0.13048228736406575,-0.10877186995897482,0.13048228736406575,0.10877186995897482
log1p_branch_opcode_count_dynamic,abs_thinking_advantage,56,0.012206318119893027,-0.10877186995897482,0.012206318119893027,0.10877186995897482
log1p_opcode_count_dynamic,abs_thinking_advantage,56,-0.0022818490777125546,-0.12400199279794967,0.0022818490777125546,0.12400199279794967
ast_node_count,abs_thinking_logit_advantage,56,-0.49574646425400326,-0.4680298554411239,0.49574646425400326,0.4680298554411239
halstead_effort,abs_thinking_logit_advantage,56,-0.489531970474551,-0.47500516889159067,0.489531970474551,0.47500516889159067
token_count,abs_thinking_logit_advantage,56,-0.48349605949196056,-0.4428640186786555,0.48349605949196056,0.4428640186786555
halstead_volume,abs_thinking_logit_advantage,56,-0.47886085825254304,-0.432093314086023,0.47886085825254304,0.432093314086023
log1p_ast_node_count,abs_thinking_logit_advantage,56,-0.4677555536221818,-0.4680298554411239,0.4677555536221818,0.4680298554411239
nonblank_lines,abs_thinking_logit_advantage,56,-0.44768002703696763,-0.4090761552402169,0.44768002703696763,0.4090761552402169
branch_node_count,abs_thinking_logit_advantage,56,-0.4423737794328038,-0.40864832321885464,0.4423737794328038,0.40864832321885464
cyclomatic_complexity,abs_thinking_logit_advantage,56,-0.43348292496375934,-0.41147991685983953,0.43348292496375934,0.41147991685983953
output_cells_total,abs_thinking_logit_advantage,56,-0.42776614929457285,-0.38878341634297653,0.42776614929457285,0.38878341634297653
input_cells_total,abs_thinking_logit_advantage,56,-0.39021213596949833,-0.3446147023648535,0.39021213596949833,0.3446147023648535
gzip_bytes,abs_thinking_logit_advantage,56,-0.3898439747746796,-0.36426119654668626,0.3898439747746796,0.36426119654668626
call_count_static,abs_thinking_logit_advantage,56,-0.3805223071494912,-0.3684372685415595,0.3805223071494912,0.3684372685415595
max_nesting_depth,abs_thinking_logit_advantage,56,-0.37868147302622085,-0.436507088466856,0.37868147302622085,0.436507088466856
complexity_pc1_score,abs_thinking_logit_advantage,56,-0.377766675613554,-0.42196505999618267,0.377766675613554,0.42196505999618267
log1p_cyclomatic_complexity,abs_thinking_logit_advantage,56,-0.3551103689418565,-0.41147991685983953,0.3551103689418565,0.41147991685983953
log1p_python_call_count_dynamic,abs_thinking_logit_advantage,56,-0.30318319873751487,-0.2864971626363155,0.30318319873751487,0.2864971626363155
log1p_elapsed_ms_per_test,abs_thinking_logit_advantage,56,-0.2763257700028942,-0.30893116188709485,0.2763257700028942,0.30893116188709485
function_count,abs_thinking_logit_advantage,56,-0.2658833815125391,-0.27423988912162006,0.2658833815125391,0.27423988912162006
peak_memory_bytes,abs_thinking_logit_advantage,56,-0.2364098609190864,-0.4408124558991064,0.2364098609190864,0.4408124558991064
python_call_count_dynamic,abs_thinking_logit_advantage,56,-0.235091052937223,-0.2864971626363155,0.235091052937223,0.2864971626363155
log1p_peak_memory_bytes,abs_thinking_logit_advantage,56,-0.21791097363316686,-0.4408124558991064,0.21791097363316686,0.4408124558991064
elapsed_ms_per_test,abs_thinking_logit_advantage,56,-0.21640893953726845,-0.30893116188709485,0.21640893953726845,0.30893116188709485
opcode_count_dynamic,abs_thinking_logit_advantage,56,-0.20586809759922034,-0.11989879711733366,0.20586809759922034,0.11989879711733366
elapsed_ms_total,abs_thinking_logit_advantage,56,-0.19253252719586803,-0.16597142886551836,0.19253252719586803,0.16597142886551836
opcode_per_input_cell,abs_thinking_logit_advantage,56,-0.18296252020839132,0.008599614280624387,0.18296252020839132,0.008599614280624387
elapsed_ms_per_input_cell,abs_thinking_logit_advantage,56,-0.17591547084760056,0.012240991251309346,0.17591547084760056,0.012240991251309346
log1p_elapsed_ms_total,abs_thinking_logit_advantage,56,-0.1735866538953697,-0.16597142886551836,0.1735866538953697,0.16597142886551836
branch_opcode_count_dynamic,abs_thinking_logit_advantage,56,-0.1357589265590744,-0.11171349914654458,0.1357589265590744,0.11171349914654458
log1p_branch_opcode_count_dynamic,abs_thinking_logit_advantage,56,0.04475700432292731,-0.11171349914654458,0.04475700432292731,0.11171349914654458
log1p_opcode_count_dynamic,abs_thinking_logit_advantage,56,0.034495477214947314,-0.11989879711733366,0.034495477214947314,0.11989879711733366
halstead_effort,binary_entropy_bits,56,-0.2912479200597469,-0.2570151051928151,0.2912479200597469,0.2570151051928151
ast_node_count,binary_entropy_bits,56,-0.27187273590844957,-0.2607129179365471,0.27187273590844957,0.2607129179365471
halstead_volume,binary_entropy_bits,56,-0.2637895268251351,-0.24431243363795807,0.2637895268251351,0.24431243363795807
token_count,binary_entropy_bits,56,-0.2622847535034455,-0.24082005493554454,0.2622847535034455,0.24082005493554454
cyclomatic_complexity,binary_entropy_bits,56,-0.24775960926864168,-0.20589002351303798,0.24775960926864168,0.20589002351303798
branch_node_count,binary_entropy_bits,56,-0.2457819553706252,-0.22042239159930174,0.2457819553706252,0.22042239159930174
call_count_static,binary_entropy_bits,56,-0.23786124974777278,-0.21808633919370862,0.23786124974777278,0.21808633919370862
nonblank_lines,binary_entropy_bits,56,-0.21725949671976133,-0.18211105020017548,0.21725949671976133,0.18211105020017548
log1p_ast_node_count,binary_entropy_bits,56,-0.20191657753652384,-0.2607129179365471,0.20191657753652384,0.2607129179365471
function_count,binary_entropy_bits,56,-0.1783132439034512,-0.10707765026569985,0.1783132439034512,0.10707765026569985
output_cells_total,binary_entropy_bits,56,-0.17099878327812984,-0.09830795920089812,0.17099878327812984,0.09830795920089812
gzip_bytes,binary_entropy_bits,56,-0.15922619322080367,-0.14772671978557278,0.15922619322080367,0.14772671978557278
max_nesting_depth,binary_entropy_bits,56,-0.13179371464952638,-0.2942454840009966,0.13179371464952638,0.2942454840009966
complexity_pc1_score,binary_entropy_bits,56,-0.12427174551448711,-0.22910639933598614,0.12427174551448711,0.22910639933598614
log1p_python_call_count_dynamic,binary_entropy_bits,56,-0.12298792061554444,-0.09418706704620611,0.12298792061554444,0.09418706704620611
input_cells_total,binary_entropy_bits,56,-0.10339498522364268,-0.07574286643884832,0.10339498522364268,0.07574286643884832
elapsed_ms_total,binary_entropy_bits,56,-0.09197539296861232,-0.07226142403376223,0.09197539296861232,0.07226142403376223
opcode_count_dynamic,binary_entropy_bits,56,-0.08828816989089103,-0.06818814751488426,0.08828816989089103,0.06818814751488426
branch_opcode_count_dynamic,binary_entropy_bits,56,-0.0768196794593202,-0.039611629687206815,0.0768196794593202,0.039611629687206815
log1p_elapsed_ms_per_test,binary_entropy_bits,56,-0.06618652801636242,-0.11971668757832253,0.06618652801636242,0.11971668757832253
log1p_cyclomatic_complexity,binary_entropy_bits,56,-0.06366742552882708,-0.20589002351303798,0.06366742552882708,0.20589002351303798
elapsed_ms_per_test,binary_entropy_bits,56,-0.06291153073118098,-0.11971668757832253,0.06291153073118098,0.11971668757832253
log1p_opcode_count_dynamic,binary_entropy_bits,56,-0.06145896146592734,-0.06818814751488426,0.06145896146592734,0.06818814751488426
log1p_elapsed_ms_total,binary_entropy_bits,56,-0.056666932186888244,-0.07226142403376223,0.056666932186888244,0.07226142403376223
log1p_peak_memory_bytes,binary_entropy_bits,56,0.05359947678833467,-0.09191461398655994,0.05359947678833467,0.09191461398655994
python_call_count_dynamic,binary_entropy_bits,56,-0.030984275784163164,-0.09418706704620611,0.030984275784163164,0.09418706704620611
opcode_per_input_cell,binary_entropy_bits,56,-0.027087050372052873,-0.09273793499576401,0.027087050372052873,0.09273793499576401
peak_memory_bytes,binary_entropy_bits,56,0.024932923866082597,-0.09191461398655994,0.024932923866082597,0.09191461398655994
elapsed_ms_per_input_cell,binary_entropy_bits,56,-0.02395710944884671,-0.11670365497231872,0.02395710944884671,0.11670365497231872
log1p_branch_opcode_count_dynamic,binary_entropy_bits,56,0.0037796001475609298,-0.039611629687206815,0.0037796001475609298,0.039611629687206815
log1p_cyclomatic_complexity,fail_rate_all,56,0.6867892200384302,0.6619486907354395,0.6867892200384302,0.6619486907354395
log1p_ast_node_count,fail_rate_all,56,0.6345694295221065,0.6305691867611631,0.6345694295221065,0.6305691867611631
cyclomatic_complexity,fail_rate_all,56,0.6313626908413011,0.6619486907354395,0.6313626908413011,0.6619486907354395
ast_node_count,fail_rate_all,56,0.6291084391249269,0.6305691867611631,0.6291084391249269,0.6305691867611631
complexity_pc1_score,fail_rate_all,56,0.6256448591384517,0.6121906395720866,0.6256448591384517,0.6121906395720866
token_count,fail_rate_all,56,0.6210482032244992,0.6106960813904967,0.6210482032244992,0.6106960813904967
branch_node_count,fail_rate_all,56,0.6131220428851446,0.6157785592368376,0.6131220428851446,0.6157785592368376
halstead_volume,fail_rate_all,56,0.6124411611522833,0.6047444112794882,0.6124411611522833,0.6047444112794882
nonblank_lines,fail_rate_all,56,0.5994369028716133,0.5928809580850141,0.5994369028716133,0.5928809580850141
max_nesting_depth,fail_rate_all,56,0.5986337675571196,0.5973843191049196,0.5986337675571196,0.5973843191049196
halstead_effort,fail_rate_all,56,0.5941114638127757,0.6333397918128395,0.5941114638127757,0.6333397918128395
gzip_bytes,fail_rate_all,56,0.5706355707393655,0.5670259857602055,0.5706355707393655,0.5670259857602055
call_count_static,fail_rate_all,56,0.508373445501199,0.5133312845451921,0.508373445501199,0.5133312845451921
log1p_elapsed_ms_per_test,fail_rate_all,56,0.4304933784702878,0.44678571833329606,0.4304933784702878,0.44678571833329606
log1p_peak_memory_bytes,fail_rate_all,56,0.3876519287686182,0.5334953949505755,0.3876519287686182,0.5334953949505755
input_cells_total,fail_rate_all,56,0.3814465067817312,0.426804486706562,0.3814465067817312,0.426804486706562
log1p_elapsed_ms_total,fail_rate_all,56,0.3789574698758236,0.3746131669871581,0.3789574698758236,0.3746131669871581
log1p_python_call_count_dynamic,fail_rate_all,56,0.3771271363038895,0.3682553923743224,0.3771271363038895,0.3682553923743224
output_cells_total,fail_rate_all,56,0.3724583495992278,0.44957741399645723,0.3724583495992278,0.44957741399645723
peak_memory_bytes,fail_rate_all,56,0.36513850291603855,0.5334953949505755,0.36513850291603855,0.5334953949505755
log1p_branch_opcode_count_dynamic,fail_rate_all,56,0.2534729319531704,0.3175021653451627,0.2534729319531704,0.3175021653451627
function_count,fail_rate_all,56,0.22241004491129177,0.22666984339555327,0.22241004491129177,0.22666984339555327
log1p_opcode_count_dynamic,fail_rate_all,56,0.1970449364241584,0.31883025959286215,0.1970449364241584,0.31883025959286215
python_call_count_dynamic,fail_rate_all,56,0.146355738468565,0.3682553923743224,0.146355738468565,0.3682553923743224
branch_opcode_count_dynamic,fail_rate_all,56,0.11587952307257071,0.3175021653451627,0.11587952307257071,0.3175021653451627
elapsed_ms_per_test,fail_rate_all,56,0.11448703118036335,0.44678571833329606,0.11448703118036335,0.44678571833329606
opcode_count_dynamic,fail_rate_all,56,0.11167467521871724,0.31883025959286215,0.11167467521871724,0.31883025959286215
opcode_per_input_cell,fail_rate_all,56,0.10618423511640282,0.15758513098855445,0.10618423511640282,0.15758513098855445
elapsed_ms_total,fail_rate_all,56,0.09781764395740372,0.3746131669871581,0.09781764395740372,0.3746131669871581
elapsed_ms_per_input_cell,fail_rate_all,56,0.09620449710250673,0.13579385253278098,0.09620449710250673,0.13579385253278098
function_count,item_total_corr,55,-0.4490122080265979,-0.2302955464547237,0.4490122080265979,0.2302955464547237
input_cells_total,item_total_corr,55,-0.3331593665169788,-0.2854487862144925,0.3331593665169788,0.2854487862144925
output_cells_total,item_total_corr,55,-0.3114741770109245,-0.1990652338640647,0.3114741770109245,0.1990652338640647
log1p_elapsed_ms_per_test,item_total_corr,55,-0.24964337300671013,-0.20322534093368932,0.24964337300671013,0.20322534093368932
log1p_elapsed_ms_total,item_total_corr,55,-0.21915765405024107,-0.1640811025326503,0.21915765405024107,0.1640811025326503
complexity_pc1_score,item_total_corr,55,-0.21488744821429664,-0.2188430110210473,0.21488744821429664,0.2188430110210473
elapsed_ms_total,item_total_corr,55,-0.19297624841133362,-0.1640811025326503,0.19297624841133362,0.1640811025326503
opcode_count_dynamic,item_total_corr,55,-0.18627879018244964,-0.15939388475579805,0.18627879018244964,0.15939388475579805
log1p_opcode_count_dynamic,item_total_corr,55,-0.17923314224324702,-0.15939388475579805,0.17923314224324702,0.15939388475579805
call_count_static,item_total_corr,55,-0.1759516576876026,-0.16751198362509176,0.1759516576876026,0.16751198362509176
log1p_ast_node_count,item_total_corr,55,-0.1751548337912318,-0.18612454001010179,0.1751548337912318,0.18612454001010179
gzip_bytes,item_total_corr,55,-0.16535515203192763,-0.1633985749341352,0.16535515203192763,0.1633985749341352
elapsed_ms_per_test,item_total_corr,55,-0.16403841203051828,-0.20322534093368932,0.16403841203051828,0.20322534093368932
log1p_branch_opcode_count_dynamic,item_total_corr,55,-0.16249167338994336,-0.1681190831486322,0.16249167338994336,0.1681190831486322
branch_opcode_count_dynamic,item_total_corr,55,-0.15573454670556838,-0.1681190831486322,0.15573454670556838,0.1681190831486322
halstead_volume,item_total_corr,55,-0.14942303718154246,-0.16996175770257596,0.14942303718154246,0.16996175770257596
log1p_peak_memory_bytes,item_total_corr,55,-0.14502153455704694,-0.30157298506385743,0.14502153455704694,0.30157298506385743
ast_node_count,item_total_corr,55,-0.14411743072768937,-0.18612454001010179,0.14411743072768937,0.18612454001010179
token_count,item_total_corr,55,-0.14298518447150046,-0.16108665848906847,0.14298518447150046,0.16108665848906847
nonblank_lines,item_total_corr,55,-0.14032825672554217,-0.15364076078337188,0.14032825672554217,0.15364076078337188
max_nesting_depth,item_total_corr,55,-0.1328506727153539,-0.14850996597306204,0.1328506727153539,0.14850996597306204
log1p_python_call_count_dynamic,item_total_corr,55,-0.12371320852727809,-0.08237937236111882,0.12371320852727809,0.08237937236111882
peak_memory_bytes,item_total_corr,55,-0.12357464470000666,-0.30157298506385743,0.12357464470000666,0.30157298506385743
opcode_per_input_cell,item_total_corr,55,-0.11470414074045207,-0.060503292153796594,0.11470414074045207,0.060503292153796594
elapsed_ms_per_input_cell,item_total_corr,55,-0.11458138790400103,-0.04314885633884119,0.11458138790400103,0.04314885633884119
log1p_cyclomatic_complexity,item_total_corr,55,-0.10095655261169585,-0.11235877150974033,0.10095655261169585,0.11235877150974033
python_call_count_dynamic,item_total_corr,55,-0.09633999448314846,-0.08237937236111882,0.09633999448314846,0.08237937236111882
branch_node_count,item_total_corr,55,-0.08432037353447164,-0.09842678059228242,0.08432037353447164,0.09842678059228242
halstead_effort,item_total_corr,55,-0.07353111438705431,-0.16563244101306013,0.07353111438705431,0.16563244101306013
cyclomatic_complexity,item_total_corr,55,-0.06602714258142207,-0.11235877150974033,0.06602714258142207,0.11235877150974033
log1p_cyclomatic_complexity,latent_difficulty_prev_intersection22,56,0.6912853890625096,0.6475788446371733,0.6912853890625096,0.6475788446371733
ast_node_count,latent_difficulty_prev_intersection22,56,0.6657651819409323,0.6367514218879999,0.6657651819409323,0.6367514218879999
token_count,latent_difficulty_prev_intersection22,56,0.6596399437155099,0.6154441599763184,0.6596399437155099,0.6154441599763184
log1p_ast_node_count,latent_difficulty_prev_intersection22,56,0.6576473893117774,0.6367514218879999,0.6576473893117774,0.6367514218879999
halstead_volume,latent_difficulty_prev_intersection22,56,0.6526962110139292,0.60818187778134,0.6526962110139292,0.60818187778134
branch_node_count,latent_difficulty_prev_intersection22,56,0.6441398748934914,0.611535389691096,0.6441398748934914,0.611535389691096
cyclomatic_complexity,latent_difficulty_prev_intersection22,56,0.643300568140091,0.6475788446371733,0.643300568140091,0.6475788446371733
halstead_effort,latent_difficulty_prev_intersection22,56,0.6410421812919763,0.641307476283906,0.6410421812919763,0.641307476283906
nonblank_lines,latent_difficulty_prev_intersection22,56,0.6358803641287939,0.5986480098610449,0.6358803641287939,0.5986480098610449
complexity_pc1_score,latent_difficulty_prev_intersection22,56,0.6294293462543353,0.5934073801990967,0.6294293462543353,0.5934073801990967
max_nesting_depth,latent_difficulty_prev_intersection22,56,0.6002795733493677,0.5754143788204262,0.6002795733493677,0.5754143788204262
gzip_bytes,latent_difficulty_prev_intersection22,56,0.5968153148918336,0.569567917185125,0.5968153148918336,0.569567917185125
call_count_static,latent_difficulty_prev_intersection22,56,0.5428208119049638,0.5236951428881993,0.5428208119049638,0.5236951428881993
log1p_elapsed_ms_per_test,latent_difficulty_prev_intersection22,56,0.425989916855254,0.4084006053232588,0.425989916855254,0.4084006053232588
log1p_python_call_count_dynamic,latent_difficulty_prev_intersection22,56,0.3977133730515806,0.36023983285859207,0.3977133730515806,0.36023983285859207
output_cells_total,latent_difficulty_prev_intersection22,56,0.382114079236296,0.46628704636233786,0.382114079236296,0.46628704636233786
log1p_peak_memory_bytes,latent_difficulty_prev_intersection22,56,0.37598931328125557,0.553646249222824,0.37598931328125557,0.553646249222824
input_cells_total,latent_difficulty_prev_intersection22,56,0.3730987743406166,0.4211706625396906,0.3730987743406166,0.4211706625396906
peak_memory_bytes,latent_difficulty_prev_intersection22,56,0.37211292296801085,0.553646249222824,0.37211292296801085,0.553646249222824
log1p_elapsed_ms_total,latent_difficulty_prev_intersection22,56,0.34839071915152214,0.31347709606719854,0.34839071915152214,0.31347709606719854
function_count,latent_difficulty_prev_intersection22,56,0.2633387215145933,0.24311686538146163,0.2633387215145933,0.24311686538146163
python_call_count_dynamic,latent_difficulty_prev_intersection22,56,0.23723323362439636,0.36023983285859207,0.23723323362439636,0.36023983285859207
elapsed_ms_per_test,latent_difficulty_prev_intersection22,56,0.19649526873517872,0.4084006053232588,0.19649526873517872,0.4084006053232588
log1p_branch_opcode_count_dynamic,latent_difficulty_prev_intersection22,56,0.18646556717467944,0.24495015430512115,0.18646556717467944,0.24495015430512115
opcode_per_input_cell,latent_difficulty_prev_intersection22,56,0.1820018950311983,0.08002349589778075,0.1820018950311983,0.08002349589778075
opcode_count_dynamic,latent_difficulty_prev_intersection22,56,0.18043450718577547,0.24726438073209828,0.18043450718577547,0.24726438073209828
elapsed_ms_per_input_cell,latent_difficulty_prev_intersection22,56,0.16593956738822047,0.05713908821331955,0.16593956738822047,0.05713908821331955
elapsed_ms_total,latent_difficulty_prev_intersection22,56,0.15791794772264606,0.31347709606719854,0.15791794772264606,0.31347709606719854
branch_opcode_count_dynamic,latent_difficulty_prev_intersection22,56,0.15467622133529715,0.24495015430512115,0.15467622133529715,0.24495015430512115
log1p_opcode_count_dynamic,latent_difficulty_prev_intersection22,56,0.1300717503004815,0.24726438073209828,0.1300717503004815,0.24726438073209828
log1p_ast_node_count,log1p_two_pl_discrimination,55,-0.3268992496854877,-0.36387906775380624,0.3268992496854877,0.36387906775380624
complexity_pc1_score,log1p_two_pl_discrimination,55,-0.3073217354379712,-0.3657845843624132,0.3073217354379712,0.3657845843624132
gzip_bytes,log1p_two_pl_discrimination,55,-0.2889033680687414,-0.36323622266214917,0.2889033680687414,0.36323622266214917
function_count,log1p_two_pl_discrimination,55,-0.2816251022532853,-0.28283492223540063,0.2816251022532853,0.28283492223540063
nonblank_lines,log1p_two_pl_discrimination,55,-0.28093424445596815,-0.37215847973689464,0.28093424445596815,0.37215847973689464
log1p_cyclomatic_complexity,log1p_two_pl_discrimination,55,-0.27487035246067776,-0.2923061099430777,0.27487035246067776,0.2923061099430777
log1p_elapsed_ms_per_test,log1p_two_pl_discrimination,55,-0.256369380262736,-0.33350169564903676,0.256369380262736,0.33350169564903676
input_cells_total,log1p_two_pl_discrimination,55,-0.25397881339909717,-0.36592805712394544,0.25397881339909717,0.36592805712394544
ast_node_count,log1p_two_pl_discrimination,55,-0.24474494195934682,-0.36387906775380624,0.24474494195934682,0.36387906775380624
token_count,log1p_two_pl_discrimination,55,-0.24444779875563988,-0.3460567140486327,0.24444779875563988,0.3460567140486327
halstead_volume,log1p_two_pl_discrimination,55,-0.2398517959545205,-0.35096327296341734,0.2398517959545205,0.35096327296341734
log1p_elapsed_ms_total,log1p_two_pl_discrimination,55,-0.2199798611929745,-0.2685980229453785,0.2199798611929745,0.2685980229453785
call_count_static,log1p_two_pl_discrimination,55,-0.2111674707291825,-0.3226243623853588,0.2111674707291825,0.3226243623853588
branch_node_count,log1p_two_pl_discrimination,55,-0.2034865504769849,-0.2887053100030189,0.2034865504769849,0.2887053100030189
peak_memory_bytes,log1p_two_pl_discrimination,55,-0.20139311076235064,-0.41712966303485105,0.20139311076235064,0.41712966303485105
log1p_peak_memory_bytes,log1p_two_pl_discrimination,55,-0.20133064391718833,-0.41712966303485105,0.20133064391718833,0.41712966303485105
cyclomatic_complexity,log1p_two_pl_discrimination,55,-0.19184477326168786,-0.2923061099430777,0.19184477326168786,0.2923061099430777
max_nesting_depth,log1p_two_pl_discrimination,55,-0.17214266159861588,-0.2250408928687242,0.17214266159861588,0.2250408928687242
halstead_effort,log1p_two_pl_discrimination,55,-0.16454768052789595,-0.32707987589292165,0.16454768052789595,0.32707987589292165
elapsed_ms_per_test,log1p_two_pl_discrimination,55,-0.14348720173711885,-0.33350169564903676,0.14348720173711885,0.33350169564903676
elapsed_ms_per_input_cell,log1p_two_pl_discrimination,55,-0.14044178426924203,-0.02622844361065012,0.14044178426924203,0.02622844361065012
elapsed_ms_total,log1p_two_pl_discrimination,55,-0.1402394868244869,-0.2685980229453785,0.1402394868244869,0.2685980229453785
opcode_count_dynamic,log1p_two_pl_discrimination,55,-0.1368245432192956,-0.23158654283555177,0.1368245432192956,0.23158654283555177
output_cells_total,log1p_two_pl_discrimination,55,-0.1365622226169039,-0.2006532803312968,0.1365622226169039,0.2006532803312968
opcode_per_input_cell,log1p_two_pl_discrimination,55,-0.13423015188862797,-0.04177865969832824,0.13423015188862797,0.04177865969832824
log1p_python_call_count_dynamic,log1p_two_pl_discrimination,55,-0.1283239888784062,-0.14945189016822044,0.1283239888784062,0.14945189016822044
python_call_count_dynamic,log1p_two_pl_discrimination,55,-0.11509169430935151,-0.14945189016822044,0.11509169430935151,0.14945189016822044
branch_opcode_count_dynamic,log1p_two_pl_discrimination,55,-0.11407744531944221,-0.2452323007250707,0.11407744531944221,0.2452323007250707
log1p_opcode_count_dynamic,log1p_two_pl_discrimination,55,-0.07829171653973052,-0.23158654283555177,0.07829171653973052,0.23158654283555177
log1p_branch_opcode_count_dynamic,log1p_two_pl_discrimination,55,-0.0774291587665327,-0.2452323007250707,0.0774291587665327,0.2452323007250707
log1p_opcode_count_dynamic,log1p_two_pl_info_theta0,55,-0.21766595906382863,0.06478759218970372,0.21766595906382863,0.06478759218970372
log1p_branch_opcode_count_dynamic,log1p_two_pl_info_theta0,55,-0.19563976096826163,0.08347332346733287,0.19563976096826163,0.08347332346733287
log1p_peak_memory_bytes,log1p_two_pl_info_theta0,55,0.19245881479282537,0.40171916102269395,0.19245881479282537,0.40171916102269395
peak_memory_bytes,log1p_two_pl_info_theta0,55,0.16609949472597088,0.40171916102269395,0.16609949472597088,0.40171916102269395
max_nesting_depth,log1p_two_pl_info_theta0,55,0.14021767173710126,0.277343332235578,0.14021767173710126,0.277343332235578
log1p_cyclomatic_complexity,log1p_two_pl_info_theta0,55,0.11207616803365943,0.31073365385398305,0.11207616803365943,0.31073365385398305
function_count,log1p_two_pl_info_theta0,55,-0.10795892623415003,0.12993703440399793,0.10795892623415003,0.12993703440399793
log1p_ast_node_count,log1p_two_pl_info_theta0,55,0.09398642364465304,0.3442997555906476,0.09398642364465304,0.3442997555906476
log1p_python_call_count_dynamic,log1p_two_pl_info_theta0,55,-0.09379294341116579,0.08618962126868597,0.09379294341116579,0.08618962126868597
branch_node_count,log1p_two_pl_info_theta0,55,0.08839862364728894,0.28231509800828736,0.08839862364728894,0.28231509800828736
log1p_elapsed_ms_total,log1p_two_pl_info_theta0,55,-0.08813117011592146,0.11563329320340399,0.08813117011592146,0.11563329320340399
input_cells_total,log1p_two_pl_info_theta0,55,0.08377656960176652,0.3080341667029499,0.08377656960176652,0.3080341667029499
cyclomatic_complexity,log1p_two_pl_info_theta0,55,0.08257617600191622,0.31073365385398305,0.08257617600191622,0.31073365385398305
elapsed_ms_total,log1p_two_pl_info_theta0,55,-0.07485721671548229,0.11563329320340399,0.07485721671548229,0.11563329320340399
branch_opcode_count_dynamic,log1p_two_pl_info_theta0,55,-0.07443959100307337,0.08347332346733287,0.07443959100307337,0.08347332346733287
output_cells_total,log1p_two_pl_info_theta0,55,0.07076242523007514,0.2281069745242062,0.07076242523007514,0.2281069745242062
