dataset_key,psychometric_dataset,task_id,latent_difficulty,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,elapsed_ms_per_input_cell,opcode_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell
arc_agi_1_eval,ARC-V1,12997ef3,-1.39576081341223,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12997ef3.py,arc_agi_1_eval|arc_agi_2_train,2,4,3535,95,80,11,621,581,1,32,9,17,28,5,104,36.211,1026,21,44,283,200,65,483,2908.803654,47.727273,138829.26529,ok,4,440,144,2075459800,2075.4598,518.86495,11644,2990,124,984358,977620,4.716954090909091,26.463636363636365,6.795454545454546,0.2818181818181818
arc_agi_1_eval,ARC-V1,12eac192,1.05747032445841,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12eac192.py,arc_agi_1_eval|arc_agi_2_train,2,2,2211,58,47,3,369,371,2,10,2,9,18,5,94,37.121,902,23,34,180,120,57,300,1749.867004,40.588235,71024.013702,ok,2,128,128,2641056900,2641.0569,1320.52845,15440,2632,40,17559,12470,20.63325703125,120.625,20.5625,0.3125
arc_agi_1_eval,ARC-V1,13713586,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\13713586.py,arc_agi_1_eval|arc_agi_2_train,2,2,4754,118,98,12,870,793,1,38,5,36,42,8,100,39.288,1067,21,36,409,264,57,673,3925.53498,77.0,302266.193424,ok,2,684,684,1312146000,1312.146,656.073,7202,1711,56,991869,981976,1.9183421052631577,10.529239766081872,2.5014619883040936,0.08187134502923976
arc_agi_1_eval,ARC-V1,140c817e,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\140c817e.py,arc_agi_1_eval|arc_agi_2_train,2,2,2572,60,52,8,338,318,1,7,1,10,15,3,104,41.867,974,20,27,156,104,47,260,1444.193101,38.518519,55628.178722,ok,2,392,392,775799200,775.7992,387.8996,3957,1068,2,19649,13392,1.9790795918367348,10.09438775510204,2.7244897959183674,0.00510204081632653
arc_agi_1_eval,ARC-V1,17b80ad2,1.46017169826515,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17b80ad2.py,arc_agi_1_eval|arc_agi_2_train,2,2,2482,53,46,9,268,240,1,9,1,8,10,5,109,45.83,888,18,26,117,81,44,198,1080.96746,28.038462,30308.664565,ok,2,578,578,437461800,437.4618,218.7309,1736,393,2,984315,975618,0.7568543252595156,3.0034602076124566,0.6799307958477508,0.0034602076124567475
arc_agi_1_eval,ARC-V1,17cae0c1,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17cae0c1.py,arc_agi_1_eval|arc_agi_2_train,2,2,2655,64,56,5,282,224,1,8,1,12,14,6,96,40.484,940,19,29,112,83,48,195,1089.067688,27.189655,29611.374886,ok,2,54,54,157721400,157.7214,78.8607,950,230,2,13461,9620,2.9207666666666663,17.59259259259259,4.2592592592592595,0.037037037037037035
arc_agi_1_eval,ARC-V1,195ba7dc,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\195ba7dc.py,arc_agi_1_eval|arc_agi_2_train,2,2,1410,35,30,3,130,112,1,4,0,3,5,3,93,39.286,602,15,18,56,39,33,95,479.217441,16.25,7787.283422,ok,2,130,60,152021300,152.0213,76.01065,622,126,2,13809,9222,1.1693946153846153,4.7846153846153845,0.9692307692307692,0.015384615384615385
arc_agi_1_eval,ARC-V1,1990f7a8,0.661681856884496,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1990f7a8.py,arc_agi_1_eval|arc_agi_2_train,2,2,5533,135,119,18,1109,1082,2,52,12,31,50,5,112,39.985,1619,27,64,529,370,91,899,5850.507382,78.046875,456613.818294,ok,2,578,98,3841783300,3841.7833,1920.89165,21704,5675,242,995711,985142,6.646683910034602,37.550173010380625,9.818339100346021,0.4186851211072664
arc_agi_1_eval,ARC-V1,19bb5feb,-5.29060663837094,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\19bb5feb.py,arc_agi_1_eval|arc_agi_2_train,2,2,2061,48,41,5,346,342,2,18,0,7,10,4,146,41.938,753,19,33,162,124,52,286,1630.325759,35.69697,58197.689229,ok,2,420,8,1436930200,1436.9302,718.4651,8545,1462,10,17023,10520,3.4212623809523808,20.345238095238095,3.480952380952381,0.023809523809523808
arc_agi_1_eval,ARC-V1,1a2e2828,-2.9771346185528,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a2e2828.py,arc_agi_1_eval|arc_agi_2_train,2,2,2409,50,42,7,283,269,1,20,2,6,13,2,118,47.18,819,15,23,138,88,38,226,1186.031618,28.695652,34033.950778,ok,2,286,2,658841800,658.8418,329.4209,4105,959,2,16101,10480,2.3036426573426576,14.353146853146853,3.3531468531468533,0.006993006993006993
arc_agi_1_eval,ARC-V1,1a6449f1,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a6449f1.py,arc_agi_1_eval|arc_agi_2_train,2,2,4958,132,114,8,853,803,3,31,0,34,49,5,93,36.561,1371,27,62,371,277,89,648,4196.275263,60.314516,253096.312048,ok,2,1350,200,66215835300,66215.8353,33107.91765,308661,99977,32,993059,979706,49.04876688888889,228.63777777777779,74.05703703703703,0.023703703703703703
arc_agi_1_eval,ARC-V1,1c02dbbe,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c02dbbe.py,arc_agi_1_eval|arc_agi_2_train,2,2,6199,148,127,16,1045,1081,1,30,13,26,55,5,109,40.885,1548,30,72,478,375,102,853,5691.578817,78.125,444654.595055,ok,2,450,450,6277586800,6277.5868,3138.7934,32833,7047,230,991185,983156,13.950192888888889,72.96222222222222,15.66,0.5111111111111111
arc_agi_1_eval,ARC-V1,1c0d0a4b,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c0d0a4b.py,arc_agi_1_eval|arc_agi_2_train,2,2,1777,46,38,2,239,227,2,13,4,5,13,4,109,37.63,761,15,26,109,83,41,192,1028.649985,23.942308,24628.254446,ok,2,338,338,14995418400,14995.4184,7497.7092,64131,11460,3820,21277,13916,44.36514319526627,189.73668639053255,33.905325443786985,11.301775147928995
arc_agi_1_eval,ARC-V1,1d0a4b61,-3.6334266794513,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d0a4b61.py,arc_agi_1_eval|arc_agi_2_train,2,2,3620,83,75,6,579,550,2,13,1,22,27,7,108,42.614,1165,24,37,257,188,61,445,2639.178115,60.972973,160918.53589,ok,2,1250,1250,62826330900,62826.3309,31413.16545,297589,50400,244,1000925,983620,50.26106472,238.0712,40.32,0.1952
arc_agi_1_eval,ARC-V1,1d398264,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d398264.py,arc_agi_1_eval|arc_agi_2_train,2,4,3944,87,77,4,684,678,1,25,5,27,38,8,98,44.333,1027,23,31,303,229,54,532,3061.600151,84.951613,260087.870905,ok,4,800,800,2793270700,2793.2707,698.317675,17920,3318,260,986855,978730,3.491588375,22.4,4.1475,0.325
arc_agi_1_eval,ARC-V1,1e81d6f9,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1e81d6f9.py,arc_agi_1_eval|arc_agi_2_train,2,2,1612,40,34,4,195,176,1,6,1,7,12,3,116,39.3,636,18,21,84,62,39,146,771.668724,26.571429,20504.340379,ok,2,450,450,598776400,598.7764,299.3882,3659,1048,2,980595,974114,1.3306142222222221,8.13111111111111,2.328888888888889,0.0044444444444444444
arc_agi_1_eval,ARC-V1,2037f2c7,2.78120618880522,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2037f2c7.py,arc_agi_1_eval|arc_agi_2_train,2,2,5607,145,117,13,1075,1119,2,49,6,25,46,5,158,37.669,1937,29,94,494,381,123,875,6074.700192,58.771277,357017.88523,ok,2,1200,40,19796765700,19796.7657,9898.38285,94106,17921,88,1017013,993636,16.49730475,78.42166666666667,14.934166666666666,0.07333333333333333
arc_agi_1_eval,ARC-V1,2072aba6,-2.9771346185528,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2072aba6.py,arc_agi_1_eval|arc_agi_2_train,2,2,1628,38,33,3,188,189,1,6,2,3,6,3,88,41.842,632,16,21,86,65,37,151,786.627458,24.761905,19478.394203,ok,2,18,72,101699600,101.6996,50.8498,607,128,2,13349,9660,5.649977777777778,33.72222222222222,7.111111111111111,0.1111111111111111
arc_agi_1_eval,ARC-V1,20981f0e,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\20981f0e.py,arc_agi_1_eval|arc_agi_2_train,2,2,3935,102,85,13,700,726,1,37,7,18,31,5,129,37.578,1133,22,50,319,238,72,557,3436.648226,52.36,179942.901103,ok,2,442,442,1487583300,1487.5833,743.79165,8619,2040,114,988071,979818,3.3655730769230767,19.5,4.615384615384615,0.2579185520361991
arc_agi_1_eval,ARC-V1,21f83797,-2.39589187694348,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\21f83797.py,arc_agi_1_eval|arc_agi_2_train,2,2,2143,58,48,7,328,311,1,16,1,8,10,3,108,35.948,782,15,28,150,109,43,259,1405.402571,29.196429,41032.735792,ok,2,338,338,571959300,571.9593,285.97965,2839,738,2,18979,13106,1.6921872781065088,8.399408284023668,2.1834319526627217,0.005917159763313609
arc_agi_1_eval,ARC-V1,22a4bbc2,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\22a4bbc2.py,arc_agi_1_eval|arc_agi_2_train,2,2,1791,46,38,5,228,214,1,7,1,7,10,5,107,37.935,713,21,29,100,72,50,172,970.743265,26.068966,25306.272692,ok,2,176,176,316204700,316.2047,158.10235,1876,333,2,19485,14460,1.7966176136363636,10.659090909090908,1.8920454545454546,0.011363636363636364
arc_agi_1_eval,ARC-V1,32e9702f,-1.39576081341223,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\32e9702f.py,arc_agi_1_eval|arc_agi_2_train,2,2,2456,60,51,6,348,319,1,9,2,14,17,5,100,39.933,846,21,28,152,109,49,261,1465.439269,40.875,59899.830133,ok,2,200,200,573933100,573.9331,286.96655,3921,1240,2,18039,12550,2.8696655,19.605,6.2,0.01
arc_agi_1_eval,ARC-V1,50aad11f,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\50aad11f.py,arc_agi_1_eval|arc_agi_2_train,2,2,6827,195,161,22,1263,1203,2,52,14,30,54,5,111,33.99,1880,33,86,579,413,119,992,6839.659221,79.238372,541963.462359,ok,2,468,96,4099203000,4099.203,2049.6015,25760,5751,262,993679,983978,8.75898076923077,55.042735042735046,12.288461538461538,0.5598290598290598
arc_agi_1_eval,ARC-V1,97239e3d,2.78120618880522,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\97239e3d.py,arc_agi_1_eval|arc_agi_2_train,2,2,3159,75,63,11,419,387,2,12,3,14,23,6,142,41.12,1060,25,43,178,135,68,313,1905.375869,39.244186,74774.925104,ok,2,578,578,1372657800,1372.6578,686.3289,7615,1958,10,986303,976978,2.3748404844290656,13.174740484429066,3.387543252595156,0.01730103806228374
arc_agi_1_eval,ARC-V1,981571dc,1.87551400852285,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\981571dc.py,arc_agi_1_eval|arc_agi_2_eval,2,2,2274,51,45,4,257,265,1,3,1,7,13,5,99,43.588,773,18,21,113,89,39,202,1067.651248,38.142857,40723.269039,ok,2,1800,1800,3475413900,3475.4139,1737.70695,19662,5767,2,1000519,982634,1.9307855,10.923333333333334,3.203888888888889,0.0011111111111111111
arc_agi_1_eval,ARC-V1,aa4ec2a5,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\aa4ec2a5.py,arc_agi_1_eval|arc_agi_2_eval,2,2,5241,129,112,16,1069,1053,2,32,6,32,55,7,99,39.581,1455,26,53,519,348,79,867,5465.377909,85.358491,466516.408657,ok,2,1404,1404,27565685700,27565.6857,13782.84285,141432,32732,1426,1048678,1001197,19.633679273504274,100.73504273504274,23.313390313390315,1.0156695156695157
arc_agi_1_eval,ARC-V1,c62e2108,3.92531115061119,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\c62e2108.py,arc_agi_1_eval|arc_agi_2_train,2,2,7435,175,153,23,1241,1213,1,30,10,45,69,6,155,41.486,1784,30,71,559,408,101,967,6438.490504,86.197183,554979.744836,ok,2,1152,1152,9219776100,9219.7761,4609.88805,46923,12286,210,1008535,989234,8.003277864583332,40.731770833333336,10.664930555555555,0.18229166666666666
arc_agi_1_eval,ARC-V1,fe9372f3,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\fe9372f3.py,arc_agi_1_eval|arc_agi_2_train,2,2,4385,110,95,16,814,844,1,14,1,27,53,5,123,38.864,1148,25,35,367,274,60,641,3786.316872,97.857143,370518.151025,ok,2,1020,1020,1267036300,1267.0363,633.51815,7487,1772,2,996075,983078,1.242192450980392,7.340196078431372,1.7372549019607844,0.00196078431372549
arc_agi_2_eval,ARC-V2,1818057f,3.30595636263481,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1818057f.py,arc_agi_2_eval,1,1,1540,40,35,3,271,268,1,10,1,4,10,3,112,37.5,625,17,21,128,89,38,217,1138.80027,36.02381,41023.924027,ok,1,484,484,148280900,148.2809,148.2809,0,0,1,985164,976083,0.3063654958677686,0.0,0.0,0.002066115702479339
arc_agi_2_eval,ARC-V2,291dc1e1,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\291dc1e1.py,arc_agi_2_eval,1,1,5735,169,150,18,1398,1397,2,71,15,44,66,7,98,32.929,1721,29,72,673,455,101,1128,7510.462553,91.631944,688198.287367,ok,1,224,144,791185500,791.1855,791.1855,4608,670,291,35866,24233,3.5320781250000004,20.571428571428573,2.9910714285714284,1.2991071428571428
arc_agi_2_eval,ARC-V2,2ba387bc,-1.39576081341223,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2ba387bc.py,arc_agi_2_eval,1,1,4137,107,90,10,648,567,5,32,2,18,27,7,139,37.664,1309,24,46,296,199,70,495,3033.995093,51.913043,157503.919196,ok,1,456,128,174357900,174.3579,174.3579,323,45,20,989633,978968,0.3823638157894737,0.7083333333333334,0.09868421052631579,0.043859649122807015
arc_agi_2_eval,ARC-V2,38007db0,1.87551400852285,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\38007db0.py,arc_agi_2_eval,1,2,2942,87,71,13,516,486,1,30,3,14,18,3,92,32.816,932,17,43,236,160,60,396,2339.128676,31.627907,73981.744167,ok,2,1466,407,1721094300,1721.0943,860.54715,9607,2177,210,1010403,989510,1.174007025920873,6.553206002728513,1.484993178717599,0.1432469304229195
arc_agi_2_eval,ARC-V2,3e6067c3,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\3e6067c3.py,arc_agi_2_eval,1,2,7206,187,159,18,1562,1501,1,56,5,53,71,8,137,37.535,1732,31,79,746,510,110,1256,8517.3878,100.063291,852277.855196,ok,2,1741,1741,9071832200,9071.8322,4535.9161,38663,7630,470,1977811,998028,5.210702010338886,22.207352096496265,4.382538770821367,0.269959793222286
arc_agi_2_eval,ARC-V2,45a5af55,1.46017169826515,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\45a5af55.py,arc_agi_2_eval,1,1,2216,54,48,9,310,321,1,10,4,7,14,4,99,40.037,863,23,30,135,106,53,241,1380.42883,40.633333,56091.424774,ok,1,154,676,251321800,251.3218,251.3218,1229,341,191,22116,17611,1.6319597402597403,7.98051948051948,2.2142857142857144,1.2402597402597402
arc_agi_2_eval,ARC-V2,4a21e3da,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\4a21e3da.py,arc_agi_2_eval,1,1,7206,198,163,11,1541,1638,1,34,30,45,104,7,90,35.394,1535,28,65,691,540,93,1231,8049.704496,116.307692,936242.553744,ok,1,400,400,413675400,413.6754,413.6754,1728,500,261,30600,23215,1.0341885,4.32,1.25,0.6525
arc_agi_2_eval,ARC-V2,4c3d4a41,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\4c3d4a41.py,arc_agi_2_eval,1,2,4275,91,79,14,548,519,1,21,2,19,29,7,126,45.978,1240,26,37,238,178,63,416,2486.548448,62.540541,155510.084029,ok,2,320,320,736326200,736.3262,368.1631,3924,928,2,19609,13920,2.301019375,12.2625,2.9,0.00625
arc_agi_2_eval,ARC-V2,58490d8a,1.05747032445841,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\58490d8a.py,arc_agi_2_eval,1,1,6142,160,129,14,1094,1064,2,45,3,32,45,5,129,37.388,1818,29,78,505,361,107,866,5838.11041,67.108974,391789.601825,ok,1,550,99,158327100,158.3271,158.3271,20,0,9,1008013,986535,0.28786745454545454,0.03636363636363636,0.0,0.016363636363636365
arc_agi_2_eval,ARC-V2,58f5dbd5,3.30595636263481,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\58f5dbd5.py,arc_agi_2_eval,1,1,5357,140,117,21,973,950,2,50,14,27,44,5,94,37.221,1648,25,75,438,330,100,768,5102.481554,55.0,280636.485456,ok,1,437,247,524515800,524.5158,524.5158,2528,574,176,1069330,1045865,1.2002649885583525,5.784897025171625,1.3135011441647597,0.40274599542334094
arc_agi_2_eval,ARC-V2,8f215267,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\8f215267.py,arc_agi_2_eval,1,1,5759,156,132,18,1163,1108,5,35,2,35,47,6,97,35.917,1726,30,75,524,395,105,919,6170.391631,79.0,487460.938828,ok,1,621,621,118890492700,118890.4927,118890.4927,739817,98959,23744,999402,985277,191.45006876006443,1191.3317230273751,159.35426731078906,38.23510466988728
arc_agi_2_eval,ARC-V2,981571dc,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\981571dc.py,arc_agi_1_eval|arc_agi_2_eval,2,2,2274,51,45,4,257,265,1,3,1,7,13,5,99,43.588,773,18,21,113,89,39,202,1067.651248,38.142857,40723.269039,ok,2,1800,1800,3475413900,3475.4139,1737.70695,19662,5767,2,1000519,982634,1.9307855,10.923333333333334,3.203888888888889,0.0011111111111111111
arc_agi_2_eval,ARC-V2,a251c730,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\a251c730.py,arc_agi_2_eval,1,1,7144,181,151,17,1333,1325,2,39,1,42,57,8,104,38.47,1963,31,100,603,455,131,1058,7441.361536,70.525,524802.0223,ok,1,900,126,880021100,880.0211,880.0211,8,0,4,1999427,1030719,0.9778012222222223,0.008888888888888889,0.0,0.0044444444444444444
arc_agi_2_eval,ARC-V2,aa4ec2a5,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\aa4ec2a5.py,arc_agi_1_eval|arc_agi_2_eval,2,2,5241,129,112,16,1069,1053,2,32,6,32,55,7,99,39.581,1455,26,53,519,348,79,867,5465.377909,85.358491,466516.408657,ok,2,1404,1404,27565685700,27565.6857,13782.84285,141432,32732,1426,1048678,1001197,19.633679273504274,100.73504273504274,23.313390313390315,1.0156695156695157
arc_agi_2_eval,ARC-V2,b0039139,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\b0039139.py,arc_agi_2_eval,1,2,6409,187,155,16,1350,1291,7,66,9,40,58,5,107,33.273,1648,27,75,630,438,102,1068,7126.150265,78.84,561825.68691,ok,2,385,240,2690324400,2690.3244,1345.1622,16781,3218,384,36122,25557,6.987855584415584,43.58701298701299,8.358441558441559,0.9974025974025974
arc_agi_2_eval,ARC-V2,b10624e5,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\b10624e5.py,arc_agi_2_eval,1,1,5565,152,123,17,1153,1208,6,48,15,14,36,4,92,35.612,1691,25,106,511,446,131,957,6730.985812,52.59434,354011.753816,ok,1,729,729,4229713500,4229.7135,4229.7135,22318,5300,723,1015341,1000718,5.802076131687243,30.614540466392317,7.270233196159122,0.9917695473251029
arc_agi_2_eval,ARC-V2,db0c5428,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\db0c5428.py,arc_agi_2_eval,1,1,6131,176,153,25,1250,1223,2,40,2,37,45,4,108,33.727,1458,24,48,540,446,72,986,6083.546051,111.5,678315.384734,ok,1,289,289,582726900,582.7269,582.7269,3550,852,73,26054,18397,2.016356055363322,12.283737024221454,2.9480968858131487,0.25259515570934254
arc_agi_2_eval,ARC-V2,db695cfb,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\db695cfb.py,arc_agi_2_eval,1,1,3122,81,71,12,580,594,1,16,2,21,26,7,81,37.543,834,21,34,259,193,55,452,2613.174591,59.602941,155752.891402,ok,1,525,525,169445500,169.4455,169.4455,0,0,1,985896,978127,0.32275333333333334,0.0,0.0,0.0019047619047619048
