analysis,sample,outcome,outcome_label,candidate_metric,candidate_label,baseline_metric,n,baseline_corr,candidate_corr,candidate_spearman,delta_corr,delta_ci_low,delta_ci_high,p_value,q_value_bh,improves_raw_p_lt_0_05,improves_fdr_lt_0_05,worsens_raw_p_lt_0_05,worsens_fdr_lt_0_05
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,exact_any,Exact match (either stored attempt),lm_mean,161,0.22059667271534347,0.23751578825923264,0.2762805758670894,0.01691911554388917,-0.01828649047828198,0.04797397866267917,0.31475,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,adjacency_iou,Adjacency IoU,lm_mean,161,0.22059667271534347,0.17047524384442372,0.1939728548424201,-0.05012142887091975,-0.24868608556767893,0.1276818243426913,0.5805,0.7864838709677419,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,color_iou,Color multiset IoU,lm_mean,161,0.22059667271534347,0.15062948517257704,0.17966413618587532,-0.06996718754276643,-0.2708271743875029,0.11171690331563018,0.456,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,shape_iou,Shape IoU,lm_mean,161,0.22059667271534347,0.11435678770238439,0.20631844662024415,-0.10623988501295908,-0.2756536215467718,0.10465704847543714,0.27675,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,exact_any,Exact match (either stored attempt),lm_mean,161,0.34471273051520274,0.35795303699691217,0.37403938876778287,0.01324030648170943,-0.012916551327798046,0.04253567823974313,0.35075,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,component_size_iou,Component-size IoU,lm_mean,161,0.34471273051520274,0.27573620155343664,0.2795987342255376,-0.06897652896176609,-0.21211033915905805,0.07755151713551237,0.335,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,soft_composite,Soft composite mean,lm_mean,161,0.34471273051520274,0.24185253259055614,0.2338963713066359,-0.1028601979246466,-0.2771232211850501,0.07386781099180613,0.242,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,cell_accuracy_padded,Padded cell accuracy,lm_mean,161,0.34471273051520274,0.23080330976239327,0.2222314343302135,-0.11390942075280946,-0.2984032078298863,0.071288064544525,0.21525,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,color_iou,Color multiset IoU,lm_mean,161,0.34471273051520274,0.19343692026214915,0.21319641547895932,-0.1512758102530536,-0.339498808343165,0.04334719177675122,0.12125,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,adjacency_iou,Adjacency IoU,lm_mean,161,0.34471273051520274,0.16852836596377227,0.1937949861895771,-0.17618436455143047,-0.3588735098955016,0.007738300462420259,0.06025,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,solve_rate,Human solve rate,shape_iou,Shape IoU,lm_mean,161,0.34471273051520274,0.1048987616947184,0.050286641080601775,-0.23981396882048434,-0.45526970588173915,-0.010626368198513446,0.04175,0.7741034482758621,False,False,True,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,exact_any,Exact match (either stored attempt),lm_mean,110,0.37965147863282916,0.37664883711341096,0.40793315368147764,-0.0030026415194182032,-0.029231841940125302,0.02374766982587882,0.81225,0.8780625000000001,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,component_size_iou,Component-size IoU,lm_mean,110,0.37965147863282916,0.36930928448944683,0.37300002254130693,-0.010342194143382333,-0.18675073877342452,0.1660027585858993,0.89825,0.89825,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,soft_composite,Soft composite mean,lm_mean,110,0.37965147863282916,0.3348469907486557,0.32688952505466273,-0.04480448788417346,-0.26150703364755307,0.1848504784277014,0.68425,0.8327999999999999,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,cell_accuracy_padded,Padded cell accuracy,lm_mean,110,0.37965147863282916,0.30455441217859974,0.2989563374884475,-0.07509706645422942,-0.30409487341083785,0.1604153238291738,0.5245,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,color_iou,Color multiset IoU,lm_mean,110,0.37965147863282916,0.2539244307378214,0.25929265378806665,-0.12572704789500777,-0.3548121171476276,0.12238505440024632,0.31,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,adjacency_iou,Adjacency IoU,lm_mean,110,0.37965147863282916,0.2529054972150903,0.2665780041926831,-0.12674598141773885,-0.3604265151007319,0.11588661415046961,0.297,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,difficulty,Human pair difficulty,shape_iou,Shape IoU,lm_mean,110,0.37965147863282916,0.1678437403570278,0.08566036724469984,-0.21180773827580138,-0.4686318126616527,0.06567378515121337,0.1375,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,cell_accuracy_padded,Padded cell accuracy,lm_mean,110,0.21717922300860518,0.29748870536247873,0.32163289227509406,0.08030948235387356,-0.16756377376666903,0.3115364626169465,0.50875,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,component_size_iou,Component-size IoU,lm_mean,110,0.21717922300860518,0.2960535113410139,0.3125712868832135,0.0788742883324087,-0.08819368971108235,0.25802605449020494,0.38075,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,soft_composite,Soft composite mean,lm_mean,110,0.21717922300860518,0.248861720029819,0.28989473209656696,0.03168249702121381,-0.20687404215464847,0.2681404710356205,0.807,0.8780625000000001,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,exact_any,Exact match (either stored attempt),lm_mean,110,0.21717922300860518,0.23041634962629653,0.2952230653272859,0.013237126617691358,-0.033173963606885806,0.05399054298152651,0.565,0.7864838709677419,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,shape_iou,Shape IoU,lm_mean,110,0.21717922300860518,0.13849032686220134,0.18504140234815333,-0.07868889614640384,-0.3561161366813669,0.19397376405516026,0.5345,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,adjacency_iou,Adjacency IoU,lm_mean,110,0.21717922300860518,0.1285858330294161,0.18427518427518427,-0.08859338997918909,-0.3363204104330661,0.1668062279956483,0.4865,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,mean_duration_seconds,Mean human duration,color_iou,Color multiset IoU,lm_mean,110,0.21717922300860518,0.12146199283619774,0.18238171449180623,-0.09571723017240744,-0.3552200996154614,0.1754601705125939,0.47775,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,exact_any,Exact match (either stored attempt),lm_mean,110,0.40186501155624427,0.39972930068094803,0.4343599536843868,-0.0021357108752962373,-0.02699462110819239,0.023563532807187135,0.864,0.8850731707317073,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,component_size_iou,Component-size IoU,lm_mean,110,0.40186501155624427,0.3848695295874991,0.39257186609534767,-0.016995481968745174,-0.18973981591123584,0.16108771272534275,0.833,0.8780625000000001,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,soft_composite,Soft composite mean,lm_mean,110,0.40186501155624427,0.3793902791166897,0.353486854182757,-0.022474732439554557,-0.23733528927739453,0.2013946794550476,0.83625,0.8780625000000001,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,cell_accuracy_padded,Padded cell accuracy,lm_mean,110,0.40186501155624427,0.3506518174479964,0.329246825983065,-0.05121319410824787,-0.27875999376001137,0.1859449032059849,0.6585,0.8327999999999999,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,color_iou,Color multiset IoU,lm_mean,110,0.40186501155624427,0.31152283787481466,0.3086672047262795,-0.0903421736814296,-0.3230087225088832,0.1578827428460762,0.46825,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,adjacency_iou,Adjacency IoU,lm_mean,110,0.40186501155624427,0.2987245017564587,0.3055942705026049,-0.10314050979978556,-0.3367729070251431,0.1427740365135468,0.3975,0.7741034482758621,False,False,False,False
human_pair_level,public_eval_pairs_attempts_ge_8,solve_rate,Human solve rate,shape_iou,Shape IoU,lm_mean,110,0.40186501155624427,0.19411591574177203,0.10799715358046429,-0.20774909581447223,-0.480816320045834,0.07682370247195522,0.16025,0.7741034482758621,False,False,False,False
