task_index,task_id,first_hit_step,solved_by_end,difficulty_score,oracle_k
250,a5313dff,154,True,0.07703851925962982,2
251,a5f85a15,1693,True,0.8469234617308654,2
252,a61ba2ce,1684,True,0.8424212106053026,2
253,a61f2674,408,True,0.20410205102551277,2
254,a64e4611,554,True,0.2771385692846423,2
255,a65b410d,274,True,0.13706853426713356,2
256,a68b268e,2000,False,1.0,2
257,a699fb00,128,True,0.064032016008004,2
258,a740d043,2000,False,1.0,2
259,a78176bb,2000,False,1.0,2
260,a79310a0,571,True,0.28564282141070535,2
261,a85d4709,2000,False,1.0,2
262,a87f7484,180,True,0.09004502251125562,2
263,a8c38be5,2000,False,1.0,2
264,a8d7556c,2000,False,1.0,2
265,a9f96cdd,764,True,0.38219109554777386,2
266,aabf363d,747,True,0.3736868434217109,2
267,aba27056,2000,False,1.0,2
268,ac0a08a4,2000,False,1.0,2
269,ae3edfdc,209,True,0.10455227613806903,2
270,ae4f1146,2000,False,1.0,2
271,aedd82e4,406,True,0.2031015507753877,2
272,af902bf9,293,True,0.14657328664332167,2
273,b0c4d837,2000,False,1.0,2
274,b190f7f5,2000,False,1.0,2
275,b1948b0a,150,True,0.0750375187593797,2
276,b230c067,2000,False,1.0,2
277,b27ca6d3,2000,False,1.0,2
278,b2862040,2000,False,1.0,2
279,b527c5c6,2000,False,1.0,2
280,b548a754,413,True,0.2066033016508254,2
281,b60334d2,216,True,0.10805402701350675,2
282,b6afb2da,218,True,0.10905452726363181,2
283,b7249182,2000,False,1.0,2
284,b775ac94,2000,False,1.0,2
285,b782dc8a,2000,False,1.0,2
286,b8825c91,565,True,0.28264132066033015,2
287,b8cdaf2b,2000,False,1.0,2
288,b91ae062,2000,False,1.0,2
289,b94a9452,134,True,0.0670335167583792,2
290,b9b7f026,166,True,0.0830415207603802,2
291,ba26e723,1971,True,0.9859929964982491,2
292,ba97ae07,162,True,0.08104052026013006,2
293,bb43febb,185,True,0.09254627313656828,2
294,bbc9ae5d,2000,False,1.0,2
295,bc1d5164,2000,False,1.0,2
296,bd4472b8,2000,False,1.0,2
297,bda2d7a6,172,True,0.08604302151075538,2
298,bdad9b1f,137,True,0.06853426713356678,2
299,be94b721,2000,False,1.0,2
300,beb8660c,2000,False,1.0,2
301,c0f76784,317,True,0.1585792896448224,2
302,c1d99e64,136,True,0.06803401700850426,2
303,c3e719e8,2000,False,1.0,2
304,c3f564a4,150,True,0.0750375187593797,2
305,c444b776,2000,False,1.0,2
306,c59eb873,2000,False,1.0,2
307,c8cbb738,2000,False,1.0,2
308,c8f0f002,159,True,0.07953976988494248,2
309,c909285e,2000,False,1.0,2
310,c9e6f938,2000,False,1.0,2
311,c9f8e694,176,True,0.0880440220110055,2
312,caa06a1f,2000,False,1.0,2
313,cbded52d,325,True,0.16258129064532267,2
314,cce03e0d,2000,False,1.0,2
315,cdecee7f,2000,False,1.0,2
316,ce22a75a,391,True,0.19559779889944973,2
317,ce4f8723,2000,False,1.0,2
318,ce602527,2000,False,1.0,2
319,ce9e57f2,2000,False,1.0,2
320,cf98881b,2000,False,1.0,2
321,d037b0a7,1197,True,0.59879939969985,2
322,d06dbe63,1265,True,0.632816408204102,2
323,d07ae81c,1047,True,0.5237618809404703,2
324,d0f5fe59,2000,False,1.0,2
325,d10ecb37,156,True,0.07803901950975488,2
326,d13f3404,2000,False,1.0,2
327,d22278a0,2000,False,1.0,2
328,d23f8c26,2000,False,1.0,2
329,d2abd087,2000,False,1.0,2
330,d364b489,167,True,0.08354177088544272,2
331,d406998b,631,True,0.3156578289144572,2
332,d43fd935,260,True,0.13006503251625812,2
333,d4469b4b,2000,False,1.0,2
334,d4a91cb9,463,True,0.23161580790395198,2
335,d4f3cd78,2000,False,1.0,2
336,d511f180,2000,False,1.0,2
337,d5d6de2d,160,True,0.080040020010005,2
338,d631b094,2000,False,1.0,2
339,d687bc17,2000,False,1.0,2
340,d6ad076f,330,True,0.16508254127063532,2
341,d89b689b,517,True,0.2586293146573287,2
342,d8c310e9,367,True,0.18359179589794897,2
343,d90796e8,2000,False,1.0,2
344,d9f24cd1,2000,False,1.0,2
345,d9fac9be,150,True,0.0750375187593797,2
346,dae9d2b5,2000,False,1.0,2
347,db3e9e38,291,True,0.1455727863931966,2
348,db93a21d,2000,False,1.0,2
349,dbc1a6ce,437,True,0.21860930465232617,2
350,dc0a314f,2000,False,1.0,2
351,dc1df850,518,True,0.2591295647823912,2
352,dc433765,374,True,0.1870935467733867,2
353,ddf7fa4f,266,True,0.1330665332666333,2
354,de1cd16c,27,True,0.013506753376688344,2
355,ded97339,262,True,0.1310655327663832,2
356,e179c5f4,2000,False,1.0,2
357,e21d9049,2000,False,1.0,2
358,e26a3af2,57,True,0.028514257128564282,2
359,e3497940,2000,False,1.0,2
360,e40b9e2f,2000,False,1.0,2
361,e48d4e1a,2000,False,1.0,2
362,e5062a87,2000,False,1.0,2
363,e509e548,2000,False,1.0,2
364,e50d258f,2000,False,1.0,2
365,e6721834,2000,False,1.0,2
366,e73095fd,185,True,0.09254627313656828,2
367,e76a88a6,2000,False,1.0,2
368,e8593010,2000,False,1.0,2
369,e8dc4411,2000,False,1.0,2
370,e9614598,2000,False,1.0,2
371,e98196ab,2000,False,1.0,2
372,e9afcf9a,359,True,0.17958979489744872,2
373,ea32f347,183,True,0.09154577288644322,2
374,ea786f4a,155,True,0.07753876938469234,2
375,eb281b96,2000,False,1.0,2
376,eb5a1d5d,2000,False,1.0,2
377,ec883f72,600,True,0.3001500750375188,2
378,ecdecbb3,2000,False,1.0,2
379,ed36ccf7,2000,False,1.0,2
380,ef135b50,157,True,0.0785392696348174,2
381,f15e1fac,2000,False,1.0,2
382,f1cefba8,418,True,0.20910455227613806,2
383,f25fbde4,2000,False,1.0,2
384,f25ffba3,2000,False,1.0,2
385,f2829549,2000,False,1.0,2
386,f35d900a,2000,False,1.0,2
387,f5b8619d,2000,False,1.0,2
388,f76d97a5,85,True,0.04252126063031516,2
389,f8a8fe49,2000,False,1.0,2
390,f8b3ba0a,151,True,0.07553776888444222,2
391,f8c80d96,522,True,0.26113056528264134,2
392,f8ff0b80,2000,False,1.0,2
393,f9012d9b,168,True,0.08404202101050526,2
394,fafffa47,2000,False,1.0,2
395,fcb5c309,150,True,0.0750375187593797,2
396,fcc82909,2000,False,1.0,2
397,feca6190,2000,False,1.0,2
398,ff28f65a,2000,False,1.0,2
399,ff805c23,2000,False,1.0,2
