simulation,pearson,spearman,n_items,benchmark,population,subset_note
40,0.37732267903164857,0.2819167939232403,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
41,0.42738282740033556,0.3816777620028741,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
42,0.35218299305855694,0.2842311515303849,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
43,0.44836000482610633,0.38659619901772374,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
44,0.4116682015525623,0.34635426818967424,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
45,0.47609421595432855,0.37143177450352344,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
46,0.42623523621286,0.33715760468379324,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
47,0.5548177652453428,0.46571735893484767,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
48,0.44879864538706066,0.3439917053132202,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
49,0.45837320143353505,0.375749909101927,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
50,0.4397698402969104,0.3473622558296787,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
51,0.4794390849551867,0.3823030108904549,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
52,0.40572046309942417,0.3254940714713862,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
53,0.5310744953441738,0.4237517350152539,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
54,0.4313704424115731,0.3700321254392127,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
55,0.38002108027112197,0.2961567429056218,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
56,0.4309074205355236,0.36356181934657283,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
57,0.34478876950497467,0.2786755549044026,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
58,0.4179540188722694,0.3367023659822394,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
59,0.45683723554968764,0.35807627475769077,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
60,0.41290432889950945,0.3123446508648303,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
61,0.46683163958790946,0.3912148265089442,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
62,0.4412120828531817,0.3320687200047603,227,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
63,0.4109766097199498,0.31971605501017264,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
64,0.4919845918520654,0.4137858961388373,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
65,0.4166582735496649,0.3286524011955369,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
66,0.4108609030286096,0.3548456313162195,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
67,0.4947845534357628,0.4019519561824154,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
68,0.417560141401836,0.3476824294217785,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
69,0.4171282069908831,0.33150799181966717,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
70,0.41231800154092524,0.31293404972608513,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
71,0.4249591879822369,0.36850403414304755,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
72,0.3534347029686928,0.2950758051801159,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
73,0.4047307788274803,0.2828282890124927,214,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
74,0.4097393949275825,0.3607170992260678,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
75,0.41398906752838605,0.31809564208667346,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
76,0.3999288811643213,0.3439384418522285,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
77,0.4404667519259221,0.3669455381856458,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
78,0.45874441635713187,0.38096185846863473,227,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
79,0.43002087782737414,0.3241082856383878,215,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
80,0.44162479512601205,0.35857115857115857,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
81,0.4032832025533693,0.33061914238384826,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
82,0.4106069704953775,0.3249221477886034,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
83,0.3808727197821023,0.304672722311021,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
84,0.3753653951842922,0.3044974715549937,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
85,0.31435907651610284,0.2586764472810371,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
86,0.4612266322204536,0.3694898453867063,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
87,0.41312428104856425,0.34851321120458906,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
88,0.45062968605051384,0.37893420036852754,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
89,0.4769020289765555,0.39535858735326035,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
90,0.39124356032756824,0.2879946805813043,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
91,0.4937647070347949,0.4207890241298314,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
92,0.4122897655785665,0.30631927690751215,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
93,0.4217467664493857,0.33977172758120355,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
94,0.40113086497752387,0.31544247787610624,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
95,0.4652051689291768,0.3910239464628062,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
96,0.467023345808431,0.39168142401773176,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
97,0.48172441838394436,0.39758597566816745,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
98,0.4059931692279151,0.3205800671351638,215,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
99,0.44910285760434454,0.35861672987779186,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
100,0.3834485403812545,0.32786307045531016,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
101,0.3838629556980673,0.3042105927656082,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
102,0.48879509095685925,0.3860829154946802,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
103,0.4864475334820793,0.4125937631689845,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
104,0.48676627356097807,0.42386580318524403,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
105,0.38866104272841806,0.3200821744627055,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
106,0.41845683994503385,0.3268806298147745,215,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
107,0.4211802037198946,0.3292144487079861,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
108,0.38378551882392126,0.3161184548767809,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
109,0.38416043029356334,0.33473094170403594,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
110,0.4585685367301753,0.3852946735299676,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
111,0.37978142161145867,0.3216248879185997,227,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
112,0.4696020756425555,0.3936557473552989,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
113,0.4224347581322298,0.33466919511167303,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
114,0.42156436878473025,0.34661423186878215,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
115,0.39128812496685716,0.3012297210727704,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
116,0.4772951305155872,0.3728283151825753,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
117,0.45843058100295425,0.37802043826380116,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
118,0.4280331089341224,0.36711643264364147,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
119,0.4696052454467404,0.38137102262662803,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
120,0.45623959920641954,0.3760959231547466,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
121,0.4898201289527066,0.40132671709456913,214,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
122,0.4384405200868422,0.3726941640420934,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
123,0.5070237525281394,0.42285585267248305,228,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
124,0.423119243690562,0.33797734250166067,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
125,0.4772205681641223,0.4083195543397337,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
126,0.454069816134265,0.3579484866847992,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
127,0.44749744612449543,0.34472633884398585,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
128,0.3497183437761589,0.28877146480514587,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
129,0.5012779777746674,0.38674252001685633,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
130,0.4303252641997233,0.3391275339975409,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
131,0.3945261190919437,0.323159193747429,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
132,0.37429385985073865,0.27920641630582566,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
133,0.47534648727644535,0.37534992829110475,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
134,0.41945315752134904,0.3554051586233069,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
135,0.46407080260886563,0.3689571912418909,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
136,0.4613885238873286,0.3790222397285178,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
137,0.4008018113744279,0.3238095238095239,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
138,0.4504949481384953,0.3790021152780626,214,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
139,0.39710027189837144,0.3099320364378257,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
140,0.4781171883342592,0.3986227365283024,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
141,0.4158046320439498,0.35689444400013715,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
142,0.41152999356602504,0.30928761685817874,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
143,0.39920721336101705,0.33044985250737474,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
144,0.3876534041989005,0.33345825325645956,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
145,0.425086640602815,0.3370257462118864,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
146,0.4346526098301762,0.3380259805545717,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
147,0.4462827747692452,0.34346314443010656,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
148,0.4363817550011809,0.3696869517757592,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
149,0.4818805084396934,0.40740408089062796,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
150,0.3904280947702237,0.29180367200977986,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
151,0.5289199651813018,0.43286656936938966,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
152,0.3570448574927682,0.2735565678790619,212,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
153,0.42292909605604095,0.301467514104389,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
154,0.33451789847486224,0.25090774681911593,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
155,0.45043259273055886,0.37468706658893947,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
156,0.44472941150517764,0.3774578362813657,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
157,0.4821635138699922,0.4297139905158898,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
158,0.368613367574254,0.3131977421083198,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
159,0.34455168168615785,0.2660867946742386,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
160,0.4120687043972373,0.3110423069452855,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
161,0.4492632980782366,0.35753310407074396,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
162,0.34658024403406285,0.25783374267409975,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
163,0.45620615896984446,0.35070183643914504,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
164,0.41883453531763115,0.31476645836033423,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
165,0.349396841597744,0.2746997092217571,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
166,0.48650368558348095,0.3966142632061914,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
167,0.34865856786159916,0.2716727988977621,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
168,0.4354741468596875,0.36079024314318425,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
169,0.47189563782820915,0.3965574445658857,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
170,0.3914028000969067,0.31590873908953426,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
171,0.41332465931215595,0.33042280016645115,228,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
172,0.43591216973479485,0.32070787956438185,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
173,0.43389587957206965,0.3639065227300521,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
174,0.42721143052853144,0.3415750210376164,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
175,0.36278509794769315,0.2863495622464233,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
176,0.47796821265529477,0.4187973902309998,213,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
177,0.49489474797669947,0.43011744608157176,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
178,0.42591497108049803,0.3348395089041385,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
179,0.45251284625776733,0.39776174120674257,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
180,0.3281221121017261,0.23355732007802704,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
181,0.44209996708867827,0.36173805356100924,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
182,0.4383335164196312,0.3740354404926481,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
183,0.37617420913569954,0.2937717555207937,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
184,0.4326205360255876,0.31743173888710274,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
185,0.37593800679978645,0.2539851245733598,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
186,0.45045327161277393,0.36333728367492557,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
187,0.4405424742123073,0.36014141143064904,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
188,0.4783415047613696,0.41356158720763636,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
189,0.40471606623551076,0.3330119581464874,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
190,0.37603643537236314,0.29332375296500857,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
191,0.5016920876665787,0.3800480894090759,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
192,0.402864740062661,0.3202537993835335,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
193,0.39565169008236,0.28646536293595115,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
194,0.4679558343181037,0.39099615631005774,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
195,0.41188157538825954,0.32859420674993356,213,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
196,0.4296173031856716,0.3321163465609216,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
197,0.45679116290348054,0.35601204183042745,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
198,0.3241070522156718,0.25907801218544046,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
199,0.37702041794198854,0.2839272453071624,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
200,0.42670296300414096,0.3641392751790982,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
201,0.5249845648479292,0.4687764918253796,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
202,0.4102327959368882,0.33036938892913575,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
203,0.4422315366021463,0.3379970335947422,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
204,0.38654813056637355,0.2885638133019277,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
205,0.3598386237802406,0.29696941496268847,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
206,0.4222423395369791,0.30593298426044596,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
207,0.35534983935909564,0.3114417503760685,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
208,0.43880470027435997,0.3542775189834013,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
209,0.4251044819365455,0.3506782727634745,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
210,0.40386340091982154,0.32243904363163023,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
211,0.4749217548482661,0.3966227564065946,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
212,0.41700549707969803,0.3265256206432677,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
213,0.46545850312274956,0.3900190798267964,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
214,0.4373426016772238,0.34829366938201933,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
215,0.42661201783404595,0.3362142858318011,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
216,0.5163658699336056,0.4341984521356719,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
217,0.45776761140816424,0.3655161921076506,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
218,0.3602582883479365,0.28848783408979944,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
219,0.4630652507017876,0.3986432836866822,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
220,0.5038612966468085,0.3715524181822078,214,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
221,0.46848052024997855,0.3741869460794165,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
222,0.5178531890839648,0.4122293692232112,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
223,0.5181184826888469,0.44353982300884964,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
224,0.39335524982023634,0.320400764102764,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
225,0.3414560588900593,0.2786794241390654,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
226,0.4291519396322248,0.32688372888847705,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
227,0.4718196011645027,0.39457126274209275,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
228,0.4109854170096577,0.2883990252263795,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
229,0.5256653004202325,0.4180954256626902,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
230,0.3982010991207085,0.3282255105784518,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
231,0.4324773204409479,0.3581806101424935,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
232,0.3354218484795767,0.2635186856627098,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
233,0.4764023238338591,0.39844304586457047,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
234,0.4047175009612113,0.3468638000588673,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
235,0.47958938367635223,0.38072657859653375,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
236,0.42514273686128967,0.3531168354697766,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
237,0.3925879149918231,0.30336696105201827,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
238,0.3952440773362831,0.33474259783818827,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
239,0.4157534064220177,0.32664048280486635,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
