task_id,benchmark,split,json_hash,n_train_pairs,n_test_pairs,mean_input_cells,max_input_cells,mean_output_cells,max_output_cells
31aa019c,arc1,train,979dfa3fa1f3e30fd8958a903f5cd4f9b3db0978,3,1,100.0,100.0,100.0,100.0
321b1fc6,arc1,train,b4df6051387e4a93b19a03a9635642e85dd37d95,2,1,100.0,100.0,100.0,100.0
32597951,arc1,train,a39d703530a08e49794d42a3176e79c27a364a59,3,1,289.0,289.0,289.0,289.0
3345333e,arc1,train,c2cada59502573790b91ac6f24a26ccc97197733,2,1,256.0,256.0,256.0,256.0
3428a4f5,arc1,train,e0a4e37dd592e151f891aefec0015edb035074b6,4,2,65.0,65.0,30.0,30.0
3618c87e,arc1,train,f3d277ef84f3642c29723224b7649506628e87e6,3,1,25.0,25.0,25.0,25.0
3631a71a,arc1,train,ef6d9ab88cca3f4b3e103e32267dd508d60f9b67,4,1,900.0,900.0,900.0,900.0
363442ee,arc1,train,5006d5780684b8f3622f9c93f709970f15a9efa7,3,1,117.0,117.0,117.0,117.0
36d67576,arc1,train,50332de4f32729351e3df094118afda665699ecb,3,1,179.25,210.0,179.25,210.0
36fdfd69,arc1,train,3a4a08fc98c4fb82034ab23bf5b4753ca008c465,3,1,265.5,306.0,265.5,306.0
3906de3d,arc1,train,67e6935648c676aa7ee29f39b7235d91907cede7,3,1,100.0,100.0,100.0,100.0
39a8645d,arc1,train,48d9cef9b8b78ecbc45abb680a3caf0716f8a414,3,1,196.0,196.0,9.0,9.0
39e1d7f9,arc1,train,ce11beb5e383507e2f1ba537dc9e4c410481adc0,3,1,718.75,841.0,718.75,841.0
3aa6fb7a,arc1,train,1e1ae8627def6c017b93e56eef50da77cf44d5b1,2,1,49.0,49.0,49.0,49.0
3ac3eb23,arc1,train,1c8ef49b7f55ba82bf6e3b47610430d43d77e107,2,1,58.0,72.0,58.0,72.0
3af2c5a8,arc1,train,d6524154c7d7ca2a7d663b5e17ab4fde3507372f,3,1,12.0,12.0,48.0,48.0
3bd67248,arc1,train,a2f9bd39073d2ea82a198fc06ea64efd5bfe069e,3,1,95.75,225.0,95.75,225.0
3bdb4ada,arc1,train,0c15c42c7fc5783b9346af5c4582d4bf1b281c6e,2,1,206.66666666666666,240.0,206.66666666666666,240.0
3befdf3e,arc1,train,0c731bff1efab89a4912a6cb9188c207691d37a4,3,1,111.0,144.0,111.0,144.0
3c9b0459,arc1,train,952a54a16907739394fdd0d9e1fe2eea3f8f866d,4,1,9.0,9.0,9.0,9.0
3de23699,arc1,train,c930d80db37c56dfcc322d70d4989f1e0b73f6e5,4,1,176.6,342.0,30.4,80.0
3e980e27,arc1,train,32eeb477b9a9e9c09b6eacbe732c6f86564a5d04,4,1,169.0,169.0,169.0,169.0
3eda0437,arc1,train,7a50418876776f2df43c394c6c9ae9ae457e5781,4,1,77.2,96.0,77.2,96.0
3f7978a0,arc1,train,8ba49a55aa482d63e8c0ea9adba1ae1eef2500f1,3,1,126.25,182.0,32.5,40.0
40853293,arc1,train,ba5cbe6d1362b4a6dfc60e08e3a7536c05be6132,2,1,400.0,600.0,400.0,600.0
4093f84a,arc1,train,cacdbebe56c04d98bf362c0fb38e7ac1034806b3,3,1,196.0,196.0,196.0,196.0
41e4d17e,arc1,train,04283a2d8ba7ceb73a9a5863643e7eb960e4e3cf,2,1,225.0,225.0,225.0,225.0
4258a5f9,arc1,train,7fb05db662f4633ac7d752f2a625c8940699eebc,2,1,81.0,81.0,81.0,81.0
4290ef0e,arc1,train,92a905dc236aa28e359908c18a5e9bbddfa8bfc1,3,1,307.5,361.0,85.0,121.0
42a50994,arc1,train,ac85afa2782b61e5f019fa7d9302d307673bd2ad,4,1,198.4,238.0,198.4,238.0
4347f46a,arc1,train,f904fee6d2be0da797ce8a2910d44f543575b915,3,1,199.75,323.0,199.75,323.0
444801d8,arc1,train,e0309715292afb572d6da5739a888ec949516b58,3,1,100.0,100.0,100.0,100.0
445eab21,arc1,train,3325dcbe59125ba5b3ee37e2b42d585070b64900,3,1,100.0,100.0,4.0,4.0
447fd412,arc1,train,206b2b76b42da395b43395ed7ac136bbb548ee4a,3,1,215.25,357.0,215.25,357.0
44d8ac46,arc1,train,e9cfe1edd9b30b136881c510a7a6a431560f2947,4,1,144.0,144.0,144.0,144.0
44f52bb0,arc1,train,5531131c4c32db019a8ee2ae1fb82b90fae723f9,6,2,9.0,9.0,1.0,1.0
4522001f,arc1,train,5bafb6f1f2db96cab976291c4b819ce9ef304647,2,1,9.0,9.0,81.0,81.0
4612dd53,arc1,train,8b5a15a029327233458462bceaae7925d51f5224,3,1,149.5,169.0,149.5,169.0
46442a0e,arc1,train,7991c2f9fc3362e6b2a1edcfc2f1c7a36351e908,3,1,7.75,9.0,31.0,36.0
469497ad,arc1,train,c6cd5c15f0a3bd8ef6075d6b585bbc48bf6e157d,3,1,25.0,25.0,337.5,625.0
46f33fce,arc1,train,ca8b2a6708c0f9251635674426e6d5ef71cb3f0e,3,1,100.0,100.0,400.0,400.0
47c1f68c,arc1,train,e3529a60ecbecaeea81f1b74142c54fa3d6f0270,3,1,105.0,169.0,86.0,144.0
484b58aa,arc1,train,2ff0f7445f421752b18e12e687a5585900a7db27,3,1,841.0,841.0,841.0,841.0
48d8fb45,arc1,train,911aaca7c29a8fbddace4e1889afc076962339da,3,1,100.0,100.0,9.0,9.0
4938f0c2,arc1,train,2b474265f99a30e1786ff876787276538359be7e,3,1,280.0,600.0,280.0,600.0
496994bd,arc1,train,56d2ca5611e4fbcd4c58a4f2c3d3abfc1607da29,2,1,46.666666666666664,60.0,46.666666666666664,60.0
49d1d64f,arc1,train,91f4539b43c3856e76c73f5d8f17117885024039,3,1,6.25,9.0,20.25,25.0
4be741c5,arc1,train,f3e3df4024659d3d15eba8e0fe1c6fa067381d43,3,1,145.5,224.0,3.5,4.0
4c4377d9,arc1,train,6a5e0907f5e90d0fe7ff0483efcf7f6123fcf2ed,4,1,12.0,12.0,24.0,24.0
4c5c2cf0,arc1,train,4ce328ba34bc2eff769f53bd1bb563c2e1de5721,3,1,190.25,225.0,190.25,225.0
50846271,arc1,train,bfe27b7658de6fafb63afebdc738924f2973bda2,4,1,346.4,440.0,346.4,440.0
508bd3b6,arc1,train,73aba426cfe355e1fae8854c79153a8b6bab2fbe,3,1,144.0,144.0,144.0,144.0
50cb2852,arc1,train,10c1d988d1d4e3c62d9670381962d7cfb7040255,3,1,166.25,195.0,166.25,195.0
5117e062,arc1,train,2622e6512ecb21128d5dba60c8641a25e5e32fb8,3,1,169.0,169.0,9.0,9.0
5168d44c,arc1,train,c481ceecf1672e06060f9533c9bd822f806bd2f6,3,1,87.5,119.0,87.5,119.0
539a4f51,arc1,train,d29e478634c883cb74e419a9fc0f0e714d7f2377,3,1,25.0,25.0,100.0,100.0
53b68214,arc1,train,0532b1f28abb45bc953bb5b605f2ae5830f776c5,3,2,64.0,80.0,100.0,100.0
543a7ed5,arc1,train,67de6069c3ab496cfa0fa5f10b70369d3a5bc4c8,2,1,225.0,225.0,225.0,225.0
54d82841,arc1,train,eafe6b737aa12bcc9a304c1df8ff6afe1ddebb0c,3,1,50.25,77.0,50.25,77.0
54d9e175,arc1,train,8c7aa3e7cd45b6ecea3b4a05c04b535475710da6,4,1,50.6,77.0,50.6,77.0
5521c0d9,arc1,train,06c7610febbad357edb1bec3a16c0d1ab6b8ae27,3,1,225.0,225.0,225.0,225.0
5582e5ca,arc1,train,938ce7d984cd036952f5495c501b7c1fc2f83b09,3,1,9.0,9.0,9.0,9.0
5614dbcf,arc1,train,ddec83872311285998633cedb813438d5964ebaa,2,1,81.0,81.0,9.0,9.0
56dc2b01,arc1,train,84490754812273be44ea86b9343089ebd1935c74,3,1,76.5,85.0,76.5,85.0
56ff96f3,arc1,train,1a7b40115e8ed3832f2d26463f418761337e4f3e,4,1,78.8,100.0,78.8,100.0
57aa92db,arc1,train,b65b0633f6cdbfd04c52c2229f9578c96e45137a,4,1,325.2,570.0,325.2,570.0
5ad4f10b,arc1,train,48f3115bf2af976ef435b4ccc6c83e1769cf97eb,3,1,527.5,572.0,9.0,9.0
5bd6f4ac,arc1,train,7f16174d568cdc247ac2703c82f80be3bffd8586,4,1,81.0,81.0,9.0,9.0
5c0a986e,arc1,train,bab7f5de91736f5df55173fa8b1884d9ef05fd30,3,1,100.0,100.0,100.0,100.0
5c2c9af4,arc1,train,163a3b9a11cb6cb39c6aed0326528e1766985d35,3,1,592.75,784.0,592.75,784.0
5daaa586,arc1,train,c4add77b7f0eb8a3699822eaab92edc81e548e1a,3,1,269.5,484.0,104.5,180.0
60b61512,arc1,train,c69b4645d648ef2a1fff9a04d5e590062f5c8271,2,1,81.0,81.0,81.0,81.0
6150a2bd,arc1,train,4f6a6e22358db051fdc6eb21fb85db439430b176,2,1,9.0,9.0,9.0,9.0
623ea044,arc1,train,fc17f9af876138bf710c70eba9438a6a31ded655,3,1,197.0,289.0,197.0,289.0
62c24649,arc1,train,c5dc4eef825f0f9582debdf6685a944e8ef83f83,3,1,9.0,9.0,36.0,36.0
63613498,arc1,train,fbc50cb687a25834e3a407fb6a3c10e18b1ada28,3,1,100.0,100.0,100.0,100.0
6430c8c4,arc1,train,4500a9f1550097fb662b284eeff975ff5b094c14,4,1,36.0,36.0,16.0,16.0
6455b5f5,arc1,train,2a376d07ce668030514730be015894588fb38ce8,4,1,200.2,240.0,200.2,240.0
662c240a,arc1,train,47187c02043b851f5f356ef1e42d081c3355e670,4,1,27.0,27.0,9.0,9.0
67385a82,arc1,train,5653fd8f4eb5932a859a9f312a6ec706fdf65606,4,1,20.8,30.0,20.8,30.0
673ef223,arc1,train,593a57f50cb4874cd0b3c5eb201ed9076e02b062,3,1,201.0,252.0,201.0,252.0
6773b310,arc1,train,395d01e694e1baa85ad15a1f8e5af85263f731ae,4,1,121.0,121.0,9.0,9.0
67a3c6ac,arc1,train,ac28c28209bb4c92accdffa234d225caf71be762,3,1,27.5,49.0,27.5,49.0
67a423a3,arc1,train,41cdf98185073564127a5b6767802adbac9b98a3,3,1,65.0,144.0,65.0,144.0
67e8384a,arc1,train,eacea2b2da9f004ac5e0094c0a7495caf677824d,4,1,9.0,9.0,36.0,36.0
681b3aeb,arc1,train,d3bab3a350f4ff0fffb31250f4bc2b56d64420f2,3,1,100.0,100.0,9.0,9.0
6855a6e4,arc1,train,8958e5e2c2e5d485b59f303c5c94864d0904ccc6,3,1,225.0,225.0,225.0,225.0
68b16354,arc1,train,3d7938c12ba361872daf550578fe2868c068d20e,3,1,37.0,49.0,37.0,49.0
694f12f3,arc1,train,1714957d19d655516a154dbae56a2326392861e3,2,1,100.0,100.0,100.0,100.0
6a1e5592,arc1,train,38e7eebb1aa614e1975b1d36abcb7a23dfb21f0c,2,1,150.0,150.0,150.0,150.0
6aa20dc0,arc1,train,1c34d9495e3c7806936b490f1fd6472f4d8fe65d,3,1,436.5,484.0,436.5,484.0
6b9890af,arc1,train,b800c92c24e795231707446df8712d9df91f7843,3,1,481.0,624.0,101.5,196.0
6c434453,arc1,train,dfb92df1a93d1d8eb72e78ad7b6c198740adf539,2,1,100.0,100.0,100.0,100.0
6cdd2623,arc1,train,3b900768bb646a2e2f1330454dc801562399ba4e,3,1,265.25,304.0,265.25,304.0
6cf79266,arc1,train,2fd37a4da4e3a25d741cfdde27c930ae69c7103e,3,1,400.0,400.0,400.0,400.0
6d0160f0,arc1,train,1e04c6ac9391381b03b69062e8790f86b17ea9a3,4,1,121.0,121.0,121.0,121.0
6d0aefbc,arc1,train,03bc18e7d7dec4cb58c057f9bf6588c0a450e216,4,1,9.0,9.0,18.0,18.0
6d58a25d,arc1,train,b0197ab9e87704bb7853a8bc52fc5e2cb8c1a5e1,3,1,400.0,400.0,400.0,400.0
6d75e8bb,arc1,train,84d090e6f04a1076d20ba48c8a93f8447b485394,3,1,91.75,140.0,91.75,140.0
6e02f1e3,arc1,train,8299eba02ae6982167d6e7a7a049ffd6bb9096a8,5,1,9.0,9.0,9.0,9.0
6e19193c,arc1,train,4814a9459db866ce5430192edb6dd2858e140d90,2,1,100.0,100.0,100.0,100.0
6e82a1ae,arc1,train,8a4344471a17a316698eb4492ad1c4ebf6ae74ec,3,1,100.0,100.0,100.0,100.0
6ecd11f4,arc1,train,35c883c187694bb61bf0b498fad1c36ffc4fc32e,3,1,557.5,675.0,12.5,16.0
6f8cd79b,arc1,train,8b973a6104090019cce6fc9e5cf1369f469a1464,4,1,22.6,42.0,22.6,42.0
6fa7a44f,arc1,train,46dee1ffd52b8dc9f6b527eda2a00a392a33e453,4,1,9.0,9.0,18.0,18.0
72322fa7,arc1,train,645dc2007a16fc87b310cebe47228f7e2a8db77f,3,1,267.25,361.0,267.25,361.0
72ca375d,arc1,train,831ec2177a0c6dce8c9fc55a5f7dc89d8e52388c,3,1,100.0,100.0,8.0,12.0
73251a56,arc1,train,e5ff7d569c73b964f9532b6062eac82128b02af4,3,1,441.0,441.0,441.0,441.0
7447852a,arc1,train,c08d33a70a8cc3cdc8155a1242e43913f2b1111e,3,1,51.0,75.0,51.0,75.0
7468f01a,arc1,train,7b1c2f485ebd2e7d364c7cfee9fb472fc31d0625,3,1,221.5,289.0,34.25,56.0
746b3537,arc1,train,5ab630baa4e476203be328032a6fa1ed942044f8,5,1,16.833333333333332,36.0,3.6666666666666665,5.0
74dd1130,arc1,train,de3d1fd21f6edcfa5b517bc1a0000448ebad3748,4,1,9.0,9.0,9.0,9.0
75b8110e,arc1,train,cdb8e355d8ed68254702abf55275bdde9b46021b,5,1,64.0,64.0,16.0,16.0
760b3cac,arc1,train,9db153051336386933cf9cf1f4389a170cb2c515,3,1,54.0,54.0,54.0,54.0
776ffc46,arc1,train,e1f620793c46f2d098d8b8c9373f0ebf5daf0eb8,4,1,400.0,400.0,400.0,400.0
77fdfe62,arc1,train,af20a4d826c0ff9404965cd4477c31ea5c1b1eb1,3,1,66.0,100.0,18.0,36.0
780d0b14,arc1,train,8e1227601fcf958d68d1a6b8dcd0f8be84757862,3,1,457.75,644.0,6.25,9.0
7837ac64,arc1,train,635db35900dfc5548bda1a39a6f759e141124e82,4,1,796.2,841.0,9.0,9.0
794b24be,arc1,train,75cf3108803284fb86a109a8bc42d078906cdea4,10,2,9.0,9.0,9.0,9.0
7b6016b9,arc1,train,3975e9c1f0632ff7b26f69fcecfad031e7d349b1,3,1,533.25,550.0,533.25,550.0
7b7f7511,arc1,train,1fbde173142c12e9944d39e29fe133f1e9b105a4,3,1,21.5,32.0,10.75,16.0
7c008303,arc1,train,09fc12d9666894ce4273f77b3e321bfca9f7866b,3,1,81.0,81.0,36.0,36.0
7ddcd7ec,arc1,train,79f8a2c47d33cef68c8b895cd5a8589915ff926e,3,1,100.0,100.0,100.0,100.0
7df24a62,arc1,train,228cb13974f2583d1fd768fb62b1dcd421cc8e15,4,1,529.0,529.0,529.0,529.0
7e0986d6,arc1,train,c3cdd96143712e493927f239d31bf006df604358,2,1,198.0,208.0,198.0,208.0
7f4411dc,arc1,train,c3f5b9ab0735f53557690d78de33c068b76433b0,3,1,151.75,289.0,151.75,289.0
7fe24cdd,arc1,train,9f017b8edd932e0f28f621f81d1fcfb973e981b0,3,1,9.0,9.0,36.0,36.0
80af3007,arc1,train,8cfeed52f97ed343dd1bb3f1604e8f549b6af8f6,3,1,296.75,323.0,81.0,81.0
810b9b61,arc1,train,ad7db20163b14b1abc3bd4a0cbc5296f03c3aaff,3,1,168.75,225.0,168.75,225.0
82819916,arc1,train,733718b69bc43954669196ac56ce2872127a56c0,4,1,88.8,140.0,88.8,140.0
83302e8f,arc1,train,c04738b472a9609f2049747d22502d434c5829f9,3,1,626.75,841.0,626.75,841.0
834ec97d,arc1,train,c14a1b986dd9099b1473c0bc578695f99e6f1885,3,1,64.75,144.0,64.75,144.0
8403a5d5,arc1,train,7dd7333497628d11f7a53d10aa97fab00609fe36,3,1,100.0,100.0,100.0,100.0
846bdb03,arc1,train,926d6c01d933e5813343bae5a7fb482ddbfadb4d,4,1,169.0,169.0,41.2,56.0
855e0971,arc1,train,a6badaf599265b0ebfc158817489bc904cecec5b,4,1,225.4,285.0,225.4,285.0
85c4e7cd,arc1,train,d2a7d385b4a46e9202aec35525d83adddd914cdd,4,1,108.0,196.0,108.0,196.0
868de0fa,arc1,train,1ca81110f9e4c11e24c07a0e8d89391f04244e53,5,1,224.33333333333334,400.0,224.33333333333334,400.0
8731374e,arc1,train,08e2a9f97f776305831d94540d70ed6869b2090f,3,1,401.75,621.0,65.0,90.0
88a10436,arc1,train,07eb7320e8072d0a69f5066cda40b49b8de6e5fa,3,1,81.75,110.0,81.75,110.0
88a62173,arc1,train,262cb1eabed4a58963f5988e69cbca0ecad7cf73,3,1,25.0,25.0,4.0,4.0
890034e9,arc1,train,34c2e98994843ff08a2fba3088cdae50b48123e8,3,1,441.0,441.0,441.0,441.0
8a004b2b,arc1,train,dda226b72c31931da2042a70b56efed0251b74a6,3,1,306.25,342.0,137.0,252.0
8be77c9e,arc1,train,2784f6b11e5ed17b7b147365927b5f3b6821f835,3,1,9.0,9.0,18.0,18.0
8d5021e8,arc1,train,0729c36edc67e15800eae0ff8655958013ef68f2,3,1,6.0,6.0,36.0,36.0
8d510a79,arc1,train,3d89a035ea44d6f242a2b6b4bcd9f02989149e92,2,1,100.0,100.0,100.0,100.0
8e1813be,arc1,train,b8e010465c7dc29719909d296d0c223ec733fda5,3,1,223.75,361.0,27.5,49.0
8e5a5113,arc1,train,4ba15db4425943c49c519233a490f24aecc0efb7,3,1,33.0,33.0,33.0,33.0
8eb1be9a,arc1,train,62669bf3867ea5371f0fdc508f354153e2f3c6e5,2,1,195.66666666666666,285.0,195.66666666666666,285.0
8efcae92,arc1,train,a94b4ed2fbbdbf1695cfbc3d3970620f4db5febe,3,1,400.0,400.0,71.5,90.0
8f2ea7aa,arc1,train,6a7857ab683cea8ce9541d6b140e968465cceab8,3,1,81.0,81.0,81.0,81.0
90c28cc7,arc1,train,b503efa216710961af0621c06d27f3702f783474,3,1,441.0,441.0,7.0,9.0
90f3ed37,arc1,train,b8ec8222bebb56d3fd0a1a65e9ada0f706302baa,3,1,150.0,150.0,150.0,150.0
913fb3ed,arc1,train,860c292af62d41ebbdc111eff82aac1143366571,4,1,145.6,256.0,145.6,256.0
91413438,arc1,train,fb95122ec6e1df42fa0a4c679922ead4aba48f3b,4,1,9.0,9.0,243.0,441.0
91714a58,arc1,train,f7207d471d66ddb947dcbb2cdc425cd197723eb4,3,1,256.0,256.0,256.0,256.0
9172f3a0,arc1,train,36b0e555e7facbac0cf5fa917511451f5cf8066e,2,1,9.0,9.0,81.0,81.0
928ad970,arc1,train,88d211e3a5316a9f840996fedbf6f34a6a96fdeb,3,1,196.5,225.0,196.5,225.0
93b581b8,arc1,train,cc528b8c7a16ff347fac5d38d6869f5d3380962d,3,1,36.0,36.0,36.0,36.0
941d9a10,arc1,train,92e6447bd69dafec2de8877c296a6a5846513f6e,3,1,100.0,100.0,100.0,100.0
94f9d214,arc1,train,23884a0013bc3306b7985ed02e523c4a8d5cc0f4,4,1,32.0,32.0,16.0,16.0
952a094c,arc1,train,4911f0e413a71762cad1ae6a42bbfa2c17a1c6e2,3,1,100.0,100.0,100.0,100.0
9565186b,arc1,train,fdd20bc4d18b8182a25671b5552d9467e232219f,4,1,9.0,9.0,9.0,9.0
95990924,arc1,train,f6f95455978e4ee0096d95f318d4cac188d7c6fb,3,1,162.5,225.0,162.5,225.0
963e52fc,arc1,train,dfb81580db3adb0497a0f880cb60aa88d228f6b4,3,1,37.5,45.0,75.0,90.0
