analysis,predictor,n,estimate,p_value,ci_lo,ci_hi,notes
llm_pooled_benchmark_z,token_count,59,0.5666311977685917,2.893259417775652e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,token_count,36,0.1533404476876729,0.37192702691939417,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,token_count,36,0.6030831335033546,9.900854613748721e-05,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,token_count,36,0.4497426858156817,0.006,0.15026634706784536,0.7802325518588168,shared pooled delta with human_r=0.153340 and llm_r=0.603083
human_pooled_benchmark_z,ast_node_count,36,0.1828751497498803,0.28571808127162757,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,ast_node_count,59,0.5701243993315309,2.4341884671610147e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,ast_node_count,36,0.1828751497498803,0.28571808127162757,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,ast_node_count,36,0.6089232053302438,8.117478813856973e-05,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,ast_node_count,36,0.4260480555803635,0.008,0.14071020954823696,0.7647048135548442,shared pooled delta with human_r=0.182875 and llm_r=0.608923
human_pooled_benchmark_z,function_count,36,0.1054657564167035,0.5404231180039938,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,function_count,59,0.09315973545416464,0.48280923001015086,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,function_count,36,0.1054657564167035,0.5404231180039938,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,function_count,36,0.06323226857196505,0.7140881502758871,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,function_count,36,-0.042233487844738446,0.896,-0.43678654866859223,0.3802875516970921,shared pooled delta with human_r=0.105466 and llm_r=0.063232
human_pooled_benchmark_z,call_count_static,36,0.13276758614640477,0.44016265019195233,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,call_count_static,59,0.40769091335123725,0.001350555318664298,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,call_count_static,36,0.13276758614640477,0.44016265019195233,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,call_count_static,36,0.441336053164123,0.0070503790492211236,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,call_count_static,36,0.30856846701771823,0.05,0.002249010908459608,0.6651241454839402,shared pooled delta with human_r=0.132768 and llm_r=0.441336
human_pooled_benchmark_z,comprehension_count,36,0.15900812541875076,0.35429492830969433,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,comprehension_count,59,0.40277017396413684,0.0015633305487361105,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,comprehension_count,36,0.15900812541875076,0.35429492830969433,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,comprehension_count,36,0.46662858279786357,0.004120233285825353,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,comprehension_count,36,0.3076204573791128,0.038,0.014060746458870989,0.6369668167127243,shared pooled delta with human_r=0.159008 and llm_r=0.466629
human_pooled_benchmark_z,branch_node_count,36,0.08905951879441316,0.6054863327875246,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,branch_node_count,59,0.5606752869003173,3.866859930865711e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,branch_node_count,36,0.08905951879441316,0.6054863327875246,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,branch_node_count,36,0.5887059391738705,0.0001588520307292429,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,branch_node_count,36,0.49964642037945733,0.0,0.19357070105314775,0.8302669412517628,shared pooled delta with human_r=0.089060 and llm_r=0.588706
human_pooled_benchmark_z,cyclomatic_complexity,36,0.17523015090150088,0.3066804281299087,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,cyclomatic_complexity,59,0.5979948512095195,5.695470906083486e-07,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,cyclomatic_complexity,36,0.17523015090150088,0.3066804281299087,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,cyclomatic_complexity,36,0.6492168660761893,1.839567098964694e-05,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,cyclomatic_complexity,36,0.4739867151746885,0.002,0.18275753686806073,0.8112577589710316,shared pooled delta with human_r=0.175230 and llm_r=0.649217
human_pooled_benchmark_z,max_nesting_depth,36,-0.028179638291372523,0.8704058420671148,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,max_nesting_depth,59,0.5190288162269602,2.5340111017619622e-05,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,max_nesting_depth,36,-0.028179638291372523,0.8704058420671148,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,max_nesting_depth,36,0.5357455914159606,0.0007588424179704838,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,max_nesting_depth,36,0.563925229707333,0.004,0.1622751142666656,0.9450985537980198,shared pooled delta with human_r=-0.028180 and llm_r=0.535746
human_pooled_benchmark_z,max_line_length,36,-0.030586531443073016,0.8594426175415841,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,max_line_length,59,-0.00858944266426427,0.9485193371737191,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,max_line_length,36,-0.030586531443073016,0.8594426175415841,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,max_line_length,36,0.040937456359228505,0.8126137635748117,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,max_line_length,36,0.07152398780230151,0.706,-0.30617821614901186,0.5612620896584645,shared pooled delta with human_r=-0.030587 and llm_r=0.040937
human_pooled_benchmark_z,mean_line_length,36,-0.046996617090524107,0.7854847819080172,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,mean_line_length,59,-0.005650124682250875,0.9661230937914264,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,mean_line_length,36,-0.046996617090524107,0.7854847819080172,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,mean_line_length,36,0.1683146724502602,0.32645894605696224,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,mean_line_length,36,0.2153112895407843,0.15,-0.07442931920930014,0.49695207018685705,shared pooled delta with human_r=-0.046997 and llm_r=0.168315
human_pooled_benchmark_z,gzip_bytes,36,0.08729207370956074,0.6126906697887546,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,gzip_bytes,59,0.5027021216101055,4.961687656504669e-05,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,gzip_bytes,36,0.08729207370956074,0.6126906697887546,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,gzip_bytes,36,0.5029366691921004,0.001770171682087899,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,gzip_bytes,36,0.41564459548253974,0.01,0.11083319103132214,0.7600260877657197,shared pooled delta with human_r=0.087292 and llm_r=0.502937
human_pooled_benchmark_z,halstead_distinct_operators,36,0.020898189907138702,0.9037092567247078,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_distinct_operators,59,0.5281595228598462,1.713804902680865e-05,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_distinct_operators,36,0.020898189907138702,0.9037092567247078,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_distinct_operators,36,0.5672226026156026,0.00030928475483511656,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_distinct_operators,36,0.546324412708464,0.002,0.1608709494998575,0.930037262597525,shared pooled delta with human_r=0.020898 and llm_r=0.567223
human_pooled_benchmark_z,halstead_distinct_operands,36,0.07647526943766311,0.6575428599662767,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_distinct_operands,59,0.4642631561678987,0.00021230342383418748,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_distinct_operands,36,0.07647526943766311,0.6575428599662767,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_distinct_operands,36,0.48502155922243156,0.002716504802951002,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_distinct_operands,36,0.4085462897847685,0.012,0.09803630393454779,0.7525076015893013,shared pooled delta with human_r=0.076475 and llm_r=0.485022
human_pooled_benchmark_z,halstead_total_operators,36,0.14647505352384368,0.3939668637154279,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_total_operators,59,0.5649885856514081,3.135989588862649e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_total_operators,36,0.14647505352384368,0.3939668637154279,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_total_operators,36,0.5921628912436735,0.00014207297725919854,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_total_operators,36,0.4456878377198298,0.01,0.13700162949155825,0.784335417613653,shared pooled delta with human_r=0.146475 and llm_r=0.592163
human_pooled_benchmark_z,halstead_total_operands,36,0.1726386636611455,0.31400140940704574,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_total_operands,59,0.562801134618805,3.4888008970994007e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_total_operands,36,0.1726386636611455,0.31400140940704574,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_total_operands,36,0.6061673666851466,8.919341588944082e-05,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_total_operands,36,0.4335287030240011,0.008,0.1464478116262965,0.7633828769169919,shared pooled delta with human_r=0.172639 and llm_r=0.606167
human_pooled_benchmark_z,halstead_vocabulary,36,0.06900951392066589,0.689214219751245,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_vocabulary,59,0.48592770102326865,9.558299827231402e-05,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_vocabulary,36,0.06900951392066589,0.689214219751245,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_vocabulary,36,0.5107144651330708,0.0014591424318864275,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_vocabulary,36,0.44170495121240494,0.01,0.11374683677454114,0.7854400234913324,shared pooled delta with human_r=0.069010 and llm_r=0.510714
human_pooled_benchmark_z,halstead_length,36,0.15796193263724062,0.3575110655289816,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_length,59,0.5652742856709333,3.0924505635585542e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_length,36,0.15796193263724062,0.3575110655289816,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_length,36,0.5996142540294968,0.00011120169902288273,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_length,36,0.44165232139225613,0.008,0.14561395184343137,0.7740398570128678,shared pooled delta with human_r=0.157962 and llm_r=0.599614
human_pooled_benchmark_z,halstead_volume,36,0.1464302896636142,0.3941129986256925,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_volume,59,0.5575327518004318,4.496209609487464e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_volume,36,0.1464302896636142,0.3941129986256925,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_volume,36,0.5911789982725131,0.00014667834939070462,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_volume,36,0.44474870860889887,0.006,0.15464487729618076,0.7774077291816928,shared pooled delta with human_r=0.146430 and llm_r=0.591179
human_pooled_benchmark_z,halstead_difficulty,36,0.20829359839630784,0.22281350298152766,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_difficulty,59,0.5521946647385126,5.788557646834372e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_difficulty,36,0.20829359839630784,0.22281350298152766,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_difficulty,36,0.5952708226742338,0.00012836636866822695,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_difficulty,36,0.38697722427792597,0.012,0.08268460546812335,0.7648178119003773,shared pooled delta with human_r=0.208294 and llm_r=0.595271
human_pooled_benchmark_z,halstead_effort,36,0.17100472316295445,0.3186732592959381,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,halstead_effort,59,0.5550080943819655,5.069637522299996e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,halstead_effort,36,0.17100472316295445,0.3186732592959381,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,halstead_effort,36,0.5870665547981877,0.00016741425609457237,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,halstead_effort,36,0.41606183163523325,0.01,0.11704599578158514,0.7444397988652754,shared pooled delta with human_r=0.171005 and llm_r=0.587067
human_pooled_benchmark_z,test_case_count,19,0.13242793959997579,0.5888924296038248,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,test_case_count,59,0.007160440366088989,0.9570751843256017,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,test_case_count,19,0.13242793959997579,0.5888924296038248,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,test_case_count,19,0.12050553127400358,0.6231375122877874,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,test_case_count,19,-0.011922408325972203,0.922,-0.5358837934533665,0.5369428582073514,shared pooled delta with human_r=0.132428 and llm_r=0.120506
human_pooled_benchmark_z,input_cells_total,36,-0.15213534873121062,0.3757419232594248,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,input_cells_total,59,0.3598003360452983,0.0051269261240122176,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,input_cells_total,36,-0.15213534873121062,0.3757419232594248,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,input_cells_total,36,0.32445456434575337,0.053530703025426805,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,input_cells_total,36,0.47658991307696397,0.03,0.041291548965116935,0.8652872347696571,shared pooled delta with human_r=-0.152135 and llm_r=0.324455
human_pooled_benchmark_z,output_cells_total,36,-0.14214551863815542,0.40824546547339813,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,output_cells_total,59,0.40962590495180706,0.0012742757618942901,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,output_cells_total,36,-0.14214551863815542,0.40824546547339813,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,output_cells_total,36,0.3589496832510457,0.03156190466212551,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,output_cells_total,36,0.5010952018892011,0.02,0.07745622755757212,0.8644211904808476,shared pooled delta with human_r=-0.142146 and llm_r=0.358950
human_pooled_benchmark_z,elapsed_ns_total,36,-0.20981734085816123,0.21937099638440744,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,elapsed_ns_total,59,0.18679668055828136,0.15659509079141531,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,elapsed_ns_total,36,-0.20981734085816123,0.21937099638440744,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,elapsed_ns_total,36,0.37663835105990723,0.023563129046600174,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,elapsed_ns_total,36,0.5864556919180685,0.004,0.17504556434336985,0.8917542888185612,shared pooled delta with human_r=-0.209817 and llm_r=0.376638
human_pooled_benchmark_z,elapsed_ms_total,36,-0.20981734085816126,0.21937099638440744,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,elapsed_ms_total,59,0.18679668055828133,0.15659509079141543,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,elapsed_ms_total,36,-0.20981734085816126,0.21937099638440744,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,elapsed_ms_total,36,0.37663835105990723,0.023563129046600174,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,elapsed_ms_total,36,0.5864556919180685,0.004,0.17504556434336985,0.8917542888185612,shared pooled delta with human_r=-0.209817 and llm_r=0.376638
human_pooled_benchmark_z,elapsed_ms_per_test,36,-0.2095114982882644,0.22005902681426126,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,elapsed_ms_per_test,59,0.17816675895209685,0.1769922834522796,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,elapsed_ms_per_test,36,-0.2095114982882644,0.22005902681426126,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,elapsed_ms_per_test,36,0.36241616467296756,0.02984013430291679,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,elapsed_ms_per_test,36,0.571927662961232,0.004,0.13289123046820966,0.8783839249497969,shared pooled delta with human_r=-0.209511 and llm_r=0.362416
human_pooled_benchmark_z,opcode_count_dynamic,36,-0.1988506794600975,0.2449702508264729,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,opcode_count_dynamic,59,0.18552606821584217,0.15948407018486743,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,opcode_count_dynamic,36,-0.1988506794600975,0.2449702508264729,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,opcode_count_dynamic,36,0.3788289965615767,0.022701467215697064,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,opcode_count_dynamic,36,0.5776796760216742,0.004,0.16236571404365238,0.8830470563367492,shared pooled delta with human_r=-0.198851 and llm_r=0.378829
human_pooled_benchmark_z,branch_opcode_count_dynamic,36,-0.18279824738041717,0.28592422241295024,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,branch_opcode_count_dynamic,59,0.1849950756653457,0.16070293962611235,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,branch_opcode_count_dynamic,36,-0.18279824738041717,0.28592422241295024,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,branch_opcode_count_dynamic,36,0.40313181954898897,0.014773577381384845,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,branch_opcode_count_dynamic,36,0.5859300669294061,0.002,0.20225466800166786,0.8876927803612004,shared pooled delta with human_r=-0.182798 and llm_r=0.403132
human_pooled_benchmark_z,python_call_count_dynamic,36,-0.2549956268669002,0.13337736798847524,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,python_call_count_dynamic,59,0.3091800193181422,0.017184025180880073,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,python_call_count_dynamic,36,-0.2549956268669002,0.13337736798847524,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,python_call_count_dynamic,36,0.31266140564760675,0.06336585307452373,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,python_call_count_dynamic,36,0.5676570325145069,0.02,0.1287292812431178,0.8700374424123318,shared pooled delta with human_r=-0.254996 and llm_r=0.312661
human_pooled_benchmark_z,peak_memory_bytes,36,-0.44429595473724004,0.00663431793565553,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,peak_memory_bytes,59,0.344442757879878,0.0075537574723445735,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,peak_memory_bytes,36,-0.44429595473724004,0.00663431793565553,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,peak_memory_bytes,36,0.2473019961798942,0.14590667720362474,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,peak_memory_bytes,36,0.6915979509171343,0.0,0.39740028979949016,0.9942430731643638,shared pooled delta with human_r=-0.444296 and llm_r=0.247302
human_pooled_benchmark_z,current_memory_bytes,36,-0.4351232129259935,0.007996919863612418,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,current_memory_bytes,59,0.30186214032292924,0.020150913555477448,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,current_memory_bytes,36,-0.4351232129259935,0.007996919863612418,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,current_memory_bytes,36,0.18219167564826824,0.2875535357168618,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,current_memory_bytes,36,0.6173148885742618,0.0,0.301967988165598,0.9383668588837677,shared pooled delta with human_r=-0.435123 and llm_r=0.182192
human_pooled_benchmark_z,structure_pc1,36,0.14066828542884827,0.41318381014067573,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,structure_pc1,59,0.5889915631540729,9.242187492958081e-07,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,structure_pc1,36,0.14066828542884827,0.41318381014067573,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,structure_pc1,36,0.6248589292355409,4.625821475425885e-05,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,structure_pc1,36,0.48419064380669263,0.004,0.17242240870136286,0.8193473463754523,shared pooled delta with human_r=0.140668 and llm_r=0.624859
