source_family,subtype,model_name,model_family,llm_type,thinking_bucket,thinking_rank,split,performance_rate,task_solve_rate,pair_accuracy,task_count,solved_tasks,total_cost,total_attempts,avg_cost_per_task,avg_cost_per_attempt,avg_output_tokens_per_task,avg_total_tokens_per_task,avg_duration_per_task,attempts_per_task,cost_per_solved_task,tokens_per_solved_task,duration_per_solved_task,empty_attempt_rate,empty_attempts,llm_type_pair,pair_accuracy_pair
llm,llm_model,claude-opus-4-5-20251101-thinking-8k,claude-opus-4.5,Thinking,default,,arc_agi_v2_public_eval,0.10416666666666667,0.10416666666666667,0.0718562874251497,120,12.5,58.723895000000034,334,0.48936579166666694,0.17582004491017975,15549.733333333334,35674.225,203.900072975,2.783333333333333,4.697911600000003,342472.56,1957.4407005599999,0.0,0,Thinking,0.0718562874251497
llm,llm_model,claude-opus-4-5-20251101-thinking-none,claude-opus-4.5,Standard,none,0.0,arc_agi_v2_public_eval,0.07083333333333333,0.07083333333333333,0.0239520958083832,120,8.5,26.13533499999999,334,0.21779445833333325,0.07824950598802392,4683.458333333333,24825.058333333334,55.514718258333325,2.783333333333333,3.074745294117646,350471.4117647059,783.7371989411763,0.0,0,Standard,0.0239520958083832
llm,llm_model,gemini-3-deep-think-preview,gemini-3,Thinking,deep,6.0,arc_agi_v2_public_eval,0.47293447293447294,0.47293447293447294,0.3652694610778443,117,55.333333333333336,0.0,320,0.0,0.0,1130434.6153846155,8374642.11965812,2016.9878417948717,2.735042735042735,0.0,17707827.61445783,4264.8357377710845,0.0,0,Thinking,0.3652694610778443
llm,llm_model,gemini-3-flash-preview-thinking-high,gemini-3,Thinking,high,4.0,arc_agi_v2_public_eval,0.3402777777777778,0.3402777777777778,0.2514970059880239,120,40.833333333333336,28.79222899999999,334,0.23993524166666658,0.08620427844311374,3483.9416666666666,96737.48333333334,397.4291124166667,2.783333333333333,0.7051158122448976,284289.74693877547,1167.954942612245,0.0,0,Thinking,0.2514970059880239
llm,llm_model,gemini-3-flash-preview-thinking-low,gemini-3,Thinking,low,2.0,arc_agi_v2_public_eval,0.0125,0.0125,0.0059880239520958,120,1.5,3.0590719999999982,334,0.025492266666666652,0.00915889820359281,3715.141666666667,25256.491666666665,27.828187516666667,2.783333333333333,2.039381333333332,2020519.3333333333,2226.2550013333334,0.0,0,Thinking,0.0059880239520958
llm,llm_model,gemini-3-flash-preview-thinking-medium,gemini-3,Thinking,medium,3.0,arc_agi_v2_public_eval,0.15277777777777776,0.15277777777777776,0.0718562874251497,120,18.333333333333332,9.895732500000001,334,0.08246443750000002,0.02962794161676647,3855.3416666666667,44114.875,128.56610210000002,2.783333333333333,0.5397672272727274,288751.9090909091,841.5235773818183,0.0,0,Thinking,0.0718562874251497
llm,llm_model,gemini-3-flash-preview-thinking-minimal,gemini-3,Thinking,minimal,1.0,arc_agi_v2_public_eval,0.020833333333333332,0.020833333333333332,0.0119760479041916,120,2.5,2.4949400000000006,334,0.020791166666666673,0.00746988023952096,3573.008333333333,23689.458333333332,19.782460358333335,2.783333333333333,0.9979760000000002,1137094.0,949.5580972000001,0.0,0,Thinking,0.0119760479041916
llm,llm_model,gemini-3-pro-preview,gemini-3,Thinking,default,,arc_agi_v2_public_eval,0.28304597701149425,0.28304597701149425,0.2155688622754491,116,32.833333333333336,98.43355600000005,324,0.8485651379310349,0.3038072716049384,6094.612068965517,88066.27586206897,641.3617887413791,2.793103448275862,2.9979763248730977,311137.7055837563,2265.927943979694,0.0,0,Thinking,0.2155688622754491
llm,llm_model,gpt-5-1-2025-11-13-thinking-high,gpt-5.1,Thinking,high,4.0,arc_agi_v2_public_eval,0.18333333333333332,0.18333333333333332,0.1077844311377245,120,22.0,145.98608999999996,328,1.2165507499999997,0.4450795426829267,119288.375,0.0,1726.6375356499998,2.7333333333333334,6.635731363636362,0.0,9418.022921727272,0.0,0,Thinking,0.1077844311377245
llm,llm_model,gpt-5-1-2025-11-13-thinking-low,gpt-5.1,Thinking,low,2.0,arc_agi_v2_public_eval,0.02222222222222222,0.02222222222222222,0.0179640718562874,120,2.6666666666666665,16.181347500000008,334,0.13484456250000007,0.04844714820359284,10976.225,0.0,191.51844335833337,2.783333333333333,6.068005312500003,0.0,8618.329951125002,0.0,0,Thinking,0.0179640718562874
llm,llm_model,gpt-5-1-2025-11-13-thinking-medium,gpt-5.1,Thinking,medium,3.0,arc_agi_v2_public_eval,0.08403361344537816,0.08403361344537816,0.0658682634730539,119,10.0,54.72429625000002,326,0.4598680357142859,0.16786593941717798,43880.075630252104,0.0,754.1719023193277,2.7394957983193278,5.472429625000002,0.0,8974.6456376,0.0,0,Thinking,0.0658682634730539
llm,llm_model,gpt-5-1-2025-11-13-thinking-none,gpt-5.1,Standard,none,0.0,arc_agi_v2_public_eval,0.0,0.0,0.0,120,0.0,7.0893975000000005,334,0.0590783125,0.021225741017964074,3399.6,0.0,67.94370885833332,2.783333333333333,7.0893975000000005,0.0,8153.2450629999985,0.0,0,Standard,0.0
llm,llm_model,gpt-5-2-2025-12-11-thinking-high,gpt-5.2,Thinking,high,4.0,arc_agi_v2_public_eval,0.39915966386554624,0.39915966386554624,0.2754491017964072,119,47.5,177.35028499999996,330,1.4903385294117644,0.5374251060606059,104029.01680672269,123418.89915966387,2713.2054859243713,2.773109243697479,3.733690210526315,309196.8210526316,6797.293743684214,0.0,0,Thinking,0.2754491017964072
llm,llm_model,gpt-5-2-2025-12-11-thinking-low,gpt-5.2,Thinking,low,2.0,arc_agi_v2_public_eval,0.08333333333333333,0.08333333333333333,0.0658682634730539,120,10.0,32.8519205,334,0.27376600416666663,0.09835904341317366,17046.483333333334,37112.333333333336,364.36787704999995,2.783333333333333,3.28519205,445348.0,4372.414524599999,0.0,0,Thinking,0.0658682634730539
llm,llm_model,gpt-5-2-2025-12-11-thinking-medium,gpt-5.2,Thinking,medium,3.0,arc_agi_v2_public_eval,0.2763888888888889,0.2763888888888889,0.2155688622754491,120,33.16666666666667,94.508547,334,0.787571225,0.2829597215568862,53753.575,73765.675,2093.4028192916667,2.783333333333333,2.8495039296482405,266890.8844221105,7574.12075321608,0.0,0,Thinking,0.2155688622754491
llm,llm_model,gpt-5-2-2025-12-11-thinking-none,gpt-5.2,Standard,none,0.0,arc_agi_v2_public_eval,0.0,0.0,0.0,120,0.0,9.8869085,334,0.08239090416666667,0.02960152245508982,3376.8333333333335,23442.683333333334,97.69323807499998,2.783333333333333,9.8869085,2813122.0,11723.188568999998,0.0,0,Standard,0.0
llm,llm_model,gpt-5-2-2025-12-11-thinking-xhigh,gpt-5.2,Thinking,xhigh,5.0,arc_agi_v2_public_eval,0.5981308411214953,0.5981308411214953,0.4790419161676646,107,64.0,219.82404674999992,292,2.0544303434579434,0.7528220779109587,144624.86915887852,161586.1121495327,3495.614673897197,2.7289719626168223,3.434750730468749,270151.78125,5844.230782921876,0.0,0,Thinking,0.4790419161676646
llm,llm_model,gpt-5-2-pro-2025-12-11-high,gpt-5.2-pro,Standard,high,4.0,arc_agi_v2_public_eval,0.5168067226890757,0.5168067226890757,0.4610778443113772,119,61.5,1982.7751649999993,328,16.66197617647058,6.045046234756096,93994.01680672269,116184.21008403362,4311.975599361346,2.7563025210084033,32.240246585365846,224811.72357723577,8343.497501203256,0.0,0,Standard,0.4610778443113772
llm,llm_model,gpt-5-2-pro-2025-12-11-medium,gpt-5.2-pro,Standard,medium,3.0,arc_agi_v2_public_eval,0.37916666666666665,0.37916666666666665,0.3173652694610778,120,45.5,1141.938378,334,9.516153150000001,3.4189771796407187,52647.125,74187.14166666666,2000.8726366250005,2.783333333333333,25.09754676923077,195658.3956043956,5277.026733956045,0.0,0,Standard,0.3173652694610778
