task_ID,task_set,n_pairs,human_solve_rate,human_mean_duration_seconds,human_mean_submissions,human_mean_pred_prob,human_outfit,human_difficulty,human_point_biserial,human_ability_gap,n_train_pairs,n_test_pairs,input_rows,input_cols,input_cells,input_colors,output_rows,output_cols,output_cells,output_colors,size_change_ratio,llm_model_count,llm_mean_score,llm_median_score,llm_score_std,llm_mean_cost,llm_mean_attempts,llm_mean_output_tokens,llm_mean_total_tokens,llm_mean_duration_seconds,llm_mean_empty_attempts,llm_effort_per_success_seconds,llm_effort_per_success_cost,llm_effort_per_success_tokens,trm_best_task_score,human_effort_per_success_seconds,human_effort_per_success_submissions,llm_human_duration_ratio
2d0172a1,Public Eval,2,0.5,306.19455,1.4,0.5820735226731111,0.9646964198950163,1.1812803595544823,0.12574231759008384,0.7585440481305175,4.0,2.0,25.0,25.0,625.0,2.0,11.5,12.0,135.5,2.0,0.2168,22,0.045454545454545456,0.0,0.21320071635561041,2.3111536136363635,3.909090909090909,51172.0,91096.88888888889,1345.3864430454544,0.0,29598.501746999995,50.84537949999999,2004131.5555555555,0.0,612.3891,2.8,4.393894153391869
31f7f899,Public Eval,1,1.0,294.5783333333333,2.6666666666666665,0.91616814288285,0.0923097815245699,-0.4920880072128856,,,3.0,1.0,17.0,17.0,289.0,6.0,17.0,17.0,289.0,6.0,1.0,23,0.5217391304347826,1.0,0.5107539184552491,0.6231476956521739,2.0,37152.52173913043,160392.36842105264,407.0864262173913,0.0,780.2489835833334,1.1943664166666665,307418.7061403509,0.0,294.5783333333333,2.6666666666666665,1.381929287232229
332f06d7,Public Eval,1,0.7777777777777778,109.99344444444444,1.4444444444444444,0.7907307060302878,0.4311055113863534,0.2440686756607648,0.6190493892902488,2.5881789783007845,4.0,1.0,20.0,20.0,400.0,4.0,20.0,20.0,400.0,4.0,1.0,23,0.08695652173913043,0.0,0.2881040655200304,1.458849543478261,2.0,72878.13043478261,466323.5789473684,890.6755456086956,0.0,10242.7687745,16.77676975,5362721.157894737,0.0,141.42014285714285,1.857142857142857,8.097532994873696
35ab12c3,Public Eval,1,0.3333333333333333,284.18625,2.5,0.416571410797772,0.7159873061508462,2.00842740590096,0.1701831525431379,1.338823773704934,3.0,1.0,21.0,21.0,441.0,7.0,21.0,21.0,441.0,7.0,1.0,22,0.09090909090909091,0.0,0.29424494316824984,1.2665835,2.0,72030.27272727272,433769.44444444444,664.6017378636363,0.0,7310.6191165,13.9324185,4771463.888888889,0.0,852.5587499999999,7.5,2.3386132786636806
36a08778,Public Eval,2,1.0,125.45566666666667,1.1666666666666665,0.9207980789566017,0.09026140224763066,-0.46434684977715546,,,6.0,2.0,23.0,23.0,578.0,3.0,23.0,23.0,578.0,3.0,1.0,23,0.34782608695652173,0.0,0.4110624429643388,2.649236945652174,4.0,117461.86956521739,587590.4736842106,1354.661508,0.0,3894.6518355,7.61655621875,1689322.6118421054,0.5,125.45566666666667,1.1666666666666665,10.79793000980426
38007db0,Public Eval,2,1.0,91.36416666666668,1.3333333333333335,0.925726733083903,0.08112784715182506,-0.43513710176380593,,,2.0,2.0,27.0,27.0,733.0,3.0,27.0,7.5,203.5,3.0,0.2779310344827586,23,0.782608695652174,1.0,0.331185438185925,0.8066139130434782,3.9130434782608696,75940.34782608696,510849.3157894737,542.3216706956522,0.0,692.9665792222222,1.030673333333333,652751.9035087719,0.0,91.36416666666668,1.3333333333333335,5.935824628864184
3a25b0d8,Public Eval,2,0.8055555555555556,136.70524999999998,1.75,0.7626784669769755,0.34554856424969016,-0.5986249466826237,0.5085448013766056,1.8553023457659152,2.0,2.0,29.0,29.0,842.0,8.5,16.0,12.0,194.0,8.5,0.2282142857142857,23,0.0,0.0,0.0,2.7458563369565216,3.9130434782608696,126447.56521739131,824695.052631579,1439.4633150869565,0.0,,,,0.0,169.70306896551722,2.1724137931034484,10.52968569302903
3dc255db,Public Eval,1,0.875,167.849125,3.375,0.8828610515217531,0.5295924693492625,0.1366346755500974,0.1609834716811186,1.113853973508793,3.0,1.0,12.0,13.0,156.0,6.0,12.0,13.0,156.0,6.0,1.0,23,0.13043478260869565,0.0,0.34435022157509093,1.048277195652174,2.0,62993.52173913043,287386.4210526316,800.6878672608696,0.0,6138.606982333334,8.036791833333334,2203295.8947368423,0.0,191.82757142857142,3.857142857142857,4.770283236572545
3e6067c3,Public Eval,2,1.0,108.19166666666666,1.0555555555555556,0.9029388468369273,0.1195661800584352,-1.1240764816013336,,,3.0,2.0,29.5,29.5,870.5,8.5,29.5,29.5,870.5,8.5,1.0,23,0.45652173913043476,0.5,0.42407770188162636,1.926548760869565,4.0,132385.04347826086,825338.3684210526,1216.6946597391304,0.0,2665.1406832380953,4.22005919047619,1807884.045112782,0.0,108.19166666666666,1.0555555555555556,11.245733587668155
409aa875,Public Eval,1,0.5,208.2995,1.375,0.5541928874298417,1.477655558949612,0.8778273748627536,-0.4429955101645255,-0.2254339940551754,3.0,1.0,16.0,16.0,256.0,2.0,16.0,16.0,256.0,4.0,1.0,23,0.08695652173913043,0.0,0.2881040655200304,1.0445078369565217,2.0,61128.65217391304,344145.5789473684,701.5520619130435,0.0,8067.848712000001,12.011840125,3957674.157894737,0.0,416.599,2.75,3.3679968598726524
446ef5d2,Public Eval,2,0.6527777777777778,378.2895277777777,1.5,0.6711850185990855,0.8456584012792745,0.3251558708044025,-0.197505447544164,0.998971078679714,2.0,2.0,23.0,23.0,538.0,5.0,23.0,23.0,538.0,4.0,1.0,23,0.043478260869565216,0.0,0.1440520327600152,2.959395923913043,3.9130434782608696,139619.30434782608,813775.5263157894,1906.4351304782606,0.0,43848.008000999995,68.06610624999999,18716837.10526316,0.0,579.5073617021276,2.2978723404255317,5.03961910253613
45a5af55,Public Eval,1,0.8888888888888888,457.0784444444445,1.2222222222222223,0.8670968007808374,0.5144572414305763,-0.3812832453883902,0.1191348317457286,1.2182843737336355,2.0,1.0,14.0,11.0,154.0,5.0,26.0,26.0,676.0,5.0,4.3896103896103895,23,0.6956521739130435,1.0,0.4704719688969647,0.6825369782608696,2.0,33420.782608695656,128725.21052631579,343.18570308695655,0.0,493.3294481875001,0.98114690625,185042.49013157896,0.0,514.21325,1.3750000000000002,0.7508245187630348
4c3d4a41,Public Eval,2,0.7083333333333333,170.53820833333333,2.375,0.7243977522009757,0.362943660907852,0.23422433207721746,0.7672577693018001,2.160748524574986,2.0,2.0,8.0,20.0,160.0,6.0,8.0,20.0,160.0,6.0,1.0,23,0.391304347826087,0.0,0.45117326189942203,1.5560995217391305,4.0,109988.04347826086,556464.947368421,1253.9821766086957,0.0,3204.621118,3.9766987777777776,1422077.087719298,0.0,240.7598235294118,3.3529411764705888,7.353086377908151
4c416de3,Public Eval,1,0.75,216.257125,1.375,0.7731561883869069,0.5493974246575322,0.3813031438479302,0.6442846985824373,1.2267895210283302,3.0,1.0,19.0,22.0,418.0,8.0,19.0,22.0,418.0,8.0,1.0,23,0.0,0.0,0.0,1.340322108695652,2.0,77772.43478260869,488731.8947368421,777.441424173913,0.0,,,,1.0,288.3428333333333,1.8333333333333333,3.594986404142351
4c7dc4dd,Public Eval,2,0.65,69.8121,1.75,0.6435962234887798,0.5607847152605749,0.19413181378211053,0.5161715492829906,1.8882807707860327,2.0,2.0,30.0,30.0,900.0,8.0,5.5,5.5,30.5,3.0,0.03388888888888885,23,0.043478260869565216,0.0,0.1440520327600152,2.7208069565217388,3.9130434782608696,78462.73913043478,319640.3157894737,1401.7398979565219,0.0,32240.017653000003,62.578559999999996,7351727.263157896,0.0,107.40323076923077,2.692307692307692,20.0787527943798
4e34c42c,Public Eval,2,0.34848484848484845,453.1761919191919,1.4191919191919191,0.40751819515019405,0.8650248420909835,1.1868009891285516,0.07979839180786702,0.8338315871034062,2.0,2.0,23.0,20.0,460.0,8.0,11.5,19.0,218.5,8.0,0.46951923076923074,22,0.0,0.0,0.0,2.787786363636364,3.909090909090909,109555.0,599377.4444444445,1549.6010960454548,0.0,,,,0.0,1300.4186376811595,4.072463768115942,3.419423005173608
53fb4810,Public Eval,1,0.8888888888888888,119.15555555555557,1.2222222222222223,0.8420411298088638,0.093641779362865,-0.8323114481132635,0.9087726812603286,4.733830797619792,2.0,1.0,25.0,18.0,450.0,8.0,25.0,18.0,450.0,8.0,1.0,23,0.43478260869565216,0.0,0.5068698018697019,0.6341628043478261,2.0,42732.739130434784,205151.0,423.52689699999996,0.0,974.1118630999999,1.4585744500000002,471847.3,0.0,134.05,1.3750000000000002,3.5544032758299138
5545f144,Public Eval,1,0.2,165.2467,1.0,0.3043242815567731,0.6258783870279355,2.097080782235748,0.3207203912130588,0.777714250900303,3.0,1.0,15.0,15.0,225.0,2.0,15.0,15.0,225.0,2.0,1.0,22,0.0,0.0,0.0,1.6139439090909091,2.0,64364.09090909091,329369.6111111111,866.4981858181818,0.0,,,,0.0,826.2334999999999,5.0,5.243664084173432
581f7754,Public Eval,2,0.7,167.2197,1.2,0.6673570551086514,0.6908182631440287,-0.3155821585255626,-0.006828582011884604,0.6552719611954785,3.0,2.0,12.5,21.0,261.0,5.0,12.5,21.0,261.0,5.0,1.0,22,0.20454545454545456,0.0,0.33306266066723234,1.9141241022727273,3.8181818181818183,105393.09090909091,656062.0555555555,1045.0613210909091,0.0,5109.1886808888885,9.357940055555556,3207414.49382716,0.0,238.88528571428571,1.7142857142857144,6.249630402942412
58490d8a,Public Eval,1,1.0,90.95277777777775,1.1111111111111112,0.9492640257538824,0.0556660826259253,-0.9021561915095831,,,3.0,1.0,22.0,25.0,550.0,7.0,9.0,11.0,99.0,5.0,0.18,23,0.782608695652174,1.0,0.42174116783664994,0.5810984347826087,2.0,33128.52173913043,152721.47368421053,477.1901178260869,0.0,609.7429283333332,0.7425146666666667,195144.1052631579,0.0,90.95277777777775,1.1111111111111112,5.246570027712529
58f5dbd5,Public Eval,1,1.0,288.0777777777778,1.1111111111111112,0.9179103895658378,0.1003243119385612,-1.466642587283571,,,3.0,1.0,19.0,23.0,437.0,9.0,19.0,13.0,247.0,7.0,0.5652173913043478,23,0.4782608695652174,0.0,0.5107539184552492,0.8307502826086955,2.0,50587.69565217391,321303.5789473684,467.2270885652174,0.0,976.929367,1.737023318181818,671816.5741626794,0.0,288.0777777777778,1.1111111111111112,1.621878272490823
5961cc34,Public Eval,1,0.75,172.13174999999998,1.5,0.7692931803496557,0.8291861218450516,0.3196961068087366,0.379675237610074,1.5684159985367785,4.0,1.0,27.0,27.0,729.0,5.0,27.0,27.0,729.0,2.0,1.0,23,0.2608695652173913,0.0,0.44897775854487953,1.300505043478261,2.0,75974.78260869565,531293.0,852.0914044347826,0.0,3266.350383666667,4.985269333333334,2036623.1666666667,0.0,229.509,2.0,4.950227976156535
5dbc8537,Public Eval,2,0.85,221.4176,1.25,0.7805624032787026,0.7423836758216693,-0.16882355031172658,-0.1632677831256336,0.262635744726841,2.0,2.0,22.5,22.5,512.5,10.0,15.0,16.5,205.0,9.0,0.4,23,0.2391304347826087,0.0,0.3652385651682555,2.890548586956522,3.8260869565217392,104619.13043478261,453256.1052631579,1780.2347793913043,0.0,7444.618168363636,12.087748636363637,1895434.6220095695,0.0,260.49129411764704,1.4705882352941178,8.040168348818272
62593bfd,Public Eval,2,0.375,246.474775,1.4166666666666665,0.4322755466780759,0.7127049542597446,1.3083458585434258,0.35261102053932114,1.5410793331997987,2.0,2.0,22.0,26.5,578.5,6.0,22.0,26.5,578.5,6.0,1.0,23,0.043478260869565216,0.0,0.1440520327600152,2.888143543478261,3.9130434782608696,145456.5652173913,909806.1578947369,1461.009256130435,0.0,33603.212891,66.4273015,20925541.63157895,0.0,657.2660666666667,3.7777777777777772,5.927621827144117
64efde09,Public Eval,1,0.8,176.0678,1.0,0.7768169713079209,0.5191655507792781,-0.4529533251333644,0.1883265098197357,1.3552746151447113,2.0,1.0,29.0,29.0,841.0,8.0,29.0,29.0,841.0,8.0,1.0,23,0.08695652173913043,0.0,0.2881040655200304,1.5348275,2.0,78759.65217391304,493987.0,823.0701443043479,0.0,9465.3066595,17.65051625,5680850.5,0.0,220.08474999999999,1.25,4.674734075761427
65b59efc,Public Eval,2,0.5416666666666666,221.98798611111113,0.5972222222222222,0.5726102743408741,0.6284300022698984,0.5453759891629205,0.4999247161040031,0.8523550518332803,3.0,2.0,14.0,25.0,360.0,9.0,20.5,20.5,440.5,5.0,1.1843750000000002,23,0.4782608695652174,0.5,0.4641282363343625,1.9466596521739132,4.0,112373.52173913043,664464.3157894737,1152.6187230869564,0.0,2410.020966454545,4.070288363636364,1389334.4784688996,0.0,409.8239743589744,1.1025641025641026,5.19225721751464
67e490f4,Public Eval,1,1.0,259.55975,1.0,0.8897809563123572,0.1293879904974211,-0.8708970900759786,,,2.0,1.0,30.0,30.0,900.0,8.0,7.0,30.0,210.0,6.0,0.2333333333333333,23,0.13043478260869565,0.0,0.34435022157509093,1.394729195652174,2.0,70355.56521739131,469214.7894736842,966.6034693913044,0.0,7410.626598666668,10.692923833333333,3597313.3859649124,0.0,259.55975,1.0,3.72401140543287
6e453dd6,Public Eval,1,0.75,208.0405,2.0,0.71678484701196,0.6534945424501637,-0.2550754750894821,,,3.0,1.0,25.0,12.0,300.0,3.0,25.0,12.0,300.0,4.0,1.0,23,0.391304347826087,0.0,0.4990108793478454,0.8552757500000001,2.0,42298.82608695652,197621.8947368421,474.453688,0.0,1212.4927582222222,2.1857046944444445,505033.730994152,0.0,277.38733333333334,2.6666666666666665,2.280583290272807
6e4f6532,Public Eval,2,0.65,322.78560000000004,1.1166666666666667,0.6294418845835789,0.41891184946739213,0.49333632188883414,0.2274159670893103,1.013418353617153,2.0,2.0,30.0,22.0,660.0,7.0,30.0,22.0,660.0,7.0,1.0,23,0.021739130434782608,0.0,0.10425720702853739,3.4487371086956524,4.0,148396.8260869565,965354.7368421053,1620.623343,0.0,74548.673778,158.641907,44406317.89473684,0.0,496.59323076923084,1.7179487179487178,5.020742384418635
6ffbe589,Public Eval,1,0.2222222222222222,341.4912222222222,2.0,0.3267305102009458,0.4109779864904161,1.891717070168452,0.2838049667436666,1.56717745727839,3.0,1.0,20.0,20.0,400.0,4.0,13.0,13.0,169.0,4.0,0.4225,22,0.0,0.0,0.0,1.3027064545454545,2.0,68628.81818181818,446791.27777777775,656.2574858636364,0.0,,,,0.0,1536.7105,9.0,1.9217404230571498
71e489b6,Public Eval,2,0.8888888888888888,193.7065,2.0555555555555554,0.8324753509740519,0.28020771897562613,-0.3430062971664284,0.6068746266617812,1.926743418266586,3.0,2.0,17.0,17.5,299.0,2.0,17.0,17.5,299.0,3.0,1.0,23,0.1956521739130435,0.0,0.3281882232521803,2.447325445652174,4.0,148659.52173913043,868670.6315789474,1373.9123326086958,0.0,7022.218588888889,12.508552277777778,4439872.116959064,1.0,217.9198125,2.3125,7.0927528637846216
7491f3cf,Public Eval,1,0.5555555555555556,171.19455555555555,1.7777777777777777,0.61184447238889,0.5125552449707842,1.0241193187969164,0.6316246815228747,2.6349209882137075,4.0,1.0,7.0,25.0,175.0,5.0,7.0,25.0,175.0,5.0,1.0,23,0.08695652173913043,0.0,0.2881040655200304,1.1315742608695651,2.0,65645.34782608696,359694.7368421053,760.0107759130434,0.0,8740.123923,13.013104,4136489.473684211,0.0,308.1502,3.1999999999999997,4.439456461957442
7666fa5d,Public Eval,1,0.7777777777777778,217.24855555555555,1.5555555555555556,0.7547724710767516,0.650890401209268,-0.4033910752358078,0.6164622766162613,1.6967969320240124,2.0,1.0,16.0,16.0,256.0,2.0,16.0,16.0,256.0,3.0,1.0,22,0.13636363636363635,0.0,0.35125008665710444,1.23391575,2.0,34547.318181818184,49822.77777777778,910.6738893636364,0.0,6678.275188666667,9.0487155,365367.0370370371,1.0,279.3195714285714,2.0,4.191852447694437
78332cb0,Public Eval,2,0.9444444444444444,296.7358888888889,1.4444444444444444,0.8962624078527159,0.375053240224909,-0.3061855910085275,-0.0084343509214593,0.6604705763551444,3.0,2.0,17.0,8.0,118.0,3.5,14.0,14.0,115.0,3.5,0.975206611570248,23,0.021739130434782608,0.0,0.10425720702853737,0.9850078260869566,4.0,79118.26086956522,360669.15789473685,759.5895199999999,0.0,34941.11792,45.31036,16590781.263157895,0.0,314.1909411764706,1.5294117647058825,2.559816821767804
7b0280bc,Public Eval,1,0.5555555555555556,203.31522222222225,3.2222222222222223,0.6064202668539155,0.365558839336167,0.926498842182812,0.8255375698990388,2.9843564858927585,3.0,1.0,30.0,30.0,900.0,4.0,30.0,30.0,900.0,6.0,1.0,23,0.0,0.0,0.0,1.2584937934782607,2.0,81675.0,525841.6842105263,778.4897487826088,0.0,,,,0.0,365.96740000000005,5.8,3.8289791599161447
