dataset_key,model_name,model_type,accuracy,pc1_theta
arc_agi_1_eval,qwen3-235b-a22b-instruct-2507,Standard,0.155,-5.8097263402369475
arc_agi_1_eval,QwQ-32B-Fireworks,Standard,0.0675,-6.84340885871676
arc_agi_2_eval,claude-haiku-4-5-20251001,Standard,0.0,-1.5531876177831772
arc_agi_2_eval,claude-haiku-4-5-20251001-thinking-16k,Thinking,0.016666666666666666,-1.2449760100290668
arc_agi_2_eval,claude-haiku-4-5-20251001-thinking-1k,Thinking,0.0,-1.5531876177831845
arc_agi_2_eval,claude-haiku-4-5-20251001-thinking-32k,Thinking,0.03333333333333333,-0.8965586413533572
arc_agi_2_eval,claude-haiku-4-5-20251001-thinking-8k,Thinking,0.016666666666666666,-1.2449760100290674
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-16k,Thinking,0.15833333333333333,1.2249332646958946
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-1k,Thinking,0.025,-1.192764564269381
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-32k,Thinking,0.18333333333333332,1.4077153410241032
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-64k,Thinking,0.275,2.614155086941594
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-8k,Thinking,0.075,-0.0685080993973311
arc_agi_2_eval,claude-opus-4-5-20251101-thinking-none,Standard,0.016666666666666666,-1.2627520599637774
arc_agi_2_eval,claude-sonnet-4-5-20250929,Standard,0.025,-1.2744728237019387
arc_agi_2_eval,claude-sonnet-4-5-20250929-thinking-16k,Thinking,0.041666666666666664,-0.7017438967995777
arc_agi_2_eval,claude-sonnet-4-5-20250929-thinking-1k,Thinking,0.016666666666666666,-1.2650155711776514
arc_agi_2_eval,claude-sonnet-4-5-20250929-thinking-32k,Thinking,0.075,-0.23587807273179534
arc_agi_2_eval,claude-sonnet-4-5-20250929-thinking-8k,Thinking,0.041666666666666664,-0.7189149011567133
arc_agi_2_eval,gemini-3-deep-think-preview,Thinking,0.325,3.538310505151488
arc_agi_2_eval,gemini-3-flash-preview-thinking-high,Thinking,0.19166666666666668,1.9235237455023786
arc_agi_2_eval,gemini-3-flash-preview-thinking-low,Thinking,0.0,-1.553187617783185
arc_agi_2_eval,gemini-3-flash-preview-thinking-medium,Thinking,0.075,-0.2710470812637072
arc_agi_2_eval,gemini-3-flash-preview-thinking-minimal,Thinking,0.016666666666666666,-1.3176075090807555
arc_agi_2_eval,gemini-3-pro-preview,Thinking,0.175,1.5825018605363854
arc_agi_2_eval,gpt-4-1-2025-04-14,Standard,0.0,-1.553187617783185
arc_agi_2_eval,gpt-4-1-mini-2025-04-14,Standard,0.0,-1.553187617783185
arc_agi_2_eval,gpt-4-1-nano-2025-04-14,Standard,0.0,-1.553187617783185
arc_agi_2_eval,gpt-5-1-2025-11-13-thinking-high,Thinking,0.08333333333333333,-0.14901133454258522
arc_agi_2_eval,gpt-5-1-2025-11-13-thinking-low,Thinking,0.008333333333333333,-1.420951550707692
arc_agi_2_eval,gpt-5-1-2025-11-13-thinking-medium,Thinking,0.05,-0.6355290969303848
arc_agi_2_eval,gpt-5-1-2025-11-13-thinking-none,Standard,0.0,-1.553187617783185
arc_agi_2_eval,gpt-5-2-2025-12-11-thinking-high,Thinking,0.23333333333333334,2.6287433793176644
arc_agi_2_eval,gpt-5-2-2025-12-11-thinking-low,Thinking,0.05,-0.6139457999391792
arc_agi_2_eval,gpt-5-2-2025-12-11-thinking-medium,Thinking,0.15,1.2264058172338876
arc_agi_2_eval,gpt-5-2-2025-12-11-thinking-none,Standard,0.0,-1.553187617783185
arc_agi_2_eval,gpt-5-2-2025-12-11-thinking-xhigh,Thinking,0.44166666666666665,4.996160070048104
arc_agi_2_eval,gpt-5-2-pro-2025-12-11-high,Standard,0.43333333333333335,4.740414743152259
arc_agi_2_eval,gpt-5-2-pro-2025-12-11-medium,Standard,0.275,3.3843024458183035
arc_agi_2_eval,gpt-5-pro-2025-10-06,Thinking,0.08333333333333333,0.1435716070383638
arc_agi_2_eval,grok-4-fast-reasoning,Thinking,0.03333333333333333,-0.9173962833378007
arc_agi_2_eval,qwen3-235b-a22b-instruct-2507,Standard,0.0,-1.5531876177831851
