task_id,compressarc_top1_solved,compressarc_top2_solved,compressarc_top1_failure,compressarc_top2_failure,compressarc_top1_ever_solved,compressarc_top2_ever_solved,compressarc_top1_fraction_correct_steps,compressarc_top2_fraction_correct_steps,compressarc_top1_first_correct_step,compressarc_top2_first_correct_step
40853293,1,1,0,0,1,1,0.8565,0.8565,287.0,287.0
4093f84a,0,0,1,1,0,0,0.0,0.0,,
41e4d17e,1,1,0,0,1,1,0.8075,0.812,385.0,376.0
4258a5f9,1,1,0,0,1,1,0.8405,0.874,215.0,215.0
4290ef0e,0,0,1,1,0,0,0.0,0.0,,
42a50994,1,1,0,0,1,1,0.7545,0.806,491.0,150.0
4347f46a,1,1,0,0,1,1,0.9145,0.915,171.0,150.0
444801d8,1,1,0,0,1,1,0.685,0.685,630.0,630.0
445eab21,1,1,0,0,1,1,0.9955,0.9965,7.0,7.0
447fd412,0,0,1,1,0,0,0.0,0.0,,
44d8ac46,0,0,1,1,0,0,0.0,0.0,,
44f52bb0,0,1,1,0,1,1,0.0405,0.8455,591.0,156.0
4522001f,0,0,1,1,0,0,0.0,0.0,,
4612dd53,1,1,0,0,1,1,0.9205,0.921,159.0,150.0
46442a0e,0,0,1,1,0,0,0.0,0.0,,
469497ad,0,0,1,1,0,0,0.0,0.0,,
46f33fce,0,0,1,1,0,0,0.0,0.0,,
47c1f68c,0,0,1,1,0,0,0.0,0.0,,
484b58aa,1,1,0,0,1,1,0.8205,0.8205,359.0,359.0
48d8fb45,1,1,0,0,1,1,0.843,0.9205,278.0,155.0
4938f0c2,0,0,1,1,0,0,0.0,0.0,,
496994bd,0,0,1,1,0,0,0.0,0.0,,
49d1d64f,0,0,1,1,0,0,0.0,0.0,,
4be741c5,0,0,1,1,0,0,0.0,0.0,,
4c4377d9,0,0,1,1,1,1,0.108,0.162,157.0,156.0
4c5c2cf0,0,0,1,1,0,0,0.0,0.0,,
50846271,0,0,1,1,0,0,0.0,0.0,,
508bd3b6,0,0,1,1,0,0,0.0,0.0,,
50cb2852,0,1,1,0,1,1,0.0065,0.858,229.0,194.0
5117e062,1,1,0,0,1,1,0.841,0.915,158.0,153.0
5168d44c,0,0,1,1,0,0,0.0,0.0,,
539a4f51,0,0,1,1,0,0,0.0,0.0,,
53b68214,0,0,1,1,0,0,0.0,0.0,,
543a7ed5,1,1,0,0,1,1,0.869,0.8795,241.0,241.0
54d82841,1,1,0,0,1,1,0.116,0.343,1768.0,1306.0
54d9e175,0,0,1,1,0,0,0.0,0.0,,
5521c0d9,0,0,1,1,0,0,0.0,0.0,,
5582e5ca,1,1,0,0,1,1,0.8375,0.9465,108.0,2.0
5614dbcf,0,0,1,1,0,0,0.0,0.0,,
56dc2b01,0,0,1,1,0,0,0.0,0.0,,
56ff96f3,1,1,0,0,1,1,0.783,0.793,434.0,414.0
57aa92db,0,0,1,1,0,0,0.0,0.0,,
5ad4f10b,0,0,1,1,0,0,0.0,0.0,,
5bd6f4ac,1,1,0,0,1,1,0.7025,0.945,129.0,108.0
5c0a986e,1,1,0,0,1,1,0.934,0.9355,122.0,122.0
5c2c9af4,0,0,1,1,0,0,0.0,0.0,,
5daaa586,0,0,1,1,0,0,0.0,0.0,,
60b61512,1,1,0,0,1,1,0.9245,0.926,134.0,134.0
6150a2bd,0,1,1,0,1,1,0.756,0.8445,314.0,309.0
623ea044,1,1,0,0,1,1,0.924,0.9285,152.0,141.0
62c24649,0,0,1,1,0,0,0.0,0.0,,
63613498,0,0,1,1,0,0,0.0,0.0,,
6430c8c4,0,0,1,1,0,0,0.0,0.0,,
6455b5f5,0,0,1,1,0,0,0.0,0.0,,
662c240a,0,0,1,1,0,0,0.0,0.0,,
67385a82,1,1,0,0,1,1,0.917,0.924,166.0,139.0
673ef223,0,0,1,1,0,0,0.0,0.0,,
6773b310,0,0,1,1,0,0,0.0,0.0,,
67a3c6ac,0,0,1,1,0,0,0.0,0.0,,
67a423a3,1,1,0,0,1,1,0.91,0.91,180.0,180.0
67e8384a,0,0,1,1,0,0,0.0,0.0,,
681b3aeb,0,0,1,1,1,1,0.009,0.0165,150.0,150.0
6855a6e4,0,0,1,1,0,0,0.0,0.0,,
68b16354,0,0,1,1,0,0,0.0,0.0,,
694f12f3,1,1,0,0,1,1,0.5885,0.726,406.0,406.0
6a1e5592,0,0,1,1,0,0,0.0,0.0,,
6aa20dc0,0,0,1,1,0,0,0.0,0.0,,
6b9890af,0,0,1,1,0,0,0.0,0.0,,
6c434453,1,1,0,0,1,1,0.89,0.8925,215.0,215.0
6cdd2623,1,1,0,0,1,1,0.925,0.925,150.0,150.0
6cf79266,0,1,1,0,0,1,0.0,0.018,,1964.0
6d0160f0,0,0,1,1,0,0,0.0,0.0,,
6d0aefbc,0,0,1,1,0,0,0.0,0.0,,
6d58a25d,0,0,1,1,0,0,0.0,0.0,,
6d75e8bb,1,1,0,0,1,1,0.9245,0.9275,151.0,144.0
6e02f1e3,0,0,1,1,1,1,0.137,0.5755,221.0,192.0
6e19193c,0,0,1,1,0,0,0.0,0.0,,
6e82a1ae,0,0,1,1,0,0,0.0,0.0,,
6ecd11f4,0,0,1,1,0,0,0.0,0.0,,
6f8cd79b,1,1,0,0,1,1,0.9215,0.9215,157.0,157.0
6fa7a44f,0,0,1,1,0,0,0.0,0.0,,
72322fa7,0,0,1,1,0,0,0.0,0.0,,
72ca375d,0,0,1,1,0,0,0.0,0.0,,
73251a56,1,1,0,0,1,1,0.871,0.871,258.0,258.0
7447852a,0,0,1,1,0,0,0.0,0.0,,
7468f01a,0,0,1,1,0,0,0.0,0.0,,
746b3537,0,0,1,1,0,0,0.0,0.0,,
74dd1130,1,1,0,0,1,1,0.0765,0.541,1847.0,918.0
75b8110e,0,0,1,1,0,0,0.0,0.0,,
760b3cac,0,0,1,1,0,0,0.0,0.0,,
776ffc46,0,0,1,1,0,0,0.0,0.0,,
77fdfe62,0,0,1,1,0,0,0.0,0.0,,
780d0b14,0,0,1,1,0,0,0.0,0.0,,
7837ac64,0,0,1,1,0,0,0.0,0.0,,
794b24be,0,1,1,0,1,1,0.1175,0.923,150.0,150.0
7b6016b9,0,0,1,1,0,0,0.0,0.0,,
7b7f7511,0,1,1,0,1,1,0.0215,0.1665,150.0,150.0
7c008303,0,0,1,1,0,0,0.0,0.0,,
7ddcd7ec,0,0,1,1,0,0,0.0,0.0,,
7df24a62,0,0,1,1,0,0,0.0,0.0,,
7e0986d6,1,1,0,0,1,1,0.9265,0.957,108.0,79.0
7f4411dc,0,1,1,0,1,1,0.724,0.925,150.0,150.0
7fe24cdd,0,0,1,1,0,0,0.0,0.0,,
80af3007,0,0,1,1,0,0,0.0,0.0,,
810b9b61,0,0,1,1,0,0,0.0,0.0,,
82819916,0,0,1,1,0,0,0.0,0.0,,
83302e8f,0,0,1,1,0,0,0.0,0.0,,
834ec97d,0,0,1,1,0,0,0.0,0.0,,
8403a5d5,0,0,1,1,0,0,0.0,0.0,,
846bdb03,0,0,1,1,0,0,0.0,0.0,,
855e0971,1,1,0,0,1,1,0.8205,0.8255,354.0,327.0
85c4e7cd,0,0,1,1,0,0,0.0,0.0,,
868de0fa,0,0,1,1,0,0,0.0,0.0,,
8731374e,1,1,0,0,1,1,0.309,0.39,1382.0,1183.0
88a10436,0,0,1,1,0,0,0.0,0.0,,
88a62173,0,0,1,1,0,0,0.0,0.0,,
890034e9,0,0,1,1,0,0,0.0,0.0,,
8a004b2b,0,0,1,1,0,0,0.0,0.0,,
8be77c9e,0,0,1,1,0,0,0.0,0.0,,
8d5021e8,0,0,1,1,0,0,0.0,0.0,,
8d510a79,0,0,1,1,0,0,0.0,0.0,,
8e1813be,0,0,1,1,0,0,0.0,0.0,,
8e5a5113,0,0,1,1,0,0,0.0,0.0,,
8eb1be9a,0,0,1,1,0,0,0.0,0.0,,
8efcae92,0,0,1,1,0,0,0.0,0.0,,
8f2ea7aa,0,0,1,1,0,0,0.0,0.0,,
90c28cc7,0,0,1,1,0,0,0.0,0.0,,
90f3ed37,0,0,1,1,0,0,0.0,0.0,,
913fb3ed,0,0,1,1,0,0,0.0,0.0,,
91413438,0,0,1,1,0,0,0.0,0.0,,
91714a58,1,1,0,0,1,1,0.925,0.925,150.0,150.0
9172f3a0,0,0,1,1,0,0,0.0,0.0,,
928ad970,1,1,0,0,1,1,0.8455,0.8455,309.0,309.0
93b581b8,1,1,0,0,1,1,0.474,0.881,1052.0,190.0
941d9a10,1,1,0,0,1,1,0.6665,0.681,667.0,638.0
94f9d214,0,0,1,1,0,0,0.0,0.0,,
952a094c,1,1,0,0,1,1,0.8065,0.8215,387.0,357.0
9565186b,0,0,1,1,0,0,0.0,0.0,,
95990924,0,1,1,0,1,1,0.5535,0.7305,539.0,454.0
963e52fc,0,0,1,1,0,0,0.0,0.0,,
97999447,0,1,1,0,1,1,0.373,0.706,468.0,468.0
97a05b5b,0,0,1,1,0,0,0.0,0.0,,
98cf29f8,0,0,1,1,0,0,0.0,0.0,,
995c5fa3,0,0,1,1,0,0,0.0,0.0,,
99b1bc43,0,0,1,1,0,0,0.0,0.0,,
99fa7670,1,1,0,0,1,1,0.862,0.884,159.0,159.0
9aec4887,0,0,1,1,0,0,0.0,0.0,,
9af7a82c,0,0,1,1,0,0,0.0,0.0,,
9d9215db,0,0,1,1,0,0,0.0,0.0,,
9dfd6313,0,0,1,1,0,0,0.0,0.0,,
9ecd008a,0,0,1,1,0,0,0.0,0.0,,
9edfc990,0,0,1,1,0,0,0.0,0.0,,
9f236235,0,0,1,1,0,0,0.0,0.0,,
a1570a43,0,0,1,1,0,0,0.0,0.0,,
a2fd1cf0,1,1,0,0,1,1,0.896,0.896,208.0,208.0
a3325580,0,0,1,1,0,0,0.0,0.0,,
a3df8b1e,0,0,1,1,0,0,0.0,0.0,,
a416b8f3,0,0,1,1,0,0,0.0,0.0,,
a48eeaf7,0,0,1,1,0,0,0.0,0.0,,
a5313dff,1,1,0,0,1,1,0.92,0.923,160.0,154.0
a5f85a15,0,1,1,0,0,1,0.0,0.1535,,1693.0
a61ba2ce,1,1,0,0,1,1,0.158,0.158,1684.0,1684.0
a61f2674,1,1,0,0,1,1,0.696,0.771,608.0,408.0
a64e4611,1,1,0,0,1,1,0.7225,0.723,555.0,554.0
a65b410d,0,1,1,0,1,1,0.0405,0.7665,274.0,274.0
a68b268e,0,0,1,1,0,0,0.0,0.0,,
a699fb00,1,1,0,0,1,1,0.9235,0.936,146.0,128.0
a740d043,0,0,1,1,0,0,0.0,0.0,,
a78176bb,0,0,1,1,0,0,0.0,0.0,,
a79310a0,0,0,1,1,1,1,0.161,0.395,624.0,571.0
a85d4709,0,0,1,1,0,0,0.0,0.0,,
a87f7484,1,1,0,0,1,1,0.828,0.8895,344.0,180.0
a8c38be5,0,0,1,1,0,0,0.0,0.0,,
a8d7556c,0,0,1,1,0,0,0.0,0.0,,
a9f96cdd,1,1,0,0,1,1,0.598,0.618,804.0,764.0
aabf363d,1,1,0,0,1,1,0.6265,0.6265,747.0,747.0
aba27056,0,0,1,1,0,0,0.0,0.0,,
ac0a08a4,0,0,1,1,0,0,0.0,0.0,,
ae3edfdc,0,1,1,0,1,1,0.626,0.8955,260.0,209.0
ae4f1146,0,0,1,1,0,0,0.0,0.0,,
aedd82e4,1,1,0,0,1,1,0.6765,0.764,410.0,406.0
af902bf9,1,1,0,0,1,1,0.845,0.8535,310.0,293.0
b0c4d837,0,0,1,1,0,0,0.0,0.0,,
b190f7f5,0,0,1,1,0,0,0.0,0.0,,
b1948b0a,1,1,0,0,1,1,0.925,0.925,150.0,150.0
b230c067,0,0,1,1,0,0,0.0,0.0,,
b27ca6d3,0,0,1,1,0,0,0.0,0.0,,
b2862040,0,0,1,1,0,0,0.0,0.0,,
b527c5c6,0,0,1,1,0,0,0.0,0.0,,
b548a754,1,1,0,0,1,1,0.7935,0.7935,413.0,413.0
b60334d2,1,1,0,0,1,1,0.892,0.892,216.0,216.0
b6afb2da,1,1,0,0,1,1,0.891,0.891,218.0,218.0
b7249182,0,0,1,1,0,0,0.0,0.0,,
b775ac94,0,0,1,1,0,0,0.0,0.0,,
b782dc8a,0,0,1,1,0,0,0.0,0.0,,
b8825c91,1,1,0,0,1,1,0.6935,0.7175,613.0,565.0
b8cdaf2b,0,0,1,1,0,0,0.0,0.0,,
b91ae062,0,0,1,1,0,0,0.0,0.0,,
b94a9452,1,1,0,0,1,1,0.9235,0.9295,137.0,134.0
b9b7f026,1,1,0,0,1,1,0.3285,0.376,1343.0,166.0
ba26e723,0,1,1,0,0,1,0.0,0.0145,,1971.0
ba97ae07,1,1,0,0,1,1,0.8645,0.919,271.0,162.0
bb43febb,1,1,0,0,1,1,0.9075,0.9075,185.0,185.0
bbc9ae5d,0,0,1,1,0,0,0.0,0.0,,
bc1d5164,0,0,1,1,0,0,0.0,0.0,,
bd4472b8,0,0,1,1,0,0,0.0,0.0,,
bda2d7a6,1,1,0,0,1,1,0.9125,0.914,173.0,172.0
bdad9b1f,1,1,0,0,1,1,0.885,0.8965,230.0,137.0
be94b721,0,0,1,1,0,0,0.0,0.0,,
beb8660c,0,0,1,1,0,0,0.0,0.0,,
c0f76784,1,1,0,0,1,1,0.835,0.837,330.0,317.0
c1d99e64,1,1,0,0,1,1,0.9285,0.929,136.0,136.0
c3e719e8,0,0,1,1,0,0,0.0,0.0,,
c3f564a4,1,1,0,0,1,1,0.9245,0.925,151.0,150.0
c444b776,0,0,1,1,0,0,0.0,0.0,,
c59eb873,0,0,1,1,0,0,0.0,0.0,,
c8cbb738,0,0,1,1,0,0,0.0,0.0,,
c8f0f002,1,1,0,0,1,1,0.919,0.9205,159.0,159.0
c909285e,0,0,1,1,0,0,0.0,0.0,,
c9e6f938,0,0,1,1,0,0,0.0,0.0,,
c9f8e694,1,1,0,0,1,1,0.912,0.912,176.0,176.0
caa06a1f,0,0,1,1,0,0,0.0,0.0,,
cbded52d,1,1,0,0,1,1,0.8295,0.8375,341.0,325.0
cce03e0d,0,0,1,1,0,0,0.0,0.0,,
cdecee7f,0,0,1,1,0,0,0.0,0.0,,
ce22a75a,0,0,1,1,1,1,0.0045,0.1275,558.0,391.0
ce4f8723,0,0,1,1,0,0,0.0,0.0,,
ce602527,0,0,1,1,0,0,0.0,0.0,,
ce9e57f2,0,0,1,1,0,0,0.0,0.0,,
cf98881b,0,0,1,1,0,0,0.0,0.0,,
d037b0a7,1,1,0,0,1,1,0.1975,0.4015,1522.0,1197.0
d06dbe63,1,1,0,0,1,1,0.3655,0.3675,1265.0,1265.0
d07ae81c,1,1,0,0,1,1,0.476,0.4765,1048.0,1047.0
d0f5fe59,0,0,1,1,0,0,0.0,0.0,,
d10ecb37,1,1,0,0,1,1,0.3095,0.6695,157.0,156.0
d13f3404,0,0,1,1,0,0,0.0,0.0,,
d22278a0,0,0,1,1,0,0,0.0,0.0,,
d23f8c26,0,0,1,1,0,0,0.0,0.0,,
d2abd087,0,0,1,1,0,0,0.0,0.0,,
d364b489,1,1,0,0,1,1,0.9125,0.9165,167.0,167.0
d406998b,1,1,0,0,1,1,0.557,0.6845,725.0,631.0
d43fd935,1,1,0,0,1,1,0.87,0.87,260.0,260.0
d4469b4b,0,0,1,1,0,0,0.0,0.0,,
d4a91cb9,0,1,1,0,1,1,0.471,0.6625,709.0,463.0
d4f3cd78,0,0,1,1,0,0,0.0,0.0,,
d511f180,0,0,1,1,0,0,0.0,0.0,,
d5d6de2d,1,1,0,0,1,1,0.918,0.92,164.0,160.0
d631b094,0,0,1,1,0,0,0.0,0.0,,
d687bc17,0,0,1,1,0,0,0.0,0.0,,
d6ad076f,1,1,0,0,1,1,0.824,0.8285,352.0,330.0
d89b689b,1,1,0,0,1,1,0.741,0.7415,518.0,517.0
d8c310e9,0,0,1,1,1,1,0.577,0.6855,367.0,367.0
d90796e8,0,0,1,1,0,0,0.0,0.0,,
d9f24cd1,0,0,1,1,0,0,0.0,0.0,,
d9fac9be,1,1,0,0,1,1,0.7865,0.925,150.0,150.0
dae9d2b5,0,0,1,1,0,0,0.0,0.0,,
db3e9e38,0,0,1,1,1,1,0.037,0.3295,291.0,291.0
db93a21d,0,0,1,1,0,0,0.0,0.0,,
dbc1a6ce,1,1,0,0,1,1,0.777,0.7815,446.0,437.0
dc0a314f,0,0,1,1,0,0,0.0,0.0,,
dc1df850,1,1,0,0,1,1,0.7205,0.741,559.0,518.0
dc433765,1,1,0,0,1,1,0.683,0.813,634.0,374.0
ddf7fa4f,1,1,0,0,1,1,0.867,0.867,266.0,266.0
de1cd16c,1,1,0,0,1,1,0.698,0.822,38.0,27.0
ded97339,1,1,0,0,1,1,0.869,0.869,262.0,262.0
e179c5f4,0,0,1,1,0,0,0.0,0.0,,
e21d9049,0,0,1,1,0,0,0.0,0.0,,
e26a3af2,1,1,0,0,1,1,0.971,0.9715,58.0,57.0
e3497940,0,0,1,1,0,0,0.0,0.0,,
e40b9e2f,0,0,1,1,0,0,0.0,0.0,,
e48d4e1a,0,0,1,1,0,0,0.0,0.0,,
e5062a87,0,0,1,1,0,0,0.0,0.0,,
e509e548,0,0,1,1,0,0,0.0,0.0,,
e50d258f,0,0,1,1,0,0,0.0,0.0,,
e6721834,0,0,1,1,0,0,0.0,0.0,,
e73095fd,1,1,0,0,1,1,0.904,0.907,185.0,185.0
e76a88a6,0,0,1,1,0,0,0.0,0.0,,
e8593010,0,0,1,1,0,0,0.0,0.0,,
e8dc4411,0,0,1,1,0,0,0.0,0.0,,
e9614598,0,0,1,1,0,0,0.0,0.0,,
e98196ab,0,0,1,1,0,0,0.0,0.0,,
e9afcf9a,1,1,0,0,1,1,0.7035,0.8205,575.0,359.0
ea32f347,0,0,1,1,1,1,0.1585,0.265,480.0,183.0
ea786f4a,1,1,0,0,1,1,0.9225,0.9225,155.0,155.0
eb281b96,0,0,1,1,0,0,0.0,0.0,,
eb5a1d5d,0,0,1,1,0,0,0.0,0.0,,
ec883f72,1,1,0,0,1,1,0.6965,0.7,607.0,600.0
ecdecbb3,0,0,1,1,0,0,0.0,0.0,,
ed36ccf7,0,0,1,1,0,0,0.0,0.0,,
ef135b50,1,1,0,0,1,1,0.9175,0.9215,157.0,157.0
f15e1fac,0,0,1,1,0,0,0.0,0.0,,
f1cefba8,1,1,0,0,1,1,0.676,0.791,480.0,418.0
f25fbde4,0,0,1,1,0,0,0.0,0.0,,
f25ffba3,0,0,1,1,0,0,0.0,0.0,,
f2829549,0,0,1,1,0,0,0.0,0.0,,
f35d900a,0,0,1,1,0,0,0.0,0.0,,
f5b8619d,0,0,1,1,0,0,0.0,0.0,,
f76d97a5,1,1,0,0,1,1,0.935,0.9515,110.0,85.0
f8a8fe49,0,0,1,1,0,0,0.0,0.0,,
f8b3ba0a,1,1,0,0,1,1,0.246,0.3795,241.0,151.0
f8c80d96,1,1,0,0,1,1,0.2225,0.6375,1555.0,522.0
f8ff0b80,0,0,1,1,0,0,0.0,0.0,,
f9012d9b,1,1,0,0,1,1,0.7995,0.8145,168.0,168.0
fafffa47,0,0,1,1,0,0,0.0,0.0,,
fcb5c309,1,1,0,0,1,1,0.913,0.917,168.0,150.0
fcc82909,0,0,1,1,0,0,0.0,0.0,,
feca6190,0,0,1,1,0,0,0.0,0.0,,
ff28f65a,0,0,1,1,0,0,0.0,0.0,,
ff805c23,0,0,1,1,0,0,0.0,0.0,,
