left_outcome,right_outcome,n,pearson_r,spearman_rho
fail_rate_all,pc1_difficulty_z,55,0.6987466865133054,0.6872959968800666
log1p_two_pl_max_info,rasch_abs_z_infit,55,0.6821281200844979,0.5669961757702576
response_sd_all,thinking_advantage,56,0.6805505900579586,0.7209450129290628
response_sd_all,abs_thinking_advantage,56,0.6742941285092074,0.7208422361262312
log1p_two_pl_discrimination,rasch_abs_z_infit,55,0.664121551054678,0.5669961757702576
rasch_abs_z_outfit,rasch_rmsea_x2,55,0.6606498422851872,0.4274540270596919
log1p_two_pl_max_info,rasch_abs_z_misfit,55,0.6479927945822324,0.4742766433364601
response_sd_all,item_total_corr,55,0.6385972802463823,0.5873518750406584
binary_entropy_bits,item_total_corr,55,0.637622608388109,0.5908600047505883
two_pl_discrimination,rasch_abs_z_infit,55,0.6300448170996635,0.5669961757702576
log1p_two_pl_discrimination,rasch_abs_z_misfit,55,0.6228419686918385,0.4742766433364601
two_pl_discrimination,rasch_abs_z_misfit,55,0.6120527734933419,0.4742766433364601
binary_entropy_bits,thinking_logit_advantage,56,0.5945295495530334,0.5728824027938797
rasch_abs_z_outfit,rasch_abs_z_misfit,55,0.594141664908098,0.6962858741685152
rasch_outfit,rasch_abs_z_outfit,55,0.587768665851436,-0.19027003628832895
pc1_discrimination,abs_thinking_advantage,55,0.5840531995228088,0.5937342648865321
pc1_discrimination,thinking_advantage,55,0.5739042389124362,0.5935177052762391
response_sd_all,thinking_logit_advantage,56,0.5631566895086084,0.5750362118425356
item_total_corr,abs_thinking_advantage,55,0.5607119378910004,0.5744965528388408
rasch_infit,rasch_outfit,55,0.558795246954299,0.8810159463164731
binary_entropy_bits,abs_thinking_logit_advantage,56,0.5524287234806204,0.5517140126637382
two_pl_max_info,rasch_abs_z_infit,55,0.5471872915954209,0.5669961757702576
item_total_corr,thinking_advantage,55,0.5462984132081226,0.5693713087285741
two_pl_max_info,rasch_abs_z_misfit,55,0.5363840260955176,0.4742766433364601
item_total_corr,log1p_two_pl_discrimination,55,0.5305476917079907,0.741106861966953
response_sd_all,abs_thinking_logit_advantage,56,0.5274011399666264,0.5538641904592357
rasch_difficulty_all_models_pooled,pc1_difficulty_z,55,0.5265909149224938,0.5034655377343001
two_pl_difficulty_all_models,pc1_difficulty_z,55,0.523240835651759,0.48372898477523635
latent_difficulty_prev_intersection22,pc1_difficulty_z,55,0.511243195782863,0.503111515530776
pc1_discrimination,thinking_logit_advantage,55,0.4953144393954841,0.5355519162544902
item_total_corr,abs_thinking_logit_advantage,55,0.4953034383193571,0.5291634077508479
item_total_corr,log1p_two_pl_max_info,55,0.49408013384011906,0.741106861966953
pc1_discrimination,abs_thinking_logit_advantage,55,0.49406176616475833,0.5273226510633577
item_total_corr,thinking_logit_advantage,55,0.48446621140433976,0.5300296461920198
pc1_discrimination,log1p_two_pl_discrimination,55,0.4774904295979229,0.7037304278807995
rasch_infit,rasch_rmsea_x2,55,0.4704765640246373,0.42887366752583467
log1p_two_pl_discrimination,abs_thinking_logit_advantage,55,0.45211724635754624,0.5641016915447788
pc1_discrimination,log1p_two_pl_max_info,55,0.4423081305930026,0.7037304278807995
log1p_two_pl_max_info,abs_thinking_logit_advantage,55,0.4287581012889432,0.5641016915447788
item_total_corr,two_pl_discrimination,55,0.41113203153284583,0.741106861966953
rasch_abs_z_infit,rasch_abs_z_outfit,55,0.39592818526238777,0.5335065029639379
log1p_two_pl_discrimination,thinking_logit_advantage,55,0.3952654846447822,0.5543565090815956
log1p_two_pl_discrimination,abs_thinking_advantage,55,0.37955091164968363,0.5006497257289416
two_pl_discrimination,abs_thinking_logit_advantage,55,0.3781464980006633,0.5641016915447788
pc1_discrimination,two_pl_discrimination,55,0.3729494291227675,0.7037304278807995
log1p_two_pl_max_info,thinking_logit_advantage,55,0.3693556442141504,0.5543565090815956
item_total_corr,two_pl_max_info,55,0.3642464560247535,0.741106861966953
two_pl_difficulty_all_models,rasch_infit,55,0.36112416495777877,0.37758857060393974
log1p_two_pl_discrimination,thinking_advantage,55,0.3562422369816529,0.49696821235396116
log1p_two_pl_max_info,abs_thinking_advantage,55,0.35415936076258964,0.5006497257289416
two_pl_max_info,abs_thinking_logit_advantage,55,0.3475460428299147,0.5641016915447788
pc1_discrimination,two_pl_max_info,55,0.340007208232257,0.7037304278807995
log1p_two_pl_max_info,thinking_advantage,55,0.3301840437290035,0.49696821235396116
pc1_discrimination,rasch_abs_z_infit,55,0.3262287836334483,0.4164081102532651
two_pl_discrimination,thinking_logit_advantage,55,0.3233050236745618,0.5543565090815956
latent_difficulty_prev_intersection22,rasch_infit,55,0.3160402978742731,0.3295250236857699
fail_rate_all,log1p_two_pl_info_theta0,55,0.3145378676099917,0.3931908178572779
rasch_difficulty_all_models_pooled,rasch_infit,55,0.31318002941808065,0.3350661161002204
two_pl_discrimination,abs_thinking_advantage,55,0.30947137727610297,0.5006497257289416
item_total_corr,rasch_abs_z_infit,55,0.30942311305886894,0.41280034634533525
two_pl_max_info,thinking_logit_advantage,55,0.3031797012407963,0.5543565090815956
two_pl_max_info,abs_thinking_advantage,55,0.2919262298406562,0.5006497257289416
two_pl_discrimination,thinking_advantage,55,0.28962705715198217,0.49696821235396116
fail_rate_all,rasch_infit,55,0.2843175032657399,0.28632819833248896
two_pl_max_info,thinking_advantage,55,0.27776458786809977,0.49696821235396116
latent_difficulty_prev_intersection22,log1p_two_pl_info_theta0,55,0.2716650075369986,0.43254341747228153
logit_difficulty_all,rasch_infit,55,0.2600849915287716,0.2839039023929193
log1p_two_pl_max_info,rasch_abs_z_outfit,55,0.25882849020916043,0.2687735628267066
rasch_difficulty_all_models_pooled,log1p_two_pl_info_theta0,55,0.25678453725735884,0.4234508012900081
fail_rate_all,two_pl_info_theta0,55,0.2564999325662787,0.3931908178572779
two_pl_discrimination,rasch_abs_z_outfit,55,0.2550723569998867,0.2687735628267066
logit_difficulty_all,log1p_two_pl_info_theta0,55,0.24412749264501876,0.3901116836980164
binary_entropy_bits,rasch_abs_z_infit,55,0.24134805836592801,0.3216530973435789
rasch_abs_z_infit,abs_thinking_logit_advantage,55,0.2384834791691611,0.23442577814212925
response_sd_all,rasch_abs_z_infit,55,0.2332438622363667,0.322217471670917
log1p_two_pl_discrimination,rasch_abs_z_outfit,55,0.22929585117407866,0.2687735628267066
rasch_abs_z_infit,abs_thinking_advantage,55,0.22334867629605076,0.23334298009066445
rasch_abs_z_infit,thinking_logit_advantage,55,0.22118631393907276,0.23774635883328799
two_pl_max_info,rasch_abs_z_outfit,55,0.22089008949024258,0.2687735628267066
rasch_abs_z_infit,thinking_advantage,55,0.21305536376077558,0.22684619178187565
rasch_abs_z_misfit,rasch_rmsea_x2,55,0.2118820761124939,0.10483578539520404
latent_difficulty_prev_intersection22,two_pl_info_theta0,55,0.21099119570098387,0.43254341747228153
pc1_discrimination,rasch_abs_z_misfit,55,0.20988385726010989,0.3132260624864709
two_pl_difficulty_all_models,log1p_two_pl_info_theta0,55,0.20406178061342975,0.42721482154786666
rasch_abs_z_misfit,abs_thinking_logit_advantage,55,0.19965513299360754,0.18237928513505453
rasch_difficulty_all_models_pooled,two_pl_info_theta0,55,0.19685843824813834,0.4234508012900081
logit_difficulty_all,two_pl_info_theta0,55,0.19681786469480078,0.3901116836980164
item_total_corr,rasch_abs_z_misfit,55,0.1954677781914944,0.3076701060682589
binary_entropy_bits,rasch_abs_z_misfit,55,0.1907055741875755,0.25395377704640815
response_sd_all,rasch_abs_z_misfit,55,0.1839007138770024,0.25540967545776155
rasch_abs_z_misfit,abs_thinking_advantage,55,0.18161587075992527,0.18093555439976813
rasch_abs_z_misfit,thinking_logit_advantage,55,0.17703777595528064,0.1718400507674638
rasch_abs_z_misfit,thinking_advantage,55,0.17034539143285352,0.16931352198071262
two_pl_difficulty_all_models,two_pl_info_theta0,55,0.1462911141859507,0.42721482154786666
pc1_difficulty_z,log1p_two_pl_info_theta0,55,0.14449877683807658,0.12834501063238532
pc1_difficulty_z,two_pl_info_theta0,55,0.1432435518186435,0.12834501063238532
response_sd_all,log1p_two_pl_info_theta0,55,0.11991461219767646,0.04071000528355427
binary_entropy_bits,log1p_two_pl_info_theta0,55,0.10965144217891133,0.05499378053702296
item_total_corr,two_pl_info_theta0,55,0.10867919926123641,-0.17818072100736895
pc1_discrimination,two_pl_info_theta0,55,0.10804582529325722,-0.15362399415592773
rasch_outfit,rasch_abs_z_misfit,55,0.09708018365915809,-0.40991413521899134
response_sd_all,two_pl_info_theta0,55,0.09563094137868923,0.04071000528355427
pc1_difficulty_z,rasch_infit,55,0.09558312986194031,0.020492098997041637
binary_entropy_bits,two_pl_max_info,55,0.08966047603861053,0.2897371871340744
binary_entropy_bits,two_pl_info_theta0,55,0.08675438002161759,0.05499378053702296
pc1_discrimination,log1p_two_pl_info_theta0,55,0.0863425028913236,-0.15362399415592773
binary_entropy_bits,log1p_two_pl_discrimination,55,0.08543502920738955,0.2897371871340744
response_sd_all,two_pl_max_info,55,0.08382252678596669,0.294308587105681
log1p_two_pl_info_theta0,rasch_infit,55,0.07996672207869572,0.5196636755768219
response_sd_all,log1p_two_pl_discrimination,55,0.07632650485813063,0.294308587105681
item_total_corr,log1p_two_pl_info_theta0,55,0.07583331340110354,-0.17818072100736895
binary_entropy_bits,log1p_two_pl_max_info,55,0.06301078862585968,0.2897371871340744
binary_entropy_bits,two_pl_discrimination,55,0.05878049818059826,0.2897371871340744
response_sd_all,log1p_two_pl_max_info,55,0.05378033224163249,0.294308587105681
response_sd_all,two_pl_discrimination,55,0.05182067395111234,0.294308587105681
pc1_difficulty_z,log1p_two_pl_max_info,55,0.048425355546714455,0.0647954397864204
pc1_difficulty_z,log1p_two_pl_discrimination,55,0.03893129242473711,0.0647954397864204
pc1_difficulty_z,two_pl_discrimination,55,0.033390078131417186,0.0647954397864204
pc1_difficulty_z,two_pl_max_info,55,0.03136120580507118,0.0647954397864204
rasch_abs_z_outfit,abs_thinking_logit_advantage,55,0.022096964635857568,0.14574198873743963
two_pl_difficulty_all_models,rasch_rmsea_x2,55,0.021656132024454506,0.07565590348946823
latent_difficulty_prev_intersection22,rasch_rmsea_x2,55,0.0160035733408578,0.09512020993052313
two_pl_difficulty_all_models,rasch_outfit,55,0.01333373299959922,0.160545493902879
latent_difficulty_prev_intersection22,rasch_outfit,55,0.007065651759502635,0.12483761871853355
rasch_abs_z_outfit,abs_thinking_advantage,55,0.002897005671757771,0.14783536054198929
rasch_abs_z_outfit,thinking_advantage,55,-0.004634947215268901,0.1329652022062228
pc1_difficulty_z,rasch_abs_z_infit,55,-0.0054540095059091055,0.05859008586478101
rasch_abs_z_outfit,thinking_logit_advantage,55,-0.006473731410782891,0.12502482639586204
rasch_difficulty_all_models_pooled,rasch_rmsea_x2,55,-0.00804557602508004,0.06074805656427761
rasch_difficulty_all_models_pooled,rasch_outfit,55,-0.015219718607034376,0.12598370450223756
two_pl_info_theta0,rasch_infit,55,-0.018028121442191004,0.5196636755768219
rasch_infit,rasch_abs_z_outfit,55,-0.02356904932986043,-0.3422984649798379
rasch_abs_z_infit,rasch_rmsea_x2,55,-0.026178413462208675,-0.1203670128611602
logit_difficulty_all,rasch_rmsea_x2,55,-0.03735852598454759,0.025199423154146982
fail_rate_all,rasch_abs_z_infit,55,-0.041207096251528276,-0.04029536813859491
fail_rate_all,rasch_rmsea_x2,55,-0.041692373307668555,0.02519987845706869
pc1_difficulty_z,item_total_corr,55,-0.04558761095899375,0.11429396060321814
two_pl_info_theta0,rasch_abs_z_infit,55,-0.04747876932484934,-0.3273989494634793
logit_difficulty_all,rasch_abs_z_infit,55,-0.050291800756397304,-0.03765887958741127
latent_difficulty_prev_intersection22,rasch_abs_z_infit,55,-0.052786413712365594,-0.028641771154426003
response_sd_all,rasch_outfit,55,-0.06335812666469949,-0.008495580146153425
rasch_difficulty_all_models_pooled,rasch_abs_z_infit,55,-0.06479049739481074,-0.04844416373696356
two_pl_difficulty_all_models,rasch_abs_z_infit,55,-0.06499378082837282,-0.027491160978425577
pc1_difficulty_z,rasch_rmsea_x2,55,-0.06565042313557762,-0.026944326437151202
logit_difficulty_all,two_pl_max_info,55,-0.0677333500629288,-0.23158586162383116
logit_difficulty_all,two_pl_discrimination,55,-0.06940782378144876,-0.23158586162383116
binary_entropy_bits,rasch_outfit,55,-0.06967563668218825,-0.004987990497068647
pc1_difficulty_z,rasch_abs_z_misfit,55,-0.07115351926099775,-0.006493975034273757
fail_rate_all,rasch_outfit,55,-0.071380175948137,0.06520917101998423
logit_difficulty_all,rasch_outfit,55,-0.07180788746458328,0.06358320896781519
response_sd_all,rasch_rmsea_x2,55,-0.07556388758467901,-0.00041265485866027226
binary_entropy_bits,rasch_rmsea_x2,55,-0.07586603878415074,-0.0017092605642007371
logit_difficulty_all,log1p_two_pl_max_info,55,-0.0787145242419649,-0.23158586162383116
two_pl_info_theta0,rasch_abs_z_misfit,55,-0.0805774671873325,-0.3903797312707049
fail_rate_all,two_pl_max_info,55,-0.08144863116818615,-0.23433417492785036
pc1_difficulty_z,abs_thinking_logit_advantage,55,-0.08240553423891094,-0.0562333121394053
binary_entropy_bits,rasch_abs_z_outfit,55,-0.0830595306731938,0.0887340274030071
log1p_two_pl_info_theta0,rasch_outfit,55,-0.08835207575460208,0.42685369321181615
two_pl_info_theta0,thinking_logit_advantage,55,-0.08888120635863936,-0.37504973172340733
fail_rate_all,two_pl_discrimination,55,-0.09177539054501227,-0.23433417492785036
response_sd_all,rasch_abs_z_outfit,55,-0.09233968911312185,0.0986192535462614
logit_difficulty_all,response_sd_all,56,-0.09281212806681975,-0.4191644321867156
logit_difficulty_all,log1p_two_pl_discrimination,55,-0.0977044976364207,-0.23158586162383116
fail_rate_all,log1p_two_pl_max_info,55,-0.10504268860730993,-0.23433417492785036
rasch_difficulty_all_models_pooled,two_pl_max_info,55,-0.10642612300349857,-0.2986066486081689
log1p_two_pl_info_theta0,rasch_rmsea_x2,55,-0.10692039386427966,0.06136108490793204
fail_rate_all,item_total_corr,55,-0.10974729408382863,-0.1559820702139158
latent_difficulty_prev_intersection22,rasch_abs_z_misfit,55,-0.1102180280491867,-0.08158565116715287
fail_rate_all,rasch_abs_z_misfit,55,-0.11161089138662249,-0.10023292289671996
latent_difficulty_prev_intersection22,two_pl_max_info,55,-0.11221650824169102,-0.2873579717084205
logit_difficulty_all,rasch_abs_z_misfit,55,-0.1128299197674626,-0.09766756403063037
pc1_difficulty_z,rasch_abs_z_outfit,55,-0.11295861452547552,-0.0961812508048322
two_pl_info_theta0,rasch_outfit,55,-0.11445932587011036,0.42685369321181615
two_pl_difficulty_all_models,two_pl_max_info,55,-0.11528189364528489,-0.34172739735911684
rasch_difficulty_all_models_pooled,two_pl_discrimination,55,-0.11636323804625526,-0.2986066486081689
log1p_two_pl_info_theta0,rasch_abs_z_infit,55,-0.11653658574280844,-0.3273989494634793
two_pl_info_theta0,rasch_rmsea_x2,55,-0.11667788220582302,0.06136108490793204
two_pl_difficulty_all_models,rasch_abs_z_misfit,55,-0.11818751345141802,-0.074897178728624
rasch_difficulty_all_models_pooled,rasch_abs_z_misfit,55,-0.12038345727831695,-0.09685222899126172
fail_rate_all,log1p_two_pl_discrimination,55,-0.12178275862607771,-0.23433417492785036
log1p_two_pl_discrimination,two_pl_info_theta0,55,-0.12212207644985035,-0.44165995498989097
latent_difficulty_prev_intersection22,two_pl_discrimination,55,-0.12282886708807135,-0.2873579717084205
two_pl_info_theta0,abs_thinking_logit_advantage,55,-0.13148216453347783,-0.40619247989271445
pc1_difficulty_z,thinking_logit_advantage,55,-0.1315349464000545,-0.08900599983040658
two_pl_difficulty_all_models,two_pl_discrimination,55,-0.13369620668881282,-0.34172739735911684
two_pl_info_theta0,thinking_advantage,55,-0.13377461073737854,-0.3365367740105519
response_sd_all,rasch_infit,55,-0.1357602070084205,-0.23133283980951397
pc1_difficulty_z,pc1_discrimination,55,-0.13580914883277206,0.04127281910671766
two_pl_difficulty_all_models,rasch_abs_z_outfit,55,-0.13634412764766396,-0.18096217330721617
latent_difficulty_prev_intersection22,rasch_abs_z_outfit,55,-0.13775209873469293,-0.16660386300882457
rasch_difficulty_all_models_pooled,log1p_two_pl_max_info,55,-0.1402561068870429,-0.2986066486081689
log1p_two_pl_max_info,two_pl_info_theta0,55,-0.14045805599752104,-0.44165995498989097
log1p_two_pl_info_theta0,thinking_logit_advantage,55,-0.1411965385030919,-0.37504973172340733
latent_difficulty_prev_intersection22,log1p_two_pl_max_info,55,-0.14471053478431448,-0.2873579717084205
binary_entropy_bits,rasch_infit,55,-0.14549228396041503,-0.2273873059207164
fail_rate_all,pc1_discrimination,55,-0.14687343362805022,-0.1949414808066971
logit_difficulty_all,rasch_abs_z_outfit,55,-0.1501430246842721,-0.20388864525798778
latent_difficulty_prev_intersection22,response_sd_all,56,-0.15018841007469222,-0.36956635624525386
two_pl_info_theta0,abs_thinking_advantage,55,-0.15173820184414263,-0.35077139440348337
fail_rate_all,response_sd_all,56,-0.1517959561792584,-0.4192401488958863
rasch_difficulty_all_models_pooled,rasch_abs_z_outfit,55,-0.15257811793682266,-0.1931594964046708
two_pl_max_info,rasch_rmsea_x2,55,-0.1536171502340908,-0.4817033730729128
log1p_two_pl_info_theta0,rasch_abs_z_misfit,55,-0.15658815966735223,-0.3903797312707049
latent_difficulty_prev_intersection22,item_total_corr,55,-0.1582501035527993,-0.1973461429162913
logit_difficulty_all,item_total_corr,55,-0.16043689072200984,-0.1528018968494003
rasch_outfit,rasch_abs_z_infit,55,-0.16093310607251696,-0.5286095677898839
rasch_difficulty_all_models_pooled,log1p_two_pl_discrimination,55,-0.16102265555711154,-0.2986066486081689
latent_difficulty_prev_intersection22,log1p_two_pl_discrimination,55,-0.16411529068379077,-0.2873579717084205
pc1_difficulty_z,rasch_outfit,55,-0.16930428816131965,-0.10642903528393102
two_pl_difficulty_all_models,log1p_two_pl_max_info,55,-0.1721320602189487,-0.34172739735911684
latent_difficulty_prev_intersection22,pc1_discrimination,55,-0.17659936754706032,-0.22009320611848063
log1p_two_pl_info_theta0,thinking_advantage,55,-0.18135284978043037,-0.3365367740105519
logit_difficulty_all,binary_entropy_bits,56,-0.18364167446328172,-0.4077851626670401
fail_rate_all,rasch_abs_z_outfit,55,-0.1878214670549751,-0.20504773101638718
item_total_corr,rasch_abs_z_outfit,55,-0.1929037883348523,0.0579396432080122
rasch_difficulty_all_models_pooled,item_total_corr,55,-0.19446830171819168,-0.21568843392575057
log1p_two_pl_info_theta0,abs_thinking_logit_advantage,55,-0.19679859597652202,-0.40619247989271445
two_pl_difficulty_all_models,log1p_two_pl_discrimination,55,-0.19734223472540333,-0.34172739735911684
pc1_difficulty_z,abs_thinking_advantage,55,-0.19771113292832365,-0.16061504430061205
logit_difficulty_all,pc1_discrimination,55,-0.20357483908866505,-0.19212166661995722
two_pl_discrimination,rasch_rmsea_x2,55,-0.20366352758338957,-0.4817033730729128
log1p_two_pl_info_theta0,abs_thinking_advantage,55,-0.2040985346454675,-0.35077139440348337
pc1_discrimination,rasch_abs_z_outfit,55,-0.2042204505752485,0.059094106833576576
pc1_difficulty_z,thinking_advantage,55,-0.2080935652488143,-0.16667871338881493
two_pl_max_info,two_pl_info_theta0,55,-0.2089475542144263,-0.44165995498989097
two_pl_discrimination,two_pl_info_theta0,55,-0.20996524172508563,-0.44165995498989097
rasch_difficulty_all_models_pooled,pc1_discrimination,55,-0.21259140050891084,-0.23734752352498914
log1p_two_pl_discrimination,log1p_two_pl_info_theta0,55,-0.22337929980478116,-0.44165995498989097
fail_rate_all,binary_entropy_bits,56,-0.22553312333752637,-0.4078606728582305
rasch_infit,rasch_abs_z_misfit,55,-0.22567786950288224,-0.49642831373114954
latent_difficulty_prev_intersection22,binary_entropy_bits,56,-0.22663320148860316,-0.3603747808054115
rasch_rmsea_x2,thinking_advantage,55,-0.2413578538063695,-0.21647197506504823
log1p_two_pl_max_info,log1p_two_pl_info_theta0,55,-0.24160522467412393,-0.44165995498989097
two_pl_max_info,rasch_outfit,55,-0.24164565874029573,-0.8914784616494698
rasch_rmsea_x2,abs_thinking_advantage,55,-0.24416501857356626,-0.21023325038943777
rasch_infit,rasch_abs_z_infit,55,-0.2503070631388181,-0.5350313875459991
two_pl_difficulty_all_models,item_total_corr,55,-0.257416270549799,-0.24879139909084352
two_pl_difficulty_all_models,pc1_discrimination,55,-0.26714845624969547,-0.2626452124972942
rasch_rmsea_x2,abs_thinking_logit_advantage,55,-0.2686784326918509,-0.26390982495695386
rasch_rmsea_x2,thinking_logit_advantage,55,-0.27066751785939425,-0.2694422789145706
two_pl_info_theta0,rasch_abs_z_outfit,55,-0.2732142186055284,-0.5444272586933977
two_pl_max_info,log1p_two_pl_info_theta0,55,-0.2782313830502221,-0.44165995498989097
rasch_outfit,thinking_advantage,55,-0.28129487051514135,-0.2503429094986618
log1p_two_pl_max_info,rasch_rmsea_x2,55,-0.2905224628783809,-0.4817033730729128
rasch_outfit,abs_thinking_advantage,55,-0.2912406888242784,-0.2560456459030431
two_pl_discrimination,log1p_two_pl_info_theta0,55,-0.2943604286949488,-0.44165995498989097
two_pl_discrimination,rasch_outfit,55,-0.31461795762304373,-0.8914784616494698
rasch_outfit,thinking_logit_advantage,55,-0.3152977289663398,-0.34996033023342343
log1p_two_pl_discrimination,rasch_rmsea_x2,55,-0.3256306679311053,-0.4817033730729128
rasch_outfit,abs_thinking_logit_advantage,55,-0.3354579059133397,-0.3654082491009879
log1p_two_pl_info_theta0,rasch_abs_z_outfit,55,-0.3390337816684583,-0.5444272586933977
binary_entropy_bits,pc1_difficulty_z,55,-0.4088680235200646,-0.2713755989274739
response_sd_all,pc1_difficulty_z,55,-0.41694926583396624,-0.2843669507644377
log1p_two_pl_max_info,rasch_outfit,55,-0.4252115114648661,-0.8914784616494698
pc1_discrimination,rasch_rmsea_x2,55,-0.4305510144603077,-0.32756770655471157
item_total_corr,rasch_rmsea_x2,55,-0.4377104991353572,-0.34015741366726693
two_pl_max_info,rasch_infit,55,-0.4542989888495144,-0.9574283858864276
rasch_infit,thinking_advantage,55,-0.4586190767193431,-0.46845453033205475
log1p_two_pl_discrimination,rasch_outfit,55,-0.46018295106130797,-0.8914784616494698
logit_difficulty_all,abs_thinking_logit_advantage,56,-0.4623140148458783,-0.6013208673971205
rasch_infit,thinking_logit_advantage,55,-0.4704099010236333,-0.5214394483170657
logit_difficulty_all,abs_thinking_advantage,56,-0.47458324259321505,-0.6274637651773174
pc1_discrimination,rasch_outfit,55,-0.48052365755774007,-0.4797604444765135
rasch_infit,abs_thinking_advantage,55,-0.48209314802841546,-0.47293009561144256
logit_difficulty_all,thinking_advantage,56,-0.49188634497946865,-0.6506980944872045
rasch_difficulty_all_models_pooled,binary_entropy_bits,55,-0.5019427485317123,-0.4499741507180203
rasch_difficulty_all_models_pooled,response_sd_all,55,-0.5032700621908593,-0.4602562317144597
item_total_corr,rasch_outfit,55,-0.5060326669379506,-0.5204560213579624
logit_difficulty_all,thinking_logit_advantage,56,-0.5099518567987582,-0.624452541349232
two_pl_difficulty_all_models,binary_entropy_bits,55,-0.5208696881150578,-0.4332684209301585
two_pl_difficulty_all_models,response_sd_all,55,-0.5237619713616258,-0.4433969808194544
rasch_infit,abs_thinking_logit_advantage,55,-0.5275438625787415,-0.5352992633758151
fail_rate_all,abs_thinking_logit_advantage,56,-0.5319334041061867,-0.600920530858079
fail_rate_all,abs_thinking_advantage,56,-0.5475490612312042,-0.6273718474319242
fail_rate_all,thinking_advantage,56,-0.5600362168297425,-0.6500590697973309
fail_rate_all,thinking_logit_advantage,56,-0.564871206998169,-0.6235735341852272
two_pl_discrimination,rasch_infit,55,-0.5687495340113241,-0.9574283858864276
pc1_discrimination,rasch_infit,55,-0.5699134923739844,-0.6386463669817448
latent_difficulty_prev_intersection22,abs_thinking_advantage,56,-0.6235254560388905,-0.6866529920886685
item_total_corr,rasch_infit,55,-0.6282161045634305,-0.6729922793852371
latent_difficulty_prev_intersection22,abs_thinking_logit_advantage,56,-0.6338986112445778,-0.6934042031006451
latent_difficulty_prev_intersection22,thinking_advantage,56,-0.6375452714869405,-0.7107106069638337
latent_difficulty_prev_intersection22,thinking_logit_advantage,56,-0.6643388674674076,-0.7096139635507207
log1p_two_pl_max_info,rasch_infit,55,-0.7174513605513079,-0.9574283858864276
two_pl_difficulty_all_models,abs_thinking_logit_advantage,55,-0.7399097929636407,-0.7728290625988101
rasch_difficulty_all_models_pooled,abs_thinking_logit_advantage,55,-0.7471792724979065,-0.7681834677478572
two_pl_difficulty_all_models,abs_thinking_advantage,55,-0.7488754709528379,-0.7858948257531521
log1p_two_pl_discrimination,rasch_infit,55,-0.75233945031679,-0.9574283858864276
rasch_difficulty_all_models_pooled,abs_thinking_advantage,55,-0.7546113971241754,-0.7876128648447659
two_pl_difficulty_all_models,thinking_advantage,55,-0.7633391584845861,-0.7882047949296103
rasch_difficulty_all_models_pooled,thinking_advantage,55,-0.7658081403233806,-0.7903214239196138
