metric,subset_name,target_metric,target_label,n,pearson_r,spearman_rho
halstead_volume,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.25834020528898505,0.27278088141217466
halstead_effort,full_set,human_difficulty_complete,Human latent difficulty,391,0.212402644126084,0.20161108960052865
halstead_effort,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.20072815248220113,0.2661420732479953
halstead_effort,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.23360331430687925,0.23167586693296116
halstead_effort,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.24196921841926142,0.2781011716230234
input_cells_total,full_set,human_difficulty_complete,Human latent difficulty,391,0.1788513432685796,0.10292141484011227
input_cells_total,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.23856712500436364,0.32356655780549737
input_cells_total,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2224829268145803,0.26611980390294765
input_cells_total,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2542672698226591,0.3104489568822223
output_cells_total,full_set,human_difficulty_complete,Human latent difficulty,391,0.16415911920075835,0.057932196141845145
output_cells_total,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.19192408572046732,0.23001441848941256
output_cells_total,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.20161633558737968,0.22052832505764047
output_cells_total,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.21795298362503457,0.25051927812886576
elapsed_ms_total,full_set,human_difficulty_complete,Human latent difficulty,391,0.0429738417765202,0.11515918559656553
elapsed_ms_total,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.028002474731988265,0.3115065524303375
elapsed_ms_total,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.03715487419150428,0.24487606645860213
elapsed_ms_total,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.03645279394260446,0.29193011149829085
elapsed_ms_per_test,full_set,human_difficulty_complete,Human latent difficulty,391,0.04298265532972883,0.11798553381073565
elapsed_ms_per_test,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.02802365183041522,0.3222463402282007
elapsed_ms_per_test,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.037171157701264536,0.25765958562079266
elapsed_ms_per_test,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.036473132617361605,0.30518626987164704
opcode_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,0.2717107269011743,0.26557630252894776
opcode_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.19275129474061325,0.2467970405220012
opcode_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.21944517290969942,0.23637358442308234
opcode_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.22988688103222882,0.2769590845309996
branch_opcode_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,,
branch_opcode_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
branch_opcode_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
branch_opcode_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
python_call_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,0.04217204493399218,0.13105726297423012
python_call_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.027420014579252718,0.2933685204770996
python_call_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.03649896295790758,0.2404234329227192
python_call_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.03576450218508982,0.28253126319671773
peak_memory_bytes,full_set,human_difficulty_complete,Human latent difficulty,391,0.107782048968673,0.12518760012366154
peak_memory_bytes,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,-0.007236868709940583,0.3014450084040641
peak_memory_bytes,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.006856114116663047,0.2213780229077615
peak_memory_bytes,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,-7.908024559978891e-05,0.27188449046507945
opcode_per_input_cell,full_set,human_difficulty_complete,Human latent difficulty,391,0.15955581983638306,0.1009706050160111
opcode_per_input_cell,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,-0.11846269447833349,-0.11226166743204695
opcode_per_input_cell,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,-0.07203583028796423,-0.06048634139604947
opcode_per_input_cell,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,-0.10159884752572185,-0.07420843584423546
elapsed_ms_per_input_cell,full_set,human_difficulty_complete,Human latent difficulty,391,0.05048480220833031,0.08529331465027484
elapsed_ms_per_input_cell,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.034988044612022824,0.11499102641379068
elapsed_ms_per_input_cell,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.044695465150287314,0.08119244863628026
elapsed_ms_per_input_cell,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.04454353491925234,0.1055322543922325
complexity_pc1_score,full_set,human_difficulty_complete,Human latent difficulty,391,0.19260029497993006,0.1752313634483894
complexity_pc1_score,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3243363148165506,0.27451658579044325
complexity_pc1_score,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.281378674838782,0.2400518345435642
complexity_pc1_score,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.3346791304228689,0.2855859881628326
log1p_opcode_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,0.2684601746983656,0.26557630252894776
log1p_opcode_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2980878837401374,0.2467970405220012
log1p_opcode_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.26493442904633974,0.23637358442308234
log1p_opcode_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.31235143664745263,0.2769590845309996
log1p_branch_opcode_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,,
log1p_branch_opcode_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
log1p_branch_opcode_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
log1p_branch_opcode_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
log1p_python_call_count_dynamic,full_set,human_difficulty_complete,Human latent difficulty,391,0.14206164273500604,0.13105726297423012
log1p_python_call_count_dynamic,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.34216554280284917,0.2933685204770996
log1p_python_call_count_dynamic,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2790892315136035,0.2404234329227192
log1p_python_call_count_dynamic,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.34259093251260286,0.28253126319671773
log1p_elapsed_ms_total,full_set,human_difficulty_complete,Human latent difficulty,391,0.1448176384753978,0.11515918559656553
log1p_elapsed_ms_total,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2727421778455507,0.3115065524303375
log1p_elapsed_ms_total,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2302132669026602,0.24487606645860213
log1p_elapsed_ms_total,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2770848565149389,0.29193011149829085
log1p_elapsed_ms_per_test,full_set,human_difficulty_complete,Human latent difficulty,391,0.1463300455132318,0.11798553381073565
log1p_elapsed_ms_per_test,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.28162225283438,0.3222463402282007
log1p_elapsed_ms_per_test,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.23660580720028523,0.25765958562079266
log1p_elapsed_ms_per_test,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.28522853940810255,0.30518626987164704
log1p_peak_memory_bytes,full_set,human_difficulty_complete,Human latent difficulty,391,0.1460648502677286,0.12518760012366154
log1p_peak_memory_bytes,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2823827757865495,0.3014450084040641
log1p_peak_memory_bytes,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.19303547455590866,0.2213780229077615
log1p_peak_memory_bytes,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2602638233674778,0.27188449046507945
log1p_ast_node_count,full_set,human_difficulty_complete,Human latent difficulty,391,0.20037453989561888,0.19272754265015532
log1p_ast_node_count,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.3216210722097644,0.2654433615773896
log1p_ast_node_count,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2718107099559607,0.22729526167519262
log1p_ast_node_count,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.32748994496166633,0.27410772153791396
log1p_cyclomatic_complexity,full_set,human_difficulty_complete,Human latent difficulty,391,,
log1p_cyclomatic_complexity,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
log1p_cyclomatic_complexity,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
log1p_cyclomatic_complexity,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
nonblank_lines,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3271718122364995,0.2663791411621378
nonblank_lines,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3262322025045287,0.33896650976106496
nonblank_lines,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3123892014110983,0.22437211041901553
nonblank_lines,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.37330847918241267,0.35170143084541233
token_count,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.33906605418234914,0.2759549653324297
token_count,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3437712518638343,0.3528506790942555
token_count,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.32323176182133223,0.2386448502631446
token_count,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.390748462851729,0.3725674387656292
ast_node_count,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.33799927456272627,0.27531882562559357
ast_node_count,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3421354077718986,0.35324155832108767
ast_node_count,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.32226499209058784,0.23823309163560688
ast_node_count,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.3891415215245912,0.37212825801830024
function_count,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
function_count,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
function_count,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
function_count,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
call_count_static,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3271718122364995,0.2663791411621378
call_count_static,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3262322025045287,0.33896650976106496
call_count_static,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3123892014110983,0.22437211041901553
call_count_static,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.37330847918241267,0.35170143084541233
branch_node_count,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
branch_node_count,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
branch_node_count,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
branch_node_count,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
cyclomatic_complexity,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
cyclomatic_complexity,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
cyclomatic_complexity,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
cyclomatic_complexity,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
max_nesting_depth,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
max_nesting_depth,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
max_nesting_depth,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
max_nesting_depth,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
gzip_bytes,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3265953184400165,0.2739299558477742
gzip_bytes,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.34861476985547285,0.34337495414985186
gzip_bytes,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.31393353422217085,0.2251126743589205
gzip_bytes,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.39076238723842904,0.36808531074011835
halstead_volume,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.33942320965693834,0.26863211741025256
halstead_volume,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.33111390114128814,0.34495629813685047
halstead_volume,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3220567318584048,0.233292279437482
halstead_volume,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.38197531160991927,0.3672970332447802
halstead_effort,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.35821723807223227,0.28012360243280227
halstead_effort,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.33778467751183605,0.3622159889777578
halstead_effort,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3340956992073049,0.24904911723817083
halstead_effort,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.3913315246238719,0.37862761149562735
input_cells_total,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3572107111105247,0.26753890861959084
input_cells_total,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3459321436521666,0.3353906160552073
input_cells_total,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.38993870384999757,0.2568199211618449
input_cells_total,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.4235851866723315,0.3584806619766978
output_cells_total,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.32514514061808203,0.15119506144645456
output_cells_total,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.34131843630328873,0.37213337857157075
output_cells_total,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3866801908396115,0.23548315121398475
output_cells_total,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.4186095685635178,0.32322814682507256
elapsed_ms_total,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.1698612309618472,0.29171188279978294
elapsed_ms_total,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.19348967245806617,0.344055210322613
elapsed_ms_total,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.214388735401398,0.2855846049885867
elapsed_ms_total,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.23470705327724964,0.3945065364661232
elapsed_ms_per_test,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.17019467052694967,0.2863673358654368
elapsed_ms_per_test,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.1956330106743505,0.38613595526267863
elapsed_ms_per_test,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.21563914794491654,0.3161637671183552
elapsed_ms_per_test,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.23631604711943782,0.4125222764390339
opcode_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3252179927227749,0.3154424391421922
opcode_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.2524384774724908,0.27270589070694773
opcode_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.26880334892311103,0.23209693973415912
opcode_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.31668442095641985,0.35600443639463675
branch_opcode_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
branch_opcode_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
branch_opcode_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
branch_opcode_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
python_call_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.14966696800558268,0.2929434745721848
python_call_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.17872005826902854,0.31029033400343403
python_call_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.19152390202977704,0.283767181958424
python_call_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.21318361478075135,0.36964830279995037
peak_memory_bytes,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.14684807049907667,0.292810634834509
peak_memory_bytes,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.15079221136657603,0.37106414593877246
peak_memory_bytes,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.21369695018140833,0.3332108759649684
peak_memory_bytes,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.20749156661150325,0.40940769088439516
opcode_per_input_cell,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.13391598634169397,-0.10927909169467097
opcode_per_input_cell,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.016788267490450218,-0.17877313571770212
opcode_per_input_cell,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.07738011373027119,-0.13443812757884202
opcode_per_input_cell,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.058391793804277316,-0.13028674557668685
elapsed_ms_per_input_cell,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.0640010346255923,0.16634563212154097
elapsed_ms_per_input_cell,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.16364952274857147,0.1688295951997214
elapsed_ms_per_input_cell,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.0663520152323122,0.21286120154358001
elapsed_ms_per_input_cell,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.13831470929784917,0.25470134076108675
complexity_pc1_score,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3190881808688675,0.3032691264243082
complexity_pc1_score,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.37607661259338937,0.35523241345567785
complexity_pc1_score,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.322758389143765,0.24921379690451997
complexity_pc1_score,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.41375119643505115,0.387437648663193
log1p_opcode_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.33203380238699987,0.3154424391421922
log1p_opcode_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3283564950202006,0.27270589070694773
log1p_opcode_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3087449301568045,0.23209693973415912
log1p_opcode_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.3853193982563102,0.35600443639463675
log1p_branch_opcode_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,,
log1p_branch_opcode_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,,
log1p_branch_opcode_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,,
log1p_branch_opcode_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,,
log1p_python_call_count_dynamic,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.29570571615636515,0.2929434745721848
log1p_python_call_count_dynamic,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.32853301052075007,0.31029033400343403
log1p_python_call_count_dynamic,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3230859799102107,0.283767181958424
log1p_python_call_count_dynamic,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.3822246753408332,0.36964830279995037
log1p_elapsed_ms_total,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.2992262381262791,0.29171188279978294
log1p_elapsed_ms_total,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.33888618013937255,0.344055210322613
log1p_elapsed_ms_total,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3141104186322327,0.2855846049885867
log1p_elapsed_ms_total,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.38058057405569706,0.3945065364661232
log1p_elapsed_ms_per_test,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3011596975651761,0.2863673358654368
log1p_elapsed_ms_per_test,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.3551595466114747,0.38613595526267863
log1p_elapsed_ms_per_test,gap_le_0.30,claude_pair_difficulty,Claude pair-level smoothed difficulty,96,0.3220346793943818,0.3161637671183552
log1p_elapsed_ms_per_test,gap_le_0.30,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,96,0.3911953959329906,0.4125222764390339
log1p_peak_memory_bytes,gap_le_0.30,human_difficulty_complete,Human latent difficulty,96,0.3122595622883007,0.292810634834509
log1p_peak_memory_bytes,gap_le_0.30,gpt_pair_difficulty,GPT pair-level smoothed difficulty,96,0.356717571281906,0.37106414593877246
