metric,category,n,pearson_r,pearson_p,spearman_rho,spearman_p
prim_lbind_count,dsl_primitive_usage,34,0.1580104109406828,0.3721175386747062,0.2748640897834766,0.11566197583747888
branch_node_count,python_static,150,0.15690456178093753,0.05517455630884985,0.18138126530604456,0.026328414095805733
halstead_effort,python_static,150,0.15625917042411502,0.056195903208587646,0.22098727686737907,0.006576292396630552
closure_call_count,dsl_structure,150,0.15497365425247744,0.05827670515686514,0.18752853854797263,0.021564150374465664
function_count,expanded_python_static,150,0.15357404758394408,0.06061379603530127,0.19096030082694304,0.019242735055471617
max_fan_in,dsl_structure,150,0.15246716215207395,0.06251606449581207,0.19631500237266328,0.016052401984164837
log1p_cyclomatic_complexity,expanded_python_static,150,0.14051315847617118,0.08633590817163728,0.18579640061731983,0.022824844492308045
cyclomatic_complexity,python_static,150,0.13191778941028445,0.10757670524209106,0.18579640061731983,0.022824844492308045
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,150,0.12939882815290182,0.11452186275363702,0.18619467282339963,0.02252949413203993
max_nesting_depth,python_static,150,0.10879090801186421,0.18510425503877276,0.10573330438782728,0.19783538919418284
prim_matcher_count,dsl_primitive_usage,10,0.0974478940489973,0.7888454803341484,0.17407765595569782,0.6305360755569764
output_cells_total,task_shape,150,0.09276144910096613,0.2588879866695985,0.23552170196004735,0.0037157275382538727
geometry_op_count,dsl_structure,150,0.08177236758275613,0.3198374493991798,-0.03998151278279917,0.6271305949020283
input_cells_total,task_shape,150,0.0678837617177847,0.40914424399520805,0.04018326832689631,0.6253920457312281
prim_ofcolor_count,dsl_primitive_usage,45,0.04567742411241972,0.7657440091092041,0.06529800048339986,0.6699902901244841
prim_rbind_count,dsl_primitive_usage,32,0.042395452138830295,0.8177913410967836,0.1045806793755208,0.5689312733118272
elapsed_ms_per_input_cell,dynamic_execution,150,0.041261250661920656,0.6161380563329023,0.21636628885232473,0.00782928281486536
bundle_opcode_per_input_cell,dynamic_execution,150,0.04001346152276968,0.6268551522344178,0.16836781404017218,0.0394413287866042
dsl_python_call_count_dynamic,dynamic_execution,150,0.03807853895323479,0.6436285659709785,0.23772257026134336,0.003397803161899638
bundle_python_call_count_dynamic,dynamic_execution,150,0.03807852047584438,0.6436287270263946,0.2374679915258835,0.0034332803280750553
elapsed_ms_total,dynamic_execution,150,0.03801162353490244,0.6442119327972097,0.18441038415858838,0.02387878509234984
bundle_python_calls_per_example,dynamic_execution,150,0.03795923661800428,0.6446687919901835,0.24063513266807382,0.003014796783132111
elapsed_ms_per_example,dynamic_execution,150,0.03792411245388272,0.644975179465296,0.22421429617260108,0.005810471413190501
prim_sizefilter_count,dsl_primitive_usage,14,0.03440208729270157,0.9070559085741132,0.24080732065382354,0.40692210333453616
peak_memory_bytes,dynamic_execution,150,-0.011035272579957829,0.8933809176141758,0.15787444281591315,0.05366853858684951
elapsed_ms_per_output_cell,dynamic_execution,150,-0.012385331075431197,0.8804289023185837,0.06653018354328576,0.4185695828239032
peak_memory_per_input_cell,dynamic_execution,150,-0.015841924759863124,0.8474193834454192,0.1844281720264947,0.023864998789267764
decision_op_count,dsl_structure,150,-0.01905248956431531,0.816993686129961,-0.04867548367935012,0.5541759415574088
object_op_count,dsl_structure,150,-0.02530814110725616,0.7585264079920293,0.039569951692833165,0.6306834146801672
prim_difference_count,dsl_primitive_usage,17,-0.033879916051205695,0.897289292979405,0.051156574102373446,0.8454050247440148
train_pairs,task_shape,150,-0.03436540478037242,0.676319332104108,-0.049076640933364994,0.550911374694586
example_count,task_shape,150,-0.04992568732773594,0.5440329810692685,-0.06012560980224046,0.46484834940096764
solver_python_call_count_dynamic,dynamic_execution,150,-0.04992568732773594,0.5440329810692685,-0.06012560980224046,0.46484834940096764
prim_mfilter_count,dsl_primitive_usage,13,-0.05450747948128952,0.8596210817539428,0.07715167498104596,0.8021872773938725
prim_compose_count,dsl_primitive_usage,43,-0.060723908414005046,0.6988916823677476,0.060149403162709635,0.7016080493753043
prim_center_count,dsl_primitive_usage,5,-0.06298187169553257,0.9198620377744035,0.0,1.0
prim_objects_count,dsl_primitive_usage,83,-0.06303977827358373,0.571275927633806,0.002695540840497541,0.9807049210691692
prim_extract_count,dsl_primitive_usage,7,-0.06917830505106234,0.882840074411432,0.0,1.0
prim_leastcolor_count,dsl_primitive_usage,17,-0.08616810329481263,0.7422835460387502,0.0528342825460048,0.8403951545147114
test_pairs,task_shape,150,-0.10377330757699596,0.20632299945317661,-0.11940894285874999,0.1455492892262158
bundle_opcode_per_output_cell,dynamic_execution,150,-0.12706035091739687,0.12127744284447042,-0.04038141549809005,0.6236865952586004
prim_paint_count,dsl_primitive_usage,35,-0.1362954353638828,0.4349764101051557,-0.09496384952206488,0.5873783625757099
prim_papply_count,dsl_primitive_usage,7,-0.13918065241971142,0.7660014447690844,0.0,1.0
prim_remove_count,dsl_primitive_usage,10,-0.18724111505301635,0.6044704238415168,-0.40618119722996154,0.2441286818964912
prim_fork_count,dsl_primitive_usage,41,-0.21519628738985538,0.17662865192548205,-0.30271737265069715,0.054379473417278175
prim_astuple_count,dsl_primitive_usage,17,-0.26699271610700476,0.3002262927975797,-0.18040613097172298,0.4883757183330186
prim_mapply_count,dsl_primitive_usage,56,-0.2686931565761566,0.04524670949996068,-0.2744833791006321,0.040636371316936565
prim_size_count,dsl_primitive_usage,6,-0.26934747535706655,0.6057491057000826,-0.41736500618415145,0.4103036364236827
prim_equality_count,dsl_primitive_usage,6,-0.2925507350016166,0.5736930112342238,-0.13093073414159545,0.8047261622231061
prim_vconcat_count,dsl_primitive_usage,4,-0.2955567836808063,0.7044432163191936,0.2581988897471611,0.7418011102528389
prim_dmirror_count,dsl_primitive_usage,7,-0.30635931571343733,0.5039675864996431,-0.40824829046386296,0.36321746764912244
prim_decrement_count,dsl_primitive_usage,10,-0.45347948799146187,0.18807147008387065,-0.39692831006786766,0.2560720340661662
prim_rot90_count,dsl_primitive_usage,4,-0.4820376680627787,0.5179623319372213,-0.7745966692414834,0.22540333075851657
prim_interval_count,dsl_primitive_usage,8,-0.6726638835067604,0.06756690485374962,-0.629940788348712,0.09413276656581646
prim_hconcat_count,dsl_primitive_usage,2,-1.0,1.0,-0.9999999999999999,
prim_repeat_count,dsl_primitive_usage,2,-1.0,1.0,-0.9999999999999999,
prim_uppermost_count,dsl_primitive_usage,2,-1.0,1.0,-0.9999999999999999,
