complexity_metric,target_metric,target_label,n,nonzero_count,pearson_r,spearman_rho
function_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,,
function_count,gpt_failure,GPT-4o failure rate,391,391,,
function_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,,
function_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,,
function_count,icecuber_failure,IceCuber failure rate,391,391,,
call_count_static,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
call_count_static,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
call_count_static,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
call_count_static,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
call_count_static,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
comprehension_count,human_difficulty_complete,Human latent difficulty (complete participants),391,0,,
comprehension_count,gpt_failure,GPT-4o failure rate,391,0,,
comprehension_count,claude_failure,Claude 3.5 Sonnet failure rate,391,0,,
comprehension_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,0,,
comprehension_count,icecuber_failure,IceCuber failure rate,391,0,,
branch_node_count,human_difficulty_complete,Human latent difficulty (complete participants),391,0,,
branch_node_count,gpt_failure,GPT-4o failure rate,391,0,,
branch_node_count,claude_failure,Claude 3.5 Sonnet failure rate,391,0,,
branch_node_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,0,,
branch_node_count,icecuber_failure,IceCuber failure rate,391,0,,
return_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,,
return_count,gpt_failure,GPT-4o failure rate,391,391,,
return_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,,
return_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,,
return_count,icecuber_failure,IceCuber failure rate,391,391,,
name_load_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21290938243917185,0.1906815155711726
name_load_count,gpt_failure,GPT-4o failure rate,391,391,0.23279741425993655,0.28214371687499074
name_load_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329
name_load_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637
name_load_count,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938
constant_count,human_difficulty_complete,Human latent difficulty (complete participants),391,0,,
constant_count,gpt_failure,GPT-4o failure rate,391,0,,
constant_count,claude_failure,Claude 3.5 Sonnet failure rate,391,0,,
constant_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,0,,
constant_count,icecuber_failure,IceCuber failure rate,391,0,,
assignment_node_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
assignment_node_count,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
assignment_node_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
assignment_node_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
assignment_node_count,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
cyclomatic_complexity,human_difficulty_complete,Human latent difficulty (complete participants),391,391,,
cyclomatic_complexity,gpt_failure,GPT-4o failure rate,391,391,,
cyclomatic_complexity,claude_failure,Claude 3.5 Sonnet failure rate,391,391,,
cyclomatic_complexity,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,,
cyclomatic_complexity,icecuber_failure,IceCuber failure rate,391,391,,
max_nesting_depth,human_difficulty_complete,Human latent difficulty (complete participants),391,0,,
max_nesting_depth,gpt_failure,GPT-4o failure rate,391,0,,
max_nesting_depth,claude_failure,Claude 3.5 Sonnet failure rate,391,0,,
max_nesting_depth,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,0,,
max_nesting_depth,icecuber_failure,IceCuber failure rate,391,0,,
max_line_length,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.045649580890974095,0.031981889653719814
max_line_length,gpt_failure,GPT-4o failure rate,391,391,0.23372569641418897,0.2101487019998961
max_line_length,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.17346288135392715,0.15523345496407168
max_line_length,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2237851955847777,0.18984975403375656
max_line_length,icecuber_failure,IceCuber failure rate,391,391,0.2668478700573375,0.2661334236572935
mean_line_length,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.09068893437753431,0.09159764231253237
mean_line_length,gpt_failure,GPT-4o failure rate,391,391,0.3370273748739748,0.31114958832876577
mean_line_length,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.22944350044502992,0.22087190257483214
mean_line_length,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.31042811010031907,0.273964684340505
mean_line_length,icecuber_failure,IceCuber failure rate,391,391,0.3845442712286101,0.37647519190426615
gzip_bytes,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.20565707456371665,0.17727428020019756
gzip_bytes,gpt_failure,GPT-4o failure rate,391,391,0.25745471711333406,0.28171802982477556
gzip_bytes,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.25518876867879287,0.2307253039866103
gzip_bytes,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.28452014753810245,0.28039436973373266
gzip_bytes,icecuber_failure,IceCuber failure rate,391,391,0.40839571868303487,0.41582903716740327
halstead_distinct_operators,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.0002042636704865804,-0.01879720764701
halstead_distinct_operators,gpt_failure,GPT-4o failure rate,391,391,0.17058246559795123,0.17058246559795162
halstead_distinct_operators,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.07651207078792266,0.07651207078792252
halstead_distinct_operators,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.1336291829777341,0.12408841359396756
halstead_distinct_operators,icecuber_failure,IceCuber failure rate,391,391,0.13126900083580711,0.13126900083580728
halstead_distinct_operands,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.1939855189595652,0.1635506727421542
halstead_distinct_operands,gpt_failure,GPT-4o failure rate,391,391,0.2544529205972529,0.2799424968480853
halstead_distinct_operands,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.25287936371252057,0.2276271483120606
halstead_distinct_operands,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2815976496863207,0.27637561291971896
halstead_distinct_operands,icecuber_failure,IceCuber failure rate,391,391,0.40919993764634,0.41689735848219495
halstead_total_operators,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21290938243917185,0.1906815155711726
halstead_total_operators,gpt_failure,GPT-4o failure rate,391,391,0.23279741425993655,0.28214371687499074
halstead_total_operators,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329
halstead_total_operators,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637
halstead_total_operators,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938
halstead_total_operands,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21290938243917185,0.1906815155711726
halstead_total_operands,gpt_failure,GPT-4o failure rate,391,391,0.23279741425993655,0.28214371687499074
halstead_total_operands,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329
halstead_total_operands,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637
halstead_total_operands,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938
halstead_vocabulary,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.19373571513745874,0.16354502091364365
halstead_vocabulary,gpt_failure,GPT-4o failure rate,391,391,0.25528787667589503,0.2798859181547469
halstead_vocabulary,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2530742000684572,0.2275532816145952
halstead_vocabulary,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2821451991522177,0.27631296232788877
halstead_vocabulary,icecuber_failure,IceCuber failure rate,391,391,0.40956613930568964,0.4170554950863641
halstead_length,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21290938243917185,0.1906815155711726
halstead_length,gpt_failure,GPT-4o failure rate,391,391,0.23279741425993655,0.28214371687499074
halstead_length,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329
halstead_length,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637
halstead_length,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938
halstead_volume,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.20952498788910662,0.18551896424332995
halstead_volume,gpt_failure,GPT-4o failure rate,391,391,0.22002610183670548,0.2819407549825208
halstead_volume,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24096438021554598,0.2310668259807361
halstead_volume,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2567197206095841,0.28182266286627383
halstead_volume,icecuber_failure,IceCuber failure rate,391,391,0.3849294280488393,0.42119852948811226
halstead_difficulty,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2696333928362271,0.265110985056982
halstead_difficulty,gpt_failure,GPT-4o failure rate,391,391,0.2080133163765115,0.19052196407935457
halstead_difficulty,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2143354262224667,0.20553080376411814
halstead_difficulty,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.23471515026364312,0.23935778888670334
halstead_difficulty,icecuber_failure,IceCuber failure rate,391,391,0.33864505055571836,0.31623990145949077
halstead_effort,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.212402644126084,0.20161108960052865
halstead_effort,gpt_failure,GPT-4o failure rate,391,391,0.20048330333173633,0.27997483677863827
halstead_effort,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2291399116750408,0.23395883759144115
halstead_effort,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.23959682055336942,0.2849431759713203
halstead_effort,icecuber_failure,IceCuber failure rate,391,391,0.3641776623201931,0.42038247292164266
source_line_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
source_line_count,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
source_line_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
source_line_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
source_line_count,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
assignment_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
assignment_count,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
assignment_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
assignment_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
assignment_count,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
temp_var_count,human_difficulty_complete,Human latent difficulty (complete participants),391,377,0.2203887893795104,0.20246838927294386
temp_var_count,gpt_failure,GPT-4o failure rate,391,377,0.22263944423906562,0.2716395353440501
temp_var_count,claude_failure,Claude 3.5 Sonnet failure rate,391,377,0.24428118958607453,0.2331731328665894
temp_var_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,377,0.26003853358429835,0.28208044105269936
temp_var_count,icecuber_failure,IceCuber failure rate,391,377,0.3847029796454672,0.41289108263965185
ast_call_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
ast_call_count,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
ast_call_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
ast_call_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
ast_call_count,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
named_call_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.22156836877721553,0.2035681704406272
named_call_count,gpt_failure,GPT-4o failure rate,391,391,0.22467388198903504,0.27166434271901424
named_call_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24596708407475887,0.23758917308899208
named_call_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26209080378733096,0.2851077038657434
named_call_count,icecuber_failure,IceCuber failure rate,391,391,0.39508487695514055,0.4178586457465897
closure_call_count,human_difficulty_complete,Human latent difficulty (complete participants),391,43,0.07686345036700526,0.055178207713538686
closure_call_count,gpt_failure,GPT-4o failure rate,391,43,0.07048783601337116,0.07757758354823874
closure_call_count,claude_failure,Claude 3.5 Sonnet failure rate,391,43,0.08198102560677267,0.07749361211136982
closure_call_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,43,0.08508039820744197,0.09184979229860277
closure_call_count,icecuber_failure,IceCuber failure rate,391,43,0.06345883585168918,0.05025992479282305
distinct_primitive_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.19657226356378424,0.18655964074057063
distinct_primitive_count,gpt_failure,GPT-4o failure rate,391,391,0.23532155622091996,0.25806540419074747
distinct_primitive_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2379143596637241,0.2314954013578433
distinct_primitive_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2628255473895976,0.27317563815601326
distinct_primitive_count,icecuber_failure,IceCuber failure rate,391,391,0.3451274855892325,0.36230759544847
max_dependency_depth,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.18860426678401945,0.16332430583712898
max_dependency_depth,gpt_failure,GPT-4o failure rate,391,391,0.2372255471101735,0.23582562462489748
max_dependency_depth,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.23531555678424054,0.20341151183638678
max_dependency_depth,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2622698354741623,0.24411049849872943
max_dependency_depth,icecuber_failure,IceCuber failure rate,391,391,0.38075676495764127,0.39573269763472485
max_fan_in,human_difficulty_complete,Human latent difficulty (complete participants),391,377,0.12332640431019036,0.10516919512577655
max_fan_in,gpt_failure,GPT-4o failure rate,391,377,0.258394527224406,0.2131508016554123
max_fan_in,claude_failure,Claude 3.5 Sonnet failure rate,391,377,0.17411873752253437,0.1572591632352012
max_fan_in,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,377,0.2369383305007686,0.19974452536269438
max_fan_in,icecuber_failure,IceCuber failure rate,391,377,0.26842036949652925,0.2583385582756935
higher_order_count,human_difficulty_complete,Human latent difficulty (complete participants),391,235,0.18750222845445105,0.13751027504401334
higher_order_count,gpt_failure,GPT-4o failure rate,391,235,0.16035298126577296,0.21101033131429814
higher_order_count,claude_failure,Claude 3.5 Sonnet failure rate,391,235,0.18997658947603774,0.1856669888909209
higher_order_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,235,0.19561165402628264,0.20985556002320785
higher_order_count,icecuber_failure,IceCuber failure rate,391,235,0.3023674736639284,0.3160987308878569
object_op_count,human_difficulty_complete,Human latent difficulty (complete participants),391,268,0.040702552261743845,-0.007996911950235492
object_op_count,gpt_failure,GPT-4o failure rate,391,268,0.24273521919076424,0.2794344422109448
object_op_count,claude_failure,Claude 3.5 Sonnet failure rate,391,268,0.20895363258762512,0.22355216496621835
object_op_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,268,0.24949014626634258,0.26533089203400184
object_op_count,icecuber_failure,IceCuber failure rate,391,268,0.17423898292586362,0.16897616084890885
selection_op_count,human_difficulty_complete,Human latent difficulty (complete participants),391,184,-0.02928786757121,-0.012761759018039241
selection_op_count,gpt_failure,GPT-4o failure rate,391,184,0.1710583005504975,0.18137913088130844
selection_op_count,claude_failure,Claude 3.5 Sonnet failure rate,391,184,0.17396957708798844,0.17662526137542345
selection_op_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,184,0.19165996276375388,0.19059093102964172
selection_op_count,icecuber_failure,IceCuber failure rate,391,184,0.12287765419266454,0.16088249400230883
geometry_op_count,human_difficulty_complete,Human latent difficulty (complete participants),391,193,0.1428062995128336,0.16798399780072393
geometry_op_count,gpt_failure,GPT-4o failure rate,391,193,-0.013475282259792191,-0.0784548224639144
geometry_op_count,claude_failure,Claude 3.5 Sonnet failure rate,391,193,0.004603148430709878,-0.07230270259371167
geometry_op_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,193,-0.004243142988735606,-0.06558388404388361
geometry_op_count,icecuber_failure,IceCuber failure rate,391,193,0.10311091470175791,0.034783049275630334
set_op_count,human_difficulty_complete,Human latent difficulty (complete participants),391,256,0.10163412627754485,0.05378586667256625
set_op_count,gpt_failure,GPT-4o failure rate,391,256,0.15386873414814445,0.20995592616007772
set_op_count,claude_failure,Claude 3.5 Sonnet failure rate,391,256,0.15233637881150777,0.153275570307086
set_op_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,256,0.16993888458493828,0.18788232635676155
set_op_count,icecuber_failure,IceCuber failure rate,391,256,0.3007003156519515,0.2982470630679448
decision_op_count,human_difficulty_complete,Human latent difficulty (complete participants),391,50,0.1436119206489091,0.12419350348326491
decision_op_count,gpt_failure,GPT-4o failure rate,391,50,0.020369072142513347,0.006681849938298803
decision_op_count,claude_failure,Claude 3.5 Sonnet failure rate,391,50,0.0489614114361215,0.02822569958088652
decision_op_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,50,0.039569695974814294,0.026490698645945422
decision_op_count,icecuber_failure,IceCuber failure rate,391,50,0.15880489951043947,0.17789766336531698
prim_vmirror_count,human_difficulty_complete,Human latent difficulty (complete participants),29,29,0.1796333885579085,0.15537971921347113
prim_vmirror_count,gpt_failure,GPT-4o failure rate,29,29,0.2256304299271065,0.22563042992710644
prim_vmirror_count,claude_failure,Claude 3.5 Sonnet failure rate,29,29,0.24688535993934715,0.24688535993934702
prim_vmirror_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,29,29,0.24174688920761417,0.2454785943004812
prim_vmirror_count,icecuber_failure,IceCuber failure rate,29,29,-0.18631770102243558,-0.1863177010224356
prim_hmirror_count,human_difficulty_complete,Human latent difficulty (complete participants),26,26,-0.14076892421027573,-0.1563471919941143
prim_hmirror_count,gpt_failure,GPT-4o failure rate,26,26,0.33709993123162113,0.337099931231621
prim_hmirror_count,claude_failure,Claude 3.5 Sonnet failure rate,26,26,0.4264014327112207,0.4264014327112208
prim_hmirror_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,26,26,0.40409999389075674,0.4086514987502554
prim_hmirror_count,icecuber_failure,IceCuber failure rate,26,26,0.2821601053814492,0.2821601053814492
prim_dmirror_count,human_difficulty_complete,Human latent difficulty (complete participants),18,18,0.2638488754409076,0.12471914520415747
prim_dmirror_count,gpt_failure,GPT-4o failure rate,18,18,0.220863052149693,0.24956709924231088
prim_dmirror_count,claude_failure,Claude 3.5 Sonnet failure rate,18,18,0.15617376188860604,0.0196078431372549
prim_dmirror_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,18,18,0.2030051766980095,0.12401088863405409
prim_dmirror_count,icecuber_failure,IceCuber failure rate,18,18,-0.3123475237772121,-0.3529411764705882
prim_rot180_count,human_difficulty_complete,Human latent difficulty (complete participants),11,11,-0.032645949490037525,-0.06454972243679029
prim_rot180_count,gpt_failure,GPT-4o failure rate,11,11,0.1936491673103709,0.19364916731037088
prim_rot180_count,claude_failure,Claude 3.5 Sonnet failure rate,11,11,,
prim_rot180_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,11,11,0.19364916731037082,0.19364916731037088
prim_rot180_count,icecuber_failure,IceCuber failure rate,11,11,0.3750000000000001,0.375
prim_upscale_count,human_difficulty_complete,Human latent difficulty (complete participants),23,23,-0.20467700108394934,-0.22498852128662877
prim_upscale_count,gpt_failure,GPT-4o failure rate,23,23,0.08257228238447702,0.08257228238447704
prim_upscale_count,claude_failure,Claude 3.5 Sonnet failure rate,23,23,0.08257228238447702,0.08257228238447704
prim_upscale_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,23,23,0.082572282384477,0.08257228238447704
prim_upscale_count,icecuber_failure,IceCuber failure rate,23,23,0.2430862174021986,0.24308621740219888
prim_hconcat_count,human_difficulty_complete,Human latent difficulty (complete participants),27,27,-0.03540131640129021,0.12710461041035867
prim_hconcat_count,gpt_failure,GPT-4o failure rate,27,27,0.22682243840371094,0.28316339306972577
prim_hconcat_count,claude_failure,Claude 3.5 Sonnet failure rate,27,27,0.27581951481182027,0.3395197677788236
prim_hconcat_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,27,27,0.2563865748909778,0.32342912922060846
prim_hconcat_count,icecuber_failure,IceCuber failure rate,27,27,0.17933433586488817,0.16511121233707426
prim_replace_count,human_difficulty_complete,Human latent difficulty (complete participants),57,57,-0.16297813384181994,-0.12255909756516588
prim_replace_count,gpt_failure,GPT-4o failure rate,57,57,0.06241542101064502,0.041203885108266794
prim_replace_count,claude_failure,Claude 3.5 Sonnet failure rate,57,57,-0.04453699509200046,0.04496676054921857
prim_replace_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,57,57,0.0024742775051111504,0.06642350167456795
prim_replace_count,icecuber_failure,IceCuber failure rate,57,57,0.060799708882683615,-0.056270869862543135
prim_crop_count,human_difficulty_complete,Human latent difficulty (complete participants),31,31,0.2186419327244377,0.21151695891126948
prim_crop_count,gpt_failure,GPT-4o failure rate,31,31,0.010087125544480052,0.012695125819005506
prim_crop_count,claude_failure,Claude 3.5 Sonnet failure rate,31,31,-0.17181411259181903,-0.1253543234481247
prim_crop_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,31,31,-0.08530448175555468,-0.06369900957108784
prim_crop_count,icecuber_failure,IceCuber failure rate,31,31,0.025005001500500175,0.15944789917447985
prim_switch_count,human_difficulty_complete,Human latent difficulty (complete participants),7,7,-0.04052955915888284,-0.1336306209562122
prim_switch_count,gpt_failure,GPT-4o failure rate,7,7,0.3442651863295481,0.3944053188733077
prim_switch_count,claude_failure,Claude 3.5 Sonnet failure rate,7,7,0.22222222222222224,0.25458753860865774
prim_switch_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,7,7,0.3202563076101742,0.3888888888888889
prim_switch_count,icecuber_failure,IceCuber failure rate,7,7,0.3535533905932738,0.1800205749557739
prim_rot270_count,human_difficulty_complete,Human latent difficulty (complete participants),16,16,0.2460166389378189,0.2520504151250418
prim_rot270_count,gpt_failure,GPT-4o failure rate,16,16,0.09759000729485333,0.09759000729485333
prim_rot270_count,claude_failure,Claude 3.5 Sonnet failure rate,16,16,0.12403473458920845,0.12403473458920845
prim_rot270_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,16,16,0.11834526708278771,0.12344267996967354
prim_rot270_count,icecuber_failure,IceCuber failure rate,16,16,0.2,0.2
prim_vconcat_count,human_difficulty_complete,Human latent difficulty (complete participants),33,33,-0.05361403639079177,0.18517086495613805
prim_vconcat_count,gpt_failure,GPT-4o failure rate,33,33,0.29594388227661284,0.6007707132271556
prim_vconcat_count,claude_failure,Claude 3.5 Sonnet failure rate,33,33,0.29224517073683964,0.4894741142425552
prim_vconcat_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,33,33,0.3073405371234316,0.5622217747342723
prim_vconcat_count,icecuber_failure,IceCuber failure rate,33,33,0.19644294589264386,0.13931186328441955
