metric,category,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top2_failure,391,0.06768601270884038,0.18166326480948428,0.10962915356202255,0.030206479499199163
geometry_op_count,dsl_structure,compressarc_top2_failure,391,0.20964055092903935,2.9327543659778033e-05,0.23941036749884087,1.6786995453115174e-06
solver_opcode_count_dynamic,dynamic_execution,compressarc_top2_failure,391,0.18840854106011137,0.00017880340321431903,0.15953986351302485,0.0015514092018879793
function_count,expanded_python_static,compressarc_top2_failure,391,0.18038350998530858,0.0003372298476647977,0.18631077260534726,0.00021159916930388193
complexity_pc1_score,expanded_composite,compressarc_top2_first_correct_step,150,0.1814751050952536,0.026249418152430763,0.2522390820590368,0.0018459884736583933
dsl_complexity_pc1,composite,compressarc_top2_first_correct_step,150,0.2552222027238935,0.001621330926104099,0.328273323424679,4.111597556179376e-05
ast_node_count,expanded_python_static,compressarc_top2_first_correct_step,150,0.18557580452650294,0.02298986227543601,0.2400859124371623,0.003083890597694412
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top2_first_correct_step,150,0.12939882815290182,0.11452186275363702,0.18619467282339963,0.02252949413203993
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top2_first_correct_step,150,0.14051315847617116,0.08633590817163728,0.18579640061731983,0.022824844492308045
geometry_op_count,dsl_structure,compressarc_top2_first_correct_step,150,0.08177236758275613,0.3198374493991798,-0.03998151278279917,0.6271305949020283
solver_opcode_count_dynamic,dynamic_execution,compressarc_top2_first_correct_step,150,0.2160246958029353,0.007929805013167328,0.2893897646869651,0.0003283964716923553
function_count,expanded_python_static,compressarc_top2_first_correct_step,150,0.15357404758394408,0.06061379603530127,0.19096030082694304,0.019242735055471617
complexity_pc1_score,expanded_composite,compressarc_top2_fraction_correct_steps,391,-0.07957795943865546,0.11618110863706005,-0.1249947916051494,0.013383193376628097
dsl_complexity_pc1,composite,compressarc_top2_fraction_correct_steps,391,-0.12253380133161391,0.015336499722546167,-0.14103579616954554,0.005208443259152938
ast_node_count,expanded_python_static,compressarc_top2_fraction_correct_steps,391,-0.17016017967202207,0.0007285628831657995,-0.18030527817022476,0.0003392781295821862
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top2_fraction_correct_steps,391,0.030786572468942966,0.5438775217649219,-0.019817341619643512,0.6960586785158581
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top2_fraction_correct_steps,391,-0.0765817058484431,0.13061589438836127,-0.12602897489382736,0.01263001825371678
geometry_op_count,dsl_structure,compressarc_top2_fraction_correct_steps,391,-0.20836494931245736,3.286821954649271e-05,-0.2351173862874226,2.5976348294951623e-06
solver_opcode_count_dynamic,dynamic_execution,compressarc_top2_fraction_correct_steps,391,-0.20507165792692633,4.3972725872938286e-05,-0.20720186600625978,3.644582818520442e-05
function_count,expanded_python_static,compressarc_top2_fraction_correct_steps,391,-0.1999730129952843,6.83834698561905e-05,-0.2222031614344126,9.195064126074303e-06
