task_id,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes
06df4c85,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\06df4c85.py,arc_agi_1_train|arc_agi_2_train,2,2,5830,136,115,16,1006,975,1,43,4,38,50,7,107,41.868,1417,26,53,468,326,79,794,5005.201914,79.962264,400227.27758,ok,2,1352,1352,11248283900,11248.2839,5624.14195,45149,8361,1028,1006523,987826
08ed6ac7,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\08ed6ac7.py,arc_agi_1_train|arc_agi_2_train,2,2,2130,56,46,6,300,279,1,10,1,8,10,4,107,37.036,786,21,33,130,100,54,230,1323.624125,31.818182,42115.313084,ok,2,162,162,392248400,392.2484,196.1242,1551,439,10,16351,11448
0962bcdd,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0962bcdd.py,arc_agi_1_train|arc_agi_2_train,2,2,2881,72,64,10,457,426,1,8,1,10,19,7,151,39.014,1006,22,35,207,156,57,363,2117.339075,49.028571,103810.110084,ok,2,288,288,1603418100,1603.4181,801.70905,7235,919,2,19487,13546
0a938d79,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0a938d79.py,arc_agi_1_train|arc_agi_2_train,2,2,3300,80,69,8,523,502,1,17,2,22,30,6,100,40.25,960,24,28,234,162,52,396,2257.374128,69.428571,156726.260914,ok,2,594,594,2563351200,2563.3512,1281.6756,11377,3108,2,985295,976770
0b148d64,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0b148d64.py,arc_agi_1_train|arc_agi_2_train,2,2,2545,67,56,7,418,402,1,20,0,12,13,4,101,36.985,887,21,35,194,136,56,330,1916.427124,40.8,78190.226671,ok,2,510,72,2338709000,2338.709,1169.3545,11013,2537,2,979869,973064
0b17323b,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0b17323b.py,arc_agi_1_eval|arc_agi_2_train,2,2,2334,64,53,6,327,329,1,9,1,8,11,3,97,35.469,895,23,33,145,109,56,254,1475.06815,37.984848,56030.24019,ok,2,450,450,786175700,786.1757,393.08785,2683,772,2,981799,975238
0bb8deee,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0bb8deee.py,arc_agi_1_eval|arc_agi_2_train,2,2,4115,96,81,11,628,610,2,27,7,15,26,3,165,41.865,1255,22,41,287,211,63,498,2976.685402,56.609756,168509.434581,ok,2,364,72,1946950700,1946.9507,973.47535,9006,1999,292,22445,16496
0c786b71,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c786b71.py,arc_agi_1_eval|arc_agi_2_train,2,2,1388,36,29,5,147,129,1,6,0,3,4,1,108,37.556,569,14,17,62,44,31,106,525.144809,18.117647,9514.388302,ok,2,24,96,33978400,33.9784,16.9892,135,21,2,12809,8914
0c9aba6e,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c9aba6e.py,arc_agi_1_eval|arc_agi_2_train,2,2,1679,55,45,7,293,263,1,17,1,9,12,3,101,29.527,615,19,24,135,84,43,219,1188.351981,33.25,39512.703378,ok,2,104,48,258779400,258.7794,129.3897,1142,182,36,15913,11354
0ca9ddb6,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0ca9ddb6.py,arc_agi_1_train|arc_agi_2_train,2,2,2035,46,39,4,302,308,1,4,1,8,14,6,102,43.239,748,19,26,148,100,45,248,1361.979568,36.538462,49764.638058,ok,2,162,162,391380800,391.3808,195.6904,1966,481,2,16169,11322
0d3d703e,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0d3d703e.py,arc_agi_1_train|arc_agi_2_train,2,2,1405,41,37,2,146,96,1,3,0,2,3,2,94,33.073,648,14,23,59,47,37,106,552.202057,14.304348,7898.89029,ok,2,18,18,42908700,42.9087,21.45435,158,28,2,12433,8330
0f63c0b9,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0f63c0b9.py,arc_agi_1_eval|arc_agi_2_train,2,2,3208,76,66,10,478,461,1,15,3,11,17,4,105,41.211,1110,24,33,220,156,57,376,2193.166645,56.727273,124412.362426,ok,2,450,450,809914400,809.9144,404.9572,3980,1058,10,983235,976490
1190e5a7,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1190e5a7.py,arc_agi_1_train|arc_agi_2_train,2,2,4161,124,97,14,703,660,1,39,4,26,31,5,102,32.556,1211,22,50,299,225,72,524,3233.040701,49.5,160035.514687,ok,2,968,30,7687145300,7687.1453,3843.57265,34719,5384,1654,1059510,1033471
12422b43,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12422b43.py,arc_agi_1_eval|arc_agi_2_train,2,2,1525,42,36,5,198,181,1,8,2,6,9,3,84,35.31,595,16,23,86,62,39,148,782.239528,21.565217,16869.165482,ok,2,140,140,184101700,184.1017,92.05085,627,126,38,16287,11430
12997ef3,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12997ef3.py,arc_agi_1_eval|arc_agi_2_train,2,4,3535,95,80,11,621,581,1,32,9,17,28,5,104,36.211,1026,21,44,283,200,65,483,2908.803654,47.727273,138829.26529,ok,4,440,144,2075459800,2075.4598,518.86495,11644,2990,124,984358,977620
12eac192,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12eac192.py,arc_agi_1_eval|arc_agi_2_train,2,2,2211,58,47,3,369,371,2,10,2,9,18,5,94,37.121,902,23,34,180,120,57,300,1749.867004,40.588235,71024.013702,ok,2,128,128,2641056900,2641.0569,1320.52845,15440,2632,40,17559,12470
13713586,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\13713586.py,arc_agi_1_eval|arc_agi_2_train,2,2,4754,118,98,12,870,793,1,38,5,36,42,8,100,39.288,1067,21,36,409,264,57,673,3925.53498,77.0,302266.193424,ok,2,684,684,1312146000,1312.146,656.073,7202,1711,56,991869,981976
140c817e,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\140c817e.py,arc_agi_1_eval|arc_agi_2_train,2,2,2572,60,52,8,338,318,1,7,1,10,15,3,104,41.867,974,20,27,156,104,47,260,1444.193101,38.518519,55628.178722,ok,2,392,392,775799200,775.7992,387.8996,3957,1068,2,19649,13392
14b8e18c,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\14b8e18c.py,arc_agi_2_train,1,1,4952,138,113,11,926,901,3,31,9,27,48,6,107,34.884,1429,25,56,423,301,81,724,4590.051402,67.1875,308394.078578,ok,1,100,100,632128300,632.1283,632.1283,3427,823,270,29960,20973
178fcbfb,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\178fcbfb.py,arc_agi_1_train|arc_agi_2_train,2,2,1431,36,31,4,204,186,1,8,1,8,11,4,121,38.75,554,13,20,94,62,33,156,786.925483,20.15,15856.548475,ok,2,264,264,776677100,776.6771,388.33855,4564,1163,2,17377,11806
17b80ad2,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17b80ad2.py,arc_agi_1_eval|arc_agi_2_train,2,2,2482,53,46,9,268,240,1,9,1,8,10,5,109,45.83,888,18,26,117,81,44,198,1080.96746,28.038462,30308.664565,ok,2,578,578,437461800,437.4618,218.7309,1736,393,2,984315,975618
17b866bd,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17b866bd.py,arc_agi_2_train,1,2,4240,85,73,9,704,816,1,7,1,21,41,5,142,48.882,1241,24,29,321,258,53,579,3316.465943,106.758621,354061.329659,ok,2,592,592,1901504400,1901.5044,950.7522,11779,2092,2,986235,978566
17cae0c1,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17cae0c1.py,arc_agi_1_eval|arc_agi_2_train,2,2,2655,64,56,5,282,224,1,8,1,12,14,6,96,40.484,940,19,29,112,83,48,195,1089.067688,27.189655,29611.374886,ok,2,54,54,157721400,157.7214,78.8607,950,230,2,13461,9620
1818057f,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1818057f.py,arc_agi_2_eval,1,1,1540,40,35,3,271,268,1,10,1,4,10,3,112,37.5,625,17,21,128,89,38,217,1138.80027,36.02381,41023.924027,ok,1,484,484,148280900,148.2809,148.2809,0,0,1,985164,976083
18286ef8,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\18286ef8.py,arc_agi_2_train,1,1,2667,73,62,10,418,404,1,13,2,14,20,4,111,35.534,925,25,34,185,142,59,327,1923.624277,52.205882,100424.502704,ok,1,361,361,153893400,153.8934,153.8934,175,34,10,20780,14313
184a9768,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\184a9768.py,arc_agi_1_eval|arc_agi_2_train,2,2,5770,158,135,13,1029,983,2,38,11,25,49,6,97,35.519,1511,28,72,470,346,100,816,5421.386651,67.277778,364738.846344,ok,2,1300,1300,35968430700,35968.4307,17984.21535,157398,25005,3442,1058033,1023008
195ba7dc,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\195ba7dc.py,arc_agi_1_eval|arc_agi_2_train,2,2,1410,35,30,3,130,112,1,4,0,3,5,3,93,39.286,602,15,18,56,39,33,95,479.217441,16.25,7787.283422,ok,2,130,60,152021300,152.0213,76.01065,622,126,2,13809,9222
1990f7a8,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1990f7a8.py,arc_agi_1_eval|arc_agi_2_train,2,2,5533,135,119,18,1109,1082,2,52,12,31,50,5,112,39.985,1619,27,64,529,370,91,899,5850.507382,78.046875,456613.818294,ok,2,578,98,3841783300,3841.7833,1920.89165,21704,5675,242,995711,985142
19bb5feb,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\19bb5feb.py,arc_agi_1_eval|arc_agi_2_train,2,2,2061,48,41,5,346,342,2,18,0,7,10,4,146,41.938,753,19,33,162,124,52,286,1630.325759,35.69697,58197.689229,ok,2,420,8,1436930200,1436.9302,718.4651,8545,1462,10,17023,10520
1a07d186,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a07d186.py,arc_agi_1_train|arc_agi_2_train,2,2,3581,79,70,14,486,475,1,13,3,16,24,6,107,44.329,1010,24,28,215,152,52,367,2092.061377,65.142857,136282.855387,ok,2,988,988,4962808700,4962.8087,2481.40435,25997,4113,1088,992135,979390
1a244afd,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a244afd.py,arc_agi_2_train,1,1,3675,96,82,11,480,444,1,13,1,17,21,4,111,37.281,1155,22,39,199,146,61,345,2046.104381,41.179487,84257.529144,ok,1,256,256,92132500,92.1325,92.1325,0,0,1,18472,12951
1a2e2828,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a2e2828.py,arc_agi_1_eval|arc_agi_2_train,2,2,2409,50,42,7,283,269,1,20,2,6,13,2,118,47.18,819,15,23,138,88,38,226,1186.031618,28.695652,34033.950778,ok,2,286,2,658841800,658.8418,329.4209,4105,959,2,16101,10480
1a6449f1,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a6449f1.py,arc_agi_1_eval|arc_agi_2_train,2,2,4958,132,114,8,853,803,3,31,0,34,49,5,93,36.561,1371,27,62,371,277,89,648,4196.275263,60.314516,253096.312048,ok,2,1350,200,66215835300,66215.8353,33107.91765,308661,99977,32,993059,979706
1b2d62fb,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1b2d62fb.py,arc_agi_1_train|arc_agi_2_train,2,2,946,29,24,0,137,126,1,6,0,3,5,3,96,31.621,443,16,20,60,44,36,104,537.6722,17.6,9463.030723,ok,2,70,30,81985200,81.9852,40.9926,464,65,2,13365,9088
1bfc4729,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1bfc4729.py,arc_agi_1_train|arc_agi_2_train,2,2,2038,52,47,8,326,302,1,12,1,11,13,3,91,38.192,644,18,23,148,102,41,250,1339.388001,39.913043,53459.051524,ok,2,200,200,304440200,304.4402,152.2201,1752,465,2,17101,12024
1c02dbbe,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c02dbbe.py,arc_agi_1_eval|arc_agi_2_train,2,2,6199,148,127,16,1045,1081,1,30,13,26,55,5,109,40.885,1548,30,72,478,375,102,853,5691.578817,78.125,444654.595055,ok,2,450,450,6277586800,6277.5868,3138.7934,32833,7047,230,991185,983156
1c0d0a4b,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c0d0a4b.py,arc_agi_1_eval|arc_agi_2_train,2,2,1777,46,38,2,239,227,2,13,4,5,13,4,109,37.63,761,15,26,109,83,41,192,1028.649985,23.942308,24628.254446,ok,2,338,338,14995418400,14995.4184,7497.7092,64131,11460,3820,21277,13916
1c786137,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c786137.py,arc_agi_1_train|arc_agi_2_train,2,2,3331,77,65,12,408,383,1,16,0,15,19,5,139,42.26,1129,21,43,170,129,64,299,1794.0,31.5,56511.0,ok,2,544,144,1559669600,1559.6696,779.8348,10904,2795,2,980997,974096
1cf80156,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1cf80156.py,arc_agi_1_train|arc_agi_2_train,2,2,1732,41,35,3,230,222,1,13,4,6,11,3,131,41.244,675,16,23,110,74,39,184,972.514008,25.73913,25031.664909,ok,2,288,48,509203800,509.2038,254.6019,2645,711,98,17221,11308
1d0a4b61,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d0a4b61.py,arc_agi_1_eval|arc_agi_2_train,2,2,3620,83,75,6,579,550,2,13,1,22,27,7,108,42.614,1165,24,37,257,188,61,445,2639.178115,60.972973,160918.53589,ok,2,1250,1250,62826330900,62826.3309,31413.16545,297589,50400,244,1000925,983620
1d398264,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d398264.py,arc_agi_1_eval|arc_agi_2_train,2,4,3944,87,77,4,684,678,1,25,5,27,38,8,98,44.333,1027,23,31,303,229,54,532,3061.600151,84.951613,260087.870905,ok,4,800,800,2793270700,2793.2707,698.317675,17920,3318,260,986855,978730
1e0a9b12,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1e0a9b12.py,arc_agi_1_train|arc_agi_2_train,2,2,1151,30,25,2,157,154,1,8,1,4,6,3,92,37.367,513,17,20,74,51,37,125,651.181671,21.675,14114.362713,ok,2,50,50,99906900,99.9069,49.95345,601,125,2,13545,9498
1e32b0e9,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1e32b0e9.py,arc_agi_1_train|arc_agi_2_train,2,2,3240,77,65,8,438,418,1,16,1,16,20,6,126,41.078,929,20,32,188,143,52,331,1886.845547,44.6875,84318.410368,ok,2,578,578,2098233400,2098.2334,1049.1167,13455,2522,2,992229,979104
1e81d6f9,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1e81d6f9.py,arc_agi_1_eval|arc_agi_2_train,2,2,1612,40,34,4,195,176,1,6,1,7,12,3,116,39.3,636,18,21,84,62,39,146,771.668724,26.571429,20504.340379,ok,2,450,450,598776400,598.7764,299.3882,3659,1048,2,980595,974114
1f642eb9,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1f642eb9.py,arc_agi_1_train|arc_agi_2_train,2,2,2806,60,52,6,337,331,1,8,1,16,23,6,134,45.767,818,21,20,141,107,41,248,1328.672897,56.175,74638.199997,ok,2,200,200,463605800,463.6058,231.8029,3138,874,2,16901,11732
1f85a75f,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1f85a75f.py,arc_agi_1_train|arc_agi_2_train,2,2,3452,82,70,9,463,443,1,21,8,13,22,4,99,41.098,1216,25,38,206,152,63,358,2139.866213,50.0,106993.310631,ok,2,1800,32,5646324700,5646.3247,2823.16235,29249,7399,1274,994649,981650
1f876c06,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1f876c06.py,arc_agi_1_train|arc_agi_2_train,2,2,2234,52,45,4,261,260,1,7,1,10,13,4,112,41.962,912,24,28,117,85,52,202,1151.488823,36.428571,41947.09284,ok,2,200,200,360868200,360.8682,180.4341,1893,443,2,16829,11568
1fad071e,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1fad071e.py,arc_agi_1_train|arc_agi_2_train,2,2,1246,34,29,3,171,173,1,4,0,3,7,3,83,35.647,542,18,17,81,56,35,137,702.711773,29.647059,20833.33728,ok,2,162,10,191837500,191.8375,95.91875,951,237,2,14481,8814
2013d3e2,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2013d3e2.py,arc_agi_1_train|arc_agi_2_train,2,2,1964,44,39,2,244,242,1,17,0,6,8,3,108,43.636,808,19,24,113,83,43,196,1063.547892,32.854167,34941.979699,ok,2,200,18,378875100,378.8751,189.43755,1792,377,2,15585,9962
2037f2c7,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2037f2c7.py,arc_agi_1_eval|arc_agi_2_train,2,2,5607,145,117,13,1075,1119,2,49,6,25,46,5,158,37.669,1937,29,94,494,381,123,875,6074.700192,58.771277,357017.88523,ok,2,1200,40,19796765700,19796.7657,9898.38285,94106,17921,88,1017013,993636
2072aba6,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2072aba6.py,arc_agi_1_eval|arc_agi_2_train,2,2,1628,38,33,3,188,189,1,6,2,3,6,3,88,41.842,632,16,21,86,65,37,151,786.627458,24.761905,19478.394203,ok,2,18,72,101699600,101.6996,50.8498,607,128,2,13349,9660
20981f0e,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\20981f0e.py,arc_agi_1_eval|arc_agi_2_train,2,2,3935,102,85,13,700,726,1,37,7,18,31,5,129,37.578,1133,22,50,319,238,72,557,3436.648226,52.36,179942.901103,ok,2,442,442,1487583300,1487.5833,743.79165,8619,2040,114,988071,979818
21f83797,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\21f83797.py,arc_agi_1_eval|arc_agi_2_train,2,2,2143,58,48,7,328,311,1,16,1,8,10,3,108,35.948,782,15,28,150,109,43,259,1405.402571,29.196429,41032.735792,ok,2,338,338,571959300,571.9593,285.97965,2839,738,2,18979,13106
2204b7a8,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2204b7a8.py,arc_agi_1_train|arc_agi_2_train,2,2,2531,55,48,5,356,363,1,14,3,7,13,6,129,45.018,796,18,30,164,120,48,284,1586.12935,36.0,57100.656607,ok,2,200,200,312511500,312.5115,156.25575,1680,423,2,17723,12426
22168020,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\22168020.py,arc_agi_1_train|arc_agi_2_train,2,2,1932,42,37,3,209,194,1,9,1,7,9,4,128,45,744,18,25,96,65,43,161,873.628626,23.4,20442.909837,ok,2,200,200,377296800,377.2968,188.6484,2118,500,2,16537,11354
2281f1f4,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2281f1f4.py,arc_agi_1_train|arc_agi_2_train,2,2,1598,38,33,4,159,136,1,3,1,4,6,4,104,41.053,688,14,18,72,46,32,118,590.0,17.888889,10554.444444,ok,2,200,200,159322600,159.3226,79.6613,842,189,2,16157,10640
22a4bbc2,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\22a4bbc2.py,arc_agi_1_eval|arc_agi_2_train,2,2,1791,46,38,5,228,214,1,7,1,7,10,5,107,37.935,713,21,29,100,72,50,172,970.743265,26.068966,25306.272692,ok,2,176,176,316204700,316.2047,158.10235,1876,333,2,19485,14460
22eb0ac0,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\22eb0ac0.py,arc_agi_1_train|arc_agi_2_train,2,2,1398,32,27,2,114,110,1,4,0,2,5,2,143,42.688,639,18,15,52,37,33,89,448.951077,22.2,9966.713901,ok,2,200,200,107405900,107.4059,53.70295,331,48,2,16057,10434
23581191,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\23581191.py,arc_agi_1_train|arc_agi_2_train,2,2,2787,63,54,10,339,312,1,15,2,14,19,5,165,43.238,926,18,30,146,103,48,249,1390.655663,30.9,42971.259977,ok,2,162,162,1727691100,1727.6911,863.84555,10901,2586,486,18445,12480
23b5c85d,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\23b5c85d.py,arc_agi_1_train|arc_agi_2_train,2,2,1921,51,42,3,286,289,1,14,1,9,11,4,117,36.667,732,20,33,123,99,53,222,1271.598341,30.0,38147.950227,ok,2,648,18,2833415500,2833.4155,1416.70775,20830,5181,2,980165,972188
253bf280,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\253bf280.py,arc_agi_1_train|arc_agi_2_train,2,2,2076,52,45,7,285,267,1,15,1,9,11,5,93,38.923,714,16,30,126,93,46,219,1209.660068,24.8,29999.569696,ok,2,312,312,677726200,677.7262,338.8631,2532,665,2,18315,12594
25d487eb,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\25d487eb.py,arc_agi_1_train|arc_agi_2_train,2,2,4570,114,98,12,789,742,1,24,5,33,39,7,96,39.088,1270,27,49,347,256,76,603,3767.500291,70.530612,265724.102129,ok,2,352,352,1121989900,1121.9899,560.99495,7269,2042,138,24691,17554
25d8a9c8,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\25d8a9c8.py,arc_agi_1_train|arc_agi_2_train,2,2,936,26,22,3,104,90,1,5,1,2,4,3,92,35,375,15,14,47,30,29,77,374.064537,16.071429,6011.751481,ok,2,18,18,51749200,51.7492,25.8746,237,43,24,12865,8794
25ff71a9,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\25ff71a9.py,arc_agi_1_train|arc_agi_2_train,2,4,965,30,25,3,114,110,1,4,1,1,3,1,74,31.167,487,13,15,53,37,28,90,432.661943,16.033333,6937.013153,ok,4,36,36,44854000,44.854,11.2135,258,36,4,12986,8508
272f95fa,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\272f95fa.py,arc_agi_1_train|arc_agi_2_train,2,2,2775,79,67,12,514,480,1,24,3,20,25,4,98,34.127,853,18,30,236,162,48,398,2222.815075,48.6,108028.812659,ok,2,510,510,955604400,955.6044,477.8022,5375,881,250,986075,978058
