metric,availability_type,compat_notes,current_n,current_unique_count,current_nonzero_count,current_is_degenerate,current_min,current_max,old_best_outcome,old_best_pearson_r,old_best_spearman_rho,old_n,full_human_pearson_r,full_pooled_pearson_r,gap30_human_pearson_r,gap30_pooled_pearson_r
elapsed_ms_total,direct,,391,389,391,False,0.2058,49673.0096,rasch_rmsea_x2,0.6045996944937311,0.4088124987156413,55,0.0429738417765202,0.03645279394260446,0.1698612309618472,0.23470705327724964
elapsed_ms_per_test,derived_compat,Derived as elapsed_ms_total / test_pairs.,391,389,391,False,0.2058,49673.0096,rasch_outfit,0.5255266481425559,0.3434591240349232,55,0.04298265532972883,0.036473132617361605,0.17019467052694967,0.23631604711943782
opcode_count_dynamic,derived_compat,Mapped to bundle_opcode_count_dynamic to count solver + DSL + primitive opcodes.,391,197,391,False,12.0,1236.0,rasch_rmsea_x2,0.5729836552267786,0.4087022104734223,55,0.2717107269011743,0.22988688103222882,0.3252179927227749,0.31668442095641985
branch_opcode_count_dynamic,derived_compat,Mapped to bundle_branch_opcode_count_dynamic.,391,1,0,True,0.0,0.0,rasch_rmsea_x2,0.5577124838346972,0.4321951076098068,55,,,,
python_call_count_dynamic,derived_compat,Mapped to bundle_python_call_count_dynamic.,391,369,391,False,8.0,36866704.0,rasch_outfit,0.3628384534184899,0.1762297526696395,55,0.04217204493399218,0.03576450218508982,0.14966696800558268,0.21318361478075135
peak_memory_bytes,direct,,391,391,391,False,3004.0,4144352.0,latent_difficulty_prev_intersection22,0.3721129229680108,0.553646249222824,56,0.107782048968673,-7.908024559978891e-05,0.14684807049907667,0.20749156661150325
opcode_per_input_cell,derived_compat,Derived from bundle opcode count per input cell.,391,362,391,False,0.013333333333333334,17.16,rasch_outfit,0.4768656677167286,0.1115901506450166,55,0.15955581983638306,-0.10159884752572185,0.13391598634169397,0.058391793804277316
elapsed_ms_per_input_cell,direct,,391,391,391,False,0.00193720703125,13.798058222222222,rasch_outfit,0.499916499553433,0.0919619020131322,55,0.05048480220833031,0.04454353491925234,0.0640010346255923,0.13831470929784917
complexity_pc1_score,derived_compat,Mapped to dsl_complexity_pc1.,391,391,391,False,-15.483619085308227,17.843064875364472,logit_difficulty_all,0.6405723103729972,0.6108462123924144,56,0.19260029497993006,0.3346791304228689,0.3190881808688675,0.41375119643505115
log1p_opcode_count_dynamic,derived_compat,Derived from mapped opcode_count_dynamic.,391,197,391,False,2.5649493574615367,7.1204443723924875,pc1_difficulty_z,0.4041266754043429,0.4796247858631913,55,0.2684601746983656,0.31235143664745263,0.33203380238699987,0.3853193982563102
log1p_branch_opcode_count_dynamic,derived_compat,Derived from mapped branch opcode count.,391,1,0,True,0.0,0.0,pc1_difficulty_z,0.4241362488456398,0.4812629774529529,55,,,,
log1p_python_call_count_dynamic,derived_compat,Derived from mapped python call count.,391,369,391,False,2.1972245773362196,17.42281939816686,latent_difficulty_prev_intersection22,0.3977133730515806,0.360239832858592,56,0.14206164273500604,0.34259093251260286,0.29570571615636515,0.3822246753408332
log1p_elapsed_ms_total,derived_compat,Derived from elapsed_ms_total.,391,389,391,False,0.18714324707316815,10.813237129626899,rasch_rmsea_x2,0.486891464530285,0.4088124987156413,55,0.1448176384753978,0.2770848565149389,0.2992262381262791,0.38058057405569706
log1p_elapsed_ms_per_test,derived_compat,Derived from elapsed_ms_per_test.,391,389,391,False,0.18714324707316815,10.813237129626899,rasch_rmsea_x2,0.5022822642747514,0.4317563574721674,55,0.1463300455132318,0.28522853940810255,0.3011596975651761,0.3911953959329906
log1p_peak_memory_bytes,derived_compat,Derived from peak_memory_bytes.,391,391,391,False,8.008032846969307,15.23725724269124,fail_rate_all,0.3876519287686182,0.5334953949505755,56,0.1460648502677286,0.2602638233674778,0.3122595622883007,0.40346734847384697
log1p_ast_node_count,derived_compat,Derived from ast_node_count.,391,138,391,False,2.772588722239781,6.464588303689961,latent_difficulty_prev_intersection22,0.6576473893117774,0.6367514218879999,56,0.20037453989561888,0.32748994496166633,0.3025399193450083,0.4018559930451359
log1p_cyclomatic_complexity,derived_compat,Derived from cyclomatic_complexity.,391,1,391,True,0.6931471805599453,0.6931471805599453,logit_difficulty_all,0.7070743322226792,0.6608933770772157,56,,,,
