dataset_key,psychometric_dataset,task_id,latent_difficulty,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,elapsed_ms_per_input_cell,opcode_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell,complexity_pc1_score,complexity_ridge_train_pred,complexity_ridge_loo_pred,complexity_best_pcr_train_pred,complexity_best_pcr_loo_pred,complexity_best_pls_train_pred,complexity_best_pls_loo_pred,PC1,PC2,PC3,PC4,PC5
arc_agi_1_eval,ARC-V1,17b80ad2,1.46017169826515,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17b80ad2.py,arc_agi_1_eval|arc_agi_2_train,2,2,2482,53,46,9,268,240,1,9,1,8,10,5,109,45.83,888,18,26,117,81,44,198,1080.96746,28.038462,30308.664565,ok,2,578,578,437461800,437.4618,218.7309,1736,393,2,984315,975618,0.7568543252595156,3.0034602076124566,0.6799307958477508,0.0034602076124567,-2.5948615320586335,-0.5573598257763901,-1.2375735377411463,0.33586241170466546,0.24735513195627834,-0.12773254047023874,-0.6078354527578396,-2.5948615320586335,-0.6043948556461854,2.0592502720976418,0.3439756033429956,-0.3889454980258554
arc_agi_1_eval,ARC-V1,17cae0c1,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\17cae0c1.py,arc_agi_1_eval|arc_agi_2_train,2,2,2655,64,56,5,282,224,1,8,1,12,14,6,96,40.484,940,19,29,112,83,48,195,1089.067688,27.189655,29611.374886,ok,2,54,54,157721400,157.7214,78.8607,950,230,2,13461,9620,2.9207666666666663,17.59259259259259,4.25925925925926,0.037037037037037,-3.118909944226699,-0.3356994730523526,0.1756662751514897,-1.2195198102088673,-1.1430935532025694,-1.7045286076965416,-1.9069937295339727,-3.118909944226699,-0.009500269853887917,-1.0004593464328735,-1.406481951572499,-0.362122359344256
arc_agi_1_eval,ARC-V1,195ba7dc,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\195ba7dc.py,arc_agi_1_eval|arc_agi_2_train,2,2,1410,35,30,3,130,112,1,4,0,3,5,3,93,39.286,602,15,18,56,39,33,95,479.217441,16.25,7787.283422,ok,2,130,60,152021300,152.0213,76.01065,622,126,2,13809,9222,1.1693946153846153,4.7846153846153845,0.9692307692307692,0.0153846153846153,-6.015300847582324,-3.2291678844817344,-3.5452944003174425,-3.2515388197648702,-3.311648297961999,-3.5308337883892102,-3.7867020181807396,-6.015300847582324,0.7443202914139843,-0.04642722629491831,-0.11850584862716312,-0.5980359951856605
arc_agi_1_eval,ARC-V1,1990f7a8,0.661681856884496,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1990f7a8.py,arc_agi_1_eval|arc_agi_2_train,2,2,5533,135,119,18,1109,1082,2,52,12,31,50,5,112,39.985,1619,27,64,529,370,91,899,5850.507382,78.046875,456613.818294,ok,2,578,98,3841783300,3841.7833,1920.89165,21704,5675,242,995711,985142,6.646683910034602,37.55017301038063,9.81833910034602,0.4186851211072664,3.254759424080894,1.5602584683371508,1.7082055702849237,2.301993309959406,2.5138416221992297,1.4053505579799013,1.4744125878786318,3.254759424080894,-0.2508156956836306,-0.9728268547753349,-0.05606965197815403,-0.5589613941762986
arc_agi_1_eval,ARC-V1,19bb5feb,-5.29060663837094,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\19bb5feb.py,arc_agi_1_eval|arc_agi_2_train,2,2,2061,48,41,5,346,342,2,18,0,7,10,4,146,41.938,753,19,33,162,124,52,286,1630.325759,35.69697,58197.689229,ok,2,420,8,1436930200,1436.9302,718.4651,8545,1462,10,17023,10520,3.4212623809523808,20.34523809523809,3.480952380952381,0.0238095238095238,-2.097214145567283,-4.04460252775673,-1.3723402586510904,-3.26664697656886,-3.0005141554492534,-3.776184578131036,-1.7549540190666695,-2.097214145567283,1.0810280698750627,-1.565660711366518,-0.2037977725147984,-2.186124015208058
arc_agi_1_eval,ARC-V1,1a2e2828,-2.9771346185528,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a2e2828.py,arc_agi_1_eval|arc_agi_2_train,2,2,2409,50,42,7,283,269,1,20,2,6,13,2,118,47.18,819,15,23,138,88,38,226,1186.031618,28.695652,34033.950778,ok,2,286,2,658841800,658.8418,329.4209,4105,959,2,16101,10480,2.3036426573426576,14.353146853146852,3.3531468531468533,0.0069930069930069,-3.28827959085412,-3.4069518880007656,-4.110042376658398,-4.177463643626304,-2.276629109687541,-4.272390351638969,-4.961739355906953,-3.28827959085412,0.6309962364290206,-2.1043110193794567,-0.8262762521027285,-2.4715540775340505
arc_agi_1_eval,ARC-V1,1a6449f1,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1a6449f1.py,arc_agi_1_eval|arc_agi_2_train,2,2,4958,132,114,8,853,803,3,31,0,34,49,5,93,36.561,1371,27,62,371,277,89,648,4196.275263,60.314516,253096.312048,ok,2,1350,200,66215835300,66215.8353,33107.91765,308661,99977,32,993059,979706,49.04876688888889,228.63777777777776,74.05703703703703,0.0237037037037037,4.053748469606777,0.7719215519622928,1.24394325235442,0.9392729641826815,1.3428678833979197,0.7344402585154495,1.4041877353574757,4.053748469606777,2.4864541203989234,-0.0014692932996413267,0.41907504106729154,-1.422050452022321
arc_agi_1_eval,ARC-V1,1c02dbbe,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c02dbbe.py,arc_agi_1_eval|arc_agi_2_train,2,2,6199,148,127,16,1045,1081,1,30,13,26,55,5,109,40.885,1548,30,72,478,375,102,853,5691.578817,78.125,444654.595055,ok,2,450,450,6277586800,6277.5868,3138.7934,32833,7047,230,991185,983156,13.950192888888887,72.96222222222222,15.66,0.5111111111111111,3.1976810281837804,2.5135319782599126,3.0783562246930103,3.4789436548776997,3.55568411701503,2.9000170405081604,3.4375169607293286,3.1976810281837804,0.4699394331698732,0.044856187889864736,-0.6809397287287474,0.5651949637537984
arc_agi_1_eval,ARC-V1,1c0d0a4b,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1c0d0a4b.py,arc_agi_1_eval|arc_agi_2_train,2,2,1777,46,38,2,239,227,2,13,4,5,13,4,109,37.63,761,15,26,109,83,41,192,1028.649985,23.942308,24628.254446,ok,2,338,338,14995418400,14995.4184,7497.7092,64131,11460,3820,21277,13916,44.36514319526627,189.73668639053253,33.905325443786985,11.301775147928996,-0.6385239615430274,1.1194734741345365,1.5367653512745865,-0.8137245113078533,-1.223868563398638,1.383555800173837,1.6727592973521164,-0.6385239615430274,4.515921999050695,-0.2989577291678032,0.5527280863329577,0.6599456129192811
arc_agi_1_eval,ARC-V1,1d0a4b61,-3.6334266794513,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d0a4b61.py,arc_agi_1_eval|arc_agi_2_train,2,2,3620,83,75,6,579,550,2,13,1,22,27,7,108,42.614,1165,24,37,257,188,61,445,2639.178115,60.972973,160918.53589,ok,2,1250,1250,62826330900,62826.3309,31413.16545,297589,50400,244,1000925,983620,50.26106472,238.0712,40.32,0.1952,2.9362167085737725,1.2661295674535478,2.8515025351683514,1.8492995533837653,2.575809711789823,1.6071732136763417,2.9382253211799654,2.9362167085737725,3.2748649052209475,1.5998073855959498,0.34252571819943056,-0.08437328190212533
arc_agi_1_eval,ARC-V1,1d398264,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1d398264.py,arc_agi_1_eval|arc_agi_2_train,2,4,3944,87,77,4,684,678,1,25,5,27,38,8,98,44.333,1027,23,31,303,229,54,532,3061.600151,84.951613,260087.870905,ok,4,800,800,2793270700,2793.2707,698.317675,17920,3318,260,986855,978730,3.491588375,22.4,4.1475,0.325,1.6638887880933713,2.028939296327244,2.81602813926914,3.2705730473127934,3.3766154191049624,1.87168992338961,2.2764204906578582,1.6638887880933713,-0.16628548521717643,1.3531904174902518,-0.7208033117486017,0.45264291998482836
arc_agi_1_eval,ARC-V1,1e81d6f9,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\1e81d6f9.py,arc_agi_1_eval|arc_agi_2_train,2,2,1612,40,34,4,195,176,1,6,1,7,12,3,116,39.3,636,18,21,84,62,39,146,771.668724,26.571429,20504.340379,ok,2,450,450,598776400,598.7764,299.3882,3659,1048,2,980595,974114,1.330614222222222,8.13111111111111,2.328888888888889,0.0044444444444444,-3.478117379386601,-0.29030499164655077,-0.0180290822282958,-0.8539246998810339,-0.805134528472027,-1.4200384096277439,-1.832319848994466,-3.478117379386601,0.6812010496520912,2.025692357423929,0.4915875611320518,-0.43070433463445074
arc_agi_1_eval,ARC-V1,2037f2c7,2.78120618880522,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2037f2c7.py,arc_agi_1_eval|arc_agi_2_train,2,2,5607,145,117,13,1075,1119,2,49,6,25,46,5,158,37.669,1937,29,94,494,381,123,875,6074.700192,58.771277,357017.88523,ok,2,1200,40,19796765700,19796.7657,9898.38285,94106,17921,88,1017013,993636,16.49730475,78.42166666666667,14.934166666666666,0.0733333333333333,3.855322417351583,0.47854345669140863,-0.3923105253902639,1.0145162841583082,2.004287198914045,0.8864617130637988,0.12816727125139593,3.855322417351583,0.7846401326898839,-0.9711834144510213,-0.08825043922084472,-1.7199238264170071
arc_agi_1_eval,ARC-V1,2072aba6,-2.9771346185528,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\2072aba6.py,arc_agi_1_eval|arc_agi_2_train,2,2,1628,38,33,3,188,189,1,6,2,3,6,3,88,41.842,632,16,21,86,65,37,151,786.627458,24.761905,19478.394203,ok,2,18,72,101699600,101.6996,50.8498,607,128,2,13349,9660,5.649977777777778,33.72222222222222,7.111111111111111,0.1111111111111111,-5.286150449770317,-2.4403466070270516,-2.157205446070742,-2.5238366497685893,-2.4806705135479987,-2.424483984266274,-2.3751648276239954,-5.286150449770317,1.3411200751038,-1.3985662737223665,-0.42723536461524353,0.478135447386354
arc_agi_1_eval,ARC-V1,20981f0e,4.7181675407602,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\20981f0e.py,arc_agi_1_eval|arc_agi_2_train,2,2,3935,102,85,13,700,726,1,37,7,18,31,5,129,37.578,1133,22,50,319,238,72,557,3436.648226,52.36,179942.901103,ok,2,442,442,1487583300,1487.5833,743.79165,8619,2040,114,988071,979818,3.3655730769230767,19.5,4.615384615384615,0.2579185520361991,1.2151727082666557,2.7639429694209836,2.357116398776558,2.7151421807078764,2.5993737845425295,2.458025511909815,1.8791060600017762,1.2151727082666557,-0.39838726070723174,0.4109615662530552,-0.34280448657027623,0.4357211543425281
arc_agi_1_eval,ARC-V1,21f83797,-2.39589187694348,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\21f83797.py,arc_agi_1_eval|arc_agi_2_train,2,2,2143,58,48,7,328,311,1,16,1,8,10,3,108,35.948,782,15,28,150,109,43,259,1405.402571,29.196429,41032.735792,ok,2,338,338,571959300,571.9593,285.97965,2839,738,2,18979,13106,1.6921872781065088,8.399408284023668,2.1834319526627217,0.0059171597633136,-2.6615546884530876,0.21190620708947772,1.374179603231561,-0.2484070599518302,-0.1761234879722291,0.8541522292862189,2.2489135567487013,-2.6615546884530876,0.17390020582695076,0.22585412053868176,-0.4710359313495342,0.05500377645853325
arc_agi_1_eval,ARC-V1,22a4bbc2,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\22a4bbc2.py,arc_agi_1_eval|arc_agi_2_train,2,2,1791,46,38,5,228,214,1,7,1,7,10,5,107,37.935,713,21,29,100,72,50,172,970.743265,26.068966,25306.272692,ok,2,176,176,316204700,316.2047,158.10235,1876,333,2,19485,14460,1.7966176136363636,10.659090909090908,1.8920454545454544,0.0113636363636363,-3.653402920494721,-0.2771686167944434,-0.7160634650860973,-1.1904027853850143,-1.3707004798633347,-0.7286000624376625,-0.9687486609233849,-3.653402920494721,0.4324061906387145,0.3587781236431205,-0.7499318309853057,-0.2645426896653956
arc_agi_1_eval,ARC-V1,32e9702f,-1.39576081341223,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\32e9702f.py,arc_agi_1_eval|arc_agi_2_train,2,2,2456,60,51,6,348,319,1,9,2,14,17,5,100,39.933,846,21,28,152,109,49,261,1465.439269,40.875,59899.830133,ok,2,200,200,573933100,573.9331,286.96655,3921,1240,2,18039,12550,2.8696655,19.605,6.2,0.01,-2.065539952864642,0.620740244221222,1.0216702086311722,-0.2747570766301206,-0.2240075874327141,-0.0018898604213470893,0.2552671369348498,-2.065539952864642,0.42993668542124674,0.12642731476970084,-1.2399858202999978,-0.2301357308222665
arc_agi_1_eval,ARC-V1,50aad11f,0.661681856884497,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\50aad11f.py,arc_agi_1_eval|arc_agi_2_train,2,2,6827,195,161,22,1263,1203,2,52,14,30,54,5,111,33.99,1880,33,86,579,413,119,992,6839.659221,79.238372,541963.462359,ok,2,468,96,4099203000,4099.203,2049.6015,25760,5751,262,993679,983978,8.75898076923077,55.042735042735046,12.288461538461538,0.5598290598290598,3.758593246724372,2.0745258677720484,2.594071622515462,2.631688604477547,2.860784502400646,1.6422229656129437,1.8038295441067915,3.758593246724372,-0.22757700728676986,-1.2895640423704302,-0.13472225426639306,-0.39809513858307904
arc_agi_1_eval,ARC-V1,97239e3d,2.78120618880522,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\97239e3d.py,arc_agi_1_eval|arc_agi_2_train,2,2,3159,75,63,11,419,387,2,12,3,14,23,6,142,41.12,1060,25,43,178,135,68,313,1905.375869,39.244186,74774.925104,ok,2,578,578,1372657800,1372.6578,686.3289,7615,1958,10,986303,976978,2.3748404844290656,13.174740484429066,3.387543252595156,0.0173010380622837,-0.17138508260639693,2.181726809741726,2.1262407896109146,1.1293865586134837,1.0732150512080971,1.3592343943386904,1.09861825058098,-0.17138508260639693,0.019258864811016404,1.3354782119064335,0.4987939894875752,-0.42602232002405516
arc_agi_1_eval,ARC-V1,981571dc,1.87551400852285,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\981571dc.py,arc_agi_1_eval|arc_agi_2_eval,2,2,2274,51,45,4,257,265,1,3,1,7,13,5,99,43.588,773,18,21,113,89,39,202,1067.651248,38.142857,40723.269039,ok,2,1800,1800,3475413900,3475.4139,1737.70695,19662,5767,2,1000519,982634,1.9307855,10.923333333333334,3.203888888888889,0.0011111111111111,-1.7918791187567102,1.1343518362653546,0.7935747833252484,0.45196360439298877,0.18286033104062271,0.5948571402415347,0.09558951690750317,-1.7918791187567102,1.153912743006443,3.574842189435413,0.26750563817169676,-0.4850431248458413
arc_agi_1_eval,ARC-V1,aa4ec2a5,5.8797340558379,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\aa4ec2a5.py,arc_agi_1_eval|arc_agi_2_eval,2,2,5241,129,112,16,1069,1053,2,32,6,32,55,7,99,39.581,1455,26,53,519,348,79,867,5465.377909,85.358491,466516.408657,ok,2,1404,1404,27565685700,27565.6857,13782.84285,141432,32732,1426,1048678,1001197,19.633679273504278,100.73504273504274,23.313390313390315,1.0156695156695157,4.512865127276343,3.812995867940188,3.5773065573778573,4.004685978657722,3.843097283460776,4.250595132171668,4.08641011413099,4.512865127276343,1.473354233287689,0.9039323893937083,0.08512950386700101,0.5447360240629795
arc_agi_1_eval,ARC-V1,c62e2108,3.92531115061119,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\c62e2108.py,arc_agi_1_eval|arc_agi_2_train,2,2,7435,175,153,23,1241,1213,1,30,10,45,69,6,155,41.486,1784,30,71,559,408,101,967,6438.490504,86.197183,554979.744836,ok,2,1152,1152,9219776100,9219.7761,4609.88805,46923,12286,210,1008535,989234,8.003277864583332,40.731770833333336,10.664930555555555,0.1822916666666666,4.1482534186625415,4.352033649573816,4.452840604377666,4.707914910163017,4.737526104029998,4.2496198543923525,4.31256287469816,4.1482534186625415,-0.156109037887979,0.9569648812943793,-0.8963130604582846,0.5829046068859153
