metric,category
prim_lefthalf_count,dsl_primitive_usage
prim_leftmost_count,dsl_primitive_usage
prim_llcorner_count,dsl_primitive_usage
prim_lowermost_count,dsl_primitive_usage
prim_lrcorner_count,dsl_primitive_usage
prim_mapply_count,dsl_primitive_usage
prim_matcher_count,dsl_primitive_usage
prim_maximum_count,dsl_primitive_usage
prim_merge_count,dsl_primitive_usage
prim_mfilter_count,dsl_primitive_usage
prim_minimum_count,dsl_primitive_usage
prim_mostcolor_count,dsl_primitive_usage
prim_mostcommon_count,dsl_primitive_usage
prim_move_count,dsl_primitive_usage
prim_mpapply_count,dsl_primitive_usage
prim_multiply_count,dsl_primitive_usage
prim_neighbors_count,dsl_primitive_usage
prim_normalize_count,dsl_primitive_usage
prim_numcolors_count,dsl_primitive_usage
prim_objects_count,dsl_primitive_usage
prim_occurrences_count,dsl_primitive_usage
prim_ofcolor_count,dsl_primitive_usage
prim_order_count,dsl_primitive_usage
prim_other_count,dsl_primitive_usage
prim_outbox_count,dsl_primitive_usage
prim_paint_count,dsl_primitive_usage
prim_pair_count,dsl_primitive_usage
prim_palette_count,dsl_primitive_usage
prim_papply_count,dsl_primitive_usage
prim_partition_count,dsl_primitive_usage
prim_portrait_count,dsl_primitive_usage
prim_position_count,dsl_primitive_usage
prim_positive_count,dsl_primitive_usage
prim_power_count,dsl_primitive_usage
prim_prapply_count,dsl_primitive_usage
prim_product_count,dsl_primitive_usage
prim_rapply_count,dsl_primitive_usage
prim_rbind_count,dsl_primitive_usage
prim_recolor_count,dsl_primitive_usage
prim_remove_count,dsl_primitive_usage
prim_repeat_count,dsl_primitive_usage
prim_replace_count,dsl_primitive_usage
prim_righthalf_count,dsl_primitive_usage
prim_rightmost_count,dsl_primitive_usage
prim_rot180_count,dsl_primitive_usage
prim_rot270_count,dsl_primitive_usage
prim_rot90_count,dsl_primitive_usage
prim_sfilter_count,dsl_primitive_usage
prim_shape_count,dsl_primitive_usage
prim_shift_count,dsl_primitive_usage
prim_shoot_count,dsl_primitive_usage
prim_sign_count,dsl_primitive_usage
prim_size_count,dsl_primitive_usage
prim_sizefilter_count,dsl_primitive_usage
prim_subgrid_count,dsl_primitive_usage
prim_subtract_count,dsl_primitive_usage
prim_switch_count,dsl_primitive_usage
prim_toindices_count,dsl_primitive_usage
prim_toivec_count,dsl_primitive_usage
prim_tojvec_count,dsl_primitive_usage
prim_toobject_count,dsl_primitive_usage
prim_tophalf_count,dsl_primitive_usage
prim_totuple_count,dsl_primitive_usage
prim_trim_count,dsl_primitive_usage
prim_ulcorner_count,dsl_primitive_usage
prim_underfill_count,dsl_primitive_usage
prim_underpaint_count,dsl_primitive_usage
prim_uppermost_count,dsl_primitive_usage
prim_upscale_count,dsl_primitive_usage
prim_urcorner_count,dsl_primitive_usage
prim_valmax_count,dsl_primitive_usage
prim_valmin_count,dsl_primitive_usage
prim_vconcat_count,dsl_primitive_usage
prim_vfrontier_count,dsl_primitive_usage
prim_vline_count,dsl_primitive_usage
prim_vmatching_count,dsl_primitive_usage
prim_vmirror_count,dsl_primitive_usage
prim_vperiod_count,dsl_primitive_usage
prim_vsplit_count,dsl_primitive_usage
prim_vupscale_count,dsl_primitive_usage
prim_width_count,dsl_primitive_usage
assignment_count,dsl_structure
ast_call_count,dsl_structure
closure_call_count,dsl_structure
decision_op_count,dsl_structure
distinct_primitive_count,dsl_structure
geometry_op_count,dsl_structure
higher_order_count,dsl_structure
max_dependency_depth,dsl_structure
max_fan_in,dsl_structure
named_call_count,dsl_structure
object_op_count,dsl_structure
selection_op_count,dsl_structure
set_op_count,dsl_structure
temp_var_count,dsl_structure
bundle_branch_opcode_count_dynamic,dynamic_execution
bundle_branch_opcode_per_input_cell,dynamic_execution
bundle_distinct_function_count_dynamic,dynamic_execution
bundle_opcode_count_dynamic,dynamic_execution
bundle_opcode_per_input_cell,dynamic_execution
bundle_opcode_per_output_cell,dynamic_execution
bundle_python_call_count_dynamic,dynamic_execution
bundle_python_calls_per_example,dynamic_execution
current_memory_bytes,dynamic_execution
dsl_branch_opcode_count_dynamic,dynamic_execution
dsl_distinct_function_count_dynamic,dynamic_execution
dsl_opcode_count_dynamic,dynamic_execution
dsl_python_call_count_dynamic,dynamic_execution
elapsed_ms_per_example,dynamic_execution
elapsed_ms_per_input_cell,dynamic_execution
elapsed_ms_per_output_cell,dynamic_execution
elapsed_ms_total,dynamic_execution
peak_memory_bytes,dynamic_execution
peak_memory_per_input_cell,dynamic_execution
primitives_branch_opcode_count_dynamic,dynamic_execution
primitives_distinct_function_count_dynamic,dynamic_execution
primitives_opcode_count_dynamic,dynamic_execution
primitives_python_call_count_dynamic,dynamic_execution
solver_branch_opcode_count_dynamic,dynamic_execution
solver_distinct_function_count_dynamic,dynamic_execution
solver_opcode_count_dynamic,dynamic_execution
solver_python_call_count_dynamic,dynamic_execution
assignment_node_count,python_static
ast_node_count,python_static
branch_node_count,python_static
call_count_static,python_static
comment_lines,python_static
comprehension_count,python_static
constant_count,python_static
cyclomatic_complexity,python_static
function_count,python_static
gzip_bytes,python_static
halstead_difficulty,python_static
halstead_distinct_operands,python_static
halstead_distinct_operators,python_static
halstead_effort,python_static
halstead_length,python_static
halstead_total_operands,python_static
halstead_total_operators,python_static
halstead_vocabulary,python_static
halstead_volume,python_static
max_line_length,python_static
max_nesting_depth,python_static
mean_line_length,python_static
name_load_count,python_static
nonblank_lines,python_static
return_count,python_static
source_bytes,python_static
source_line_count,python_static
token_count,python_static
total_lines,python_static
example_count,task_shape
input_cells_total,task_shape
output_cells_total,task_shape
test_pairs,task_shape
train_pairs,task_shape
