sample,outcome,metric,metric_label,estimate,ci_low,ci_high,p_value,n,q_value_bh
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,complexity_pc1_score,Complexity PC1,0.2691256572327475,-0.03013592265193696,0.5339757555084177,0.1048158640226629,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,cyclomatic_complexity,Cyclomatic complexity,0.25757354801527294,-0.042854815664853926,0.5141119855861146,0.11798033661056491,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,ast_node_count,AST node count,0.2503749395369238,-0.046061679867387906,0.5105215436388784,0.13047825362439594,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,token_count,Token count,0.2473156439334797,-0.05122370301107418,0.5070962125405432,0.142309615064156,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.2236158781530537,-0.10213543885750705,0.5021137707826526,0.1774704215964006,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.22335100745959527,-0.09670563747493988,0.5002001864532063,0.18013664389268455,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,log1p_elapsed_ms_total,log(1+elapsed ms total),0.22006733350834226,-0.11419537508411227,0.4974441250280884,0.183136143976004,38,0.183136143976004
ARC-1 approved eval,compress_rank_difficulty,halstead_volume,Halstead volume,0.1474109559709344,-0.1821404756906374,0.4229525108449659,0.36477253791034825,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,ast_node_count,AST node count,0.1341483399001923,-0.1882159184320117,0.4122187683085602,0.4187635394100983,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,gzip_bytes,Gzip bytes,0.1253726950987092,-0.18757696148436387,0.4026074932276782,0.452591234794201,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,token_count,Token count,0.11910312222744347,-0.2094652911347919,0.40584734088806806,0.4842526245625729,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,cyclomatic_complexity,Cyclomatic complexity,0.11319934243968958,-0.21067318668699317,0.404911017508773,0.5035827362106315,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,nonblank_lines,Nonblank LOC,0.10436206915771085,-0.22647508605780495,0.37933833553788027,0.5302449591734711,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,complexity_pc1_score,Complexity PC1,0.0255400314106296,-0.3045038043412329,0.3348034656683975,0.8763539410098317,38,0.8763539410098315
ARC-1 approved eval,compress_rank_difficulty,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),-0.04993201403797049,-0.36862007540749725,0.275916104759738,0.7675387435427429,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,log1p_opcode_count_dynamic,log(1+dynamic opcodes),-0.05173978420253721,-0.366947768460021,0.28364299838686763,0.7523746042326279,38,0.8528208261586032
ARC-1 approved eval,compress_rank_difficulty,log1p_elapsed_ms_total,log(1+elapsed ms total),-0.05412111264517271,-0.36627749269877413,0.292083235156746,0.7600399933344443,38,0.8528208261586032
ARC-2 approved eval,arc2_non_llm_logit_difficulty,gzip_bytes,Gzip bytes,0.5036541207731998,-0.03669804101624528,0.8171335072540004,0.02816197300449925,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,nonblank_lines,Nonblank LOC,0.41042669535177995,-0.2593411619753342,0.7646985537049882,0.0868188635227462,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,halstead_volume,Halstead volume,0.40393488693519936,-0.13933991636002857,0.7335112768947336,0.10198300283286119,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,complexity_pc1_score,Complexity PC1,0.3968965438732505,-0.32777855485714663,0.7564899845035941,0.1048158640226629,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,token_count,Token count,0.3891454952285118,-0.20261967968013428,0.7338557061896159,0.12131311448091985,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,ast_node_count,AST node count,0.3791018912085461,-0.20413577652631906,0.7271256861723512,0.13547742042992836,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,cyclomatic_complexity,Cyclomatic complexity,0.3523798800129734,-0.16560874150284335,0.6636669143013809,0.1519746708881853,18,0.21710667269740758
ARC-2 approved eval,arc2_non_llm_logit_difficulty,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.07374139968745179,-0.48148164727164056,0.5925432590291368,0.7832027995334111,18,0.9790034994167639
ARC-2 approved eval,arc2_non_llm_logit_difficulty,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),-0.0035102101280659174,-0.5398339791701818,0.38610788431450904,0.9916680553241126,18,0.9916680553241125
ARC-2 approved eval,arc2_non_llm_logit_difficulty,log1p_elapsed_ms_total,log(1+elapsed ms total),-0.032927238033758306,-0.5672895786954112,0.3917807828574501,0.901183136143976,18,0.9916680553241125
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,gzip_bytes,Gzip bytes,0.5127127125324034,-0.07017429958225144,0.8332515155105317,0.025495750708215296,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,nonblank_lines,Nonblank LOC,0.42161725305003195,-0.2743568869435675,0.7735828689375122,0.08381936343942677,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,halstead_volume,Halstead volume,0.41333440680301403,-0.17503066227428804,0.7462420270377291,0.09148475254124312,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,complexity_pc1_score,Complexity PC1,0.41039206345755996,-0.3311456666023234,0.7551182570450709,0.08965172471254791,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,token_count,Token count,0.399788382840804,-0.23464755391724967,0.7401408757308389,0.09915014164305949,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,ast_node_count,AST node count,0.3893786174135843,-0.22846683359847117,0.7242515482249644,0.11848025329111815,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,cyclomatic_complexity,Cyclomatic complexity,0.36104829550096673,-0.17642444576310493,0.6701687046291065,0.13681053157807033,18,0.19544361654010048
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.08373874498803299,-0.4838355506342888,0.6003850179933542,0.7478753541076487,18,0.9348441926345609
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.004775415715455156,-0.538127454327371,0.3849295801190644,0.9871688051991335,18,0.9871688051991334
ARC-2 approved eval,arc2_non_llm_rasch_difficulty,log1p_elapsed_ms_total,log(1+elapsed ms total),-0.02462431149760391,-0.5661505960772262,0.40919092941347246,0.92751208131978,18,0.9871688051991334
ARC-2 approved eval,logit_difficulty_all,complexity_pc1_score,Complexity PC1,0.5409953140945114,0.2563271440230306,0.7881712059553114,0.02199633394434261,18,0.053991001499750044
ARC-2 approved eval,logit_difficulty_all,ast_node_count,AST node count,0.5321715526121471,0.18503505312467577,0.7760775334780297,0.026995500749875022,18,0.053991001499750044
ARC-2 approved eval,logit_difficulty_all,token_count,Token count,0.52626857708962,0.17932423570502443,0.7715361851566293,0.023996000666555575,18,0.053991001499750044
ARC-2 approved eval,logit_difficulty_all,cyclomatic_complexity,Cyclomatic complexity,0.5194600176412947,0.2693132074433126,0.7666100286888692,0.026328945175804034,18,0.053991001499750044
ARC-2 approved eval,logit_difficulty_all,halstead_volume,Halstead volume,0.5168802128071741,0.16542423128331632,0.7734981889575291,0.026828861856357272,18,0.053991001499750044
ARC-2 approved eval,logit_difficulty_all,nonblank_lines,Nonblank LOC,0.48086471983799156,0.12728173994814143,0.7418296862553221,0.04315947342109648,18,0.07193245570182748
ARC-2 approved eval,logit_difficulty_all,log1p_elapsed_ms_total,log(1+elapsed ms total),0.45468614631618154,0.11305800687477452,0.7508294744107867,0.05332444592567905,18,0.07617777989382722
ARC-2 approved eval,logit_difficulty_all,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.4112599084076329,0.07237275917133788,0.7321556460353135,0.08765205799033494,18,0.10956507248791868
ARC-2 approved eval,logit_difficulty_all,gzip_bytes,Gzip bytes,0.35006324064155697,-0.020491636847822344,0.6744547779282989,0.14380936510581568,18,0.1597881834509063
ARC-2 approved eval,logit_difficulty_all,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.33724583363468724,-0.0030445901182547877,0.646505553880051,0.17913681053157807,18,0.17913681053157807
ARC-2 human overlap,difficulty_weighted,ast_node_count,AST node count,0.23297270723687066,-0.27304564330741915,0.6542753197447151,0.3699383436093984,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,nonblank_lines,Nonblank LOC,0.221276384431324,-0.2670806235000602,0.6196163114998703,0.3894350941509748,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,token_count,Token count,0.20292659750166067,-0.3045880209565121,0.6294636562357294,0.4364272621229795,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,halstead_volume,Halstead volume,0.19573932917126596,-0.32806977939429716,0.6468925539192534,0.43942676220629895,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,cyclomatic_complexity,Cyclomatic complexity,0.15017735961627518,-0.35167433402683923,0.5959859297290147,0.5657390434927512,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,complexity_pc1_score,Complexity PC1,0.13540866647631442,-0.3682733869757878,0.6487691696735685,0.5990668221963006,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.13376223963566028,-0.31060903596123274,0.5679597460369651,0.607398766872188,17,0.8677125241031256
ARC-2 human overlap,difficulty_weighted,gzip_bytes,Gzip bytes,0.0757385496507266,-0.3819247540371287,0.5054924512935906,0.7680386602232961,17,0.9545075820696549
ARC-2 human overlap,difficulty_weighted,log1p_elapsed_ms_total,log(1+elapsed ms total),-0.014518009564352612,-0.4475944027753233,0.5710578560196893,0.954507582069655,17,0.9545075820696549
ARC-2 human overlap,difficulty_weighted,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),-0.0426689158769045,-0.47103347325956346,0.5700754791083532,0.8806865522412931,17,0.9545075820696549
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,complexity_pc1_score,Complexity PC1,0.55944994288265,0.34203983660871756,0.7198880873959814,0.00016663889351774705,56,0.00041659723379436765
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,cyclomatic_complexity,Cyclomatic complexity,0.5152348569551402,0.3508556639574243,0.6652879857110726,0.00016663889351774705,56,0.00041659723379436765
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,ast_node_count,AST node count,0.47021797340769017,0.29814608657339764,0.6155658451371957,0.00016663889351774705,56,0.00041659723379436765
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,log1p_elapsed_ms_total,log(1+elapsed ms total),0.4678858768966165,0.20387158068776104,0.685728852512299,0.0008331944675887352,56,0.0009257716306541503
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,token_count,Token count,0.46577168583188444,0.2848816575310856,0.617845844619904,0.00016663889351774705,56,0.00041659723379436765
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,halstead_volume,Halstead volume,0.4543543888200457,0.2772762354988524,0.6078691970903006,0.0006665555740709882,56,0.0009257716306541503
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.4541411150548718,0.1904966992347288,0.6764739660808373,0.0008331944675887352,56,0.0009257716306541503
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,nonblank_lines,Nonblank LOC,0.44467395107491964,0.24997300660538296,0.6062134126241747,0.0004999166805532411,56,0.0008331944675887352
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,gzip_bytes,Gzip bytes,0.427236477611001,0.20569313548808577,0.608868359903014,0.0004999166805532411,56,0.0008331944675887352
Pooled ARC-1+ARC-2 approved eval,pooled_llm_difficulty_z,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.3812768922361306,0.15245635251498182,0.6041340812623963,0.004165972337943676,56,0.004165972337943676
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,gzip_bytes,Gzip bytes,0.37775092330071436,0.1724317763114031,0.5527686689764285,0.006165639060156641,56,0.061656390601566406
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,nonblank_lines,Nonblank LOC,0.3002462247473808,0.07059608607642626,0.5065063011003006,0.02382936177303783,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,complexity_pc1_score,Complexity PC1,0.28971076410563096,0.04528849935979107,0.4998886102556835,0.03432761206465589,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,halstead_volume,Halstead volume,0.2833946406702486,0.05657301122476133,0.48470928253335077,0.03782702882852858,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,cyclomatic_complexity,Cyclomatic complexity,0.26745613831116555,0.052256531418252844,0.4606720155298653,0.05299116813864356,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,token_count,Token count,0.26484172598616207,0.03120424109731551,0.4632322786939289,0.0453257790368272,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,ast_node_count,AST node count,0.26253593350317983,0.038356650732667905,0.4679258889008569,0.05765705715714048,56,0.08236722451020069
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.1516848110368517,-0.11371230107808278,0.38844719396937405,0.2677887018830195,56,0.3161139810031661
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,log1p_elapsed_ms_total,log(1+elapsed ms total),0.13777021151454658,-0.14851384436624465,0.3825281323032482,0.31328111981336443,56,0.3161139810031661
Pooled ARC-1+ARC-2 approved eval,pooled_non_llm_difficulty_z,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.13725096863442013,-0.15980151397747167,0.42986339569029886,0.3161139810031661,56,0.3161139810031661
