task_id,source_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,return_count,name_load_count,constant_count,assignment_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,input_cells_total,output_cells_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,opcode_per_input_cell,elapsed_ms_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell,distinct_function_count_dynamic,expanded_source_bytes,expanded_function_inventory_count,expanded_constant_count,expanded_function_inventory,expanded_constant_inventory,complexity_pc1_score,log1p_opcode_count_dynamic,log1p_branch_opcode_count_dynamic,log1p_python_call_count_dynamic,log1p_elapsed_ms_total,log1p_elapsed_ms_per_test,log1p_peak_memory_bytes,log1p_ast_node_count,log1p_cyclomatic_complexity
09629e4f,6722,252,224,1,1880,1731,23,111,18,33,38,494,74,42,62,5,103,25.674603,2010,29.0,171.0,847.0,673.0,200.0,1520.0,11618.661408457581,57.067251461988306,663045.072248148,ok,605,605,443.9103,443.9103,246076,49552,7900,63816,37208,406.73719008264464,0.7337360330578513,81.90413223140496,13.057851239669422,30,6722,22,5,add|argmin|decrement|rbind|apply|mostcolor|height|width|shape|asindices|ofcolor|ulcorner|crop|toindices|shift|objects|uppermost|lowermost|leftmost|rightmost|fill|upscale,F|T|FOUR|FIVE|UNITY,3.77886325779002,12.413399774067756,10.810798082829503,8.974744612722734,6.097872688813958,6.097872688813958,11.06377489151959,7.4570320891223805,4.143134726391533
0962bcdd,4268,157,140,1,1197,1118,14,71,14,19,19,337,39,32,46,5,103,26.184713,1396,29.0,131.0,538.0,446.0,160.0,984.0,7204.777245369165,49.36641221374046,355674.0034030717,ok,432,432,128.5522,128.5522,71328,17145,2154,43634,25746,165.11111111111111,0.297574537037037,39.6875,4.986111111111111,24,4268,13,3,add|merge|fork|apply|mapply|mostcolor|leastcolor|asindices|ofcolor|toindices|objects|fill|replace,F|T|ZERO,1.2427051468818038,11.175058255827114,9.749520189238702,7.675546002537848,4.864083888724214,4.864083888724214,10.683614859597412,7.020190708311925,3.8501476017100584
0a938d79,6880,278,246,1,1961,1777,28,115,14,29,43,511,83,43,59,5,103,23.748201,1919,29.0,181.0,868.0,711.0,210.0,1579.0,12180.793672394808,56.9585635359116,693800.5103069297,ok,1098,1098,156.1974,156.1974,100954,25775,5953,84103,31202,91.94353369763206,0.14225628415300545,23.474499089253186,5.4216757741347905,31,6880,27,4,add|subtract|multiply|double|combine|merge|argmax|argmin|interval|branch|compose|apply|mapply|mostcolor|height|width|portrait|asindices|toindices|recolor|objects|uppermost|lowermost|leftmost|rightmost|color|paint,F|T|THREE|TEN,3.4069602409518525,11.522430151984475,10.157199105416755,8.691818541575723,5.057502340418124,5.057502340418124,11.339809407255666,7.48324441607385,4.0943445622221
0b148d64,2818,114,99,1,714,592,15,46,10,7,22,165,29,3,21,2,90,23.719298,899,19.0,81.0,305.0,249.0,100.0,554.0,3680.696329135197,29.203703703703702,107489.96501937418,ok,1361,253,98.1188,98.1188,61865,19115,3079,35120,14680,45.4555473916238,0.07209316678912564,14.044819985304922,2.2623071271124173,17,2818,14,0,argmin|height|width|shape|ulcorner|crop|toindices|partition|uppermost|lowermost|leftmost|rightmost|palette|subgrid,,-1.0931500867453647,11.032726034745998,9.85828095969805,8.03268487596762,4.596319130710072,4.596319130710072,10.466554521147781,6.385194398997726,3.091042453358316
0ca9ddb6,1636,69,58,1,446,395,7,29,6,4,9,121,15,13,15,2,95,22.710145,674,18.0,71.0,186.0,167.0,89.0,353.0,2285.9339011311386,21.16901408450704,48390.966949297195,ok,324,324,13.1603,13.1603,10263,3007,313,16160,12032,31.675925925925927,0.04061820987654321,9.280864197530864,0.9660493827160493,10,1636,6,4,merge|apply|mapply|ofcolor|toindices|fill,ONE|TWO|FOUR|SEVEN,-4.105492965923769,9.236397906295473,8.00903068506973,5.749392985908253,2.650442274481822,2.650442274481822,9.690356211348643,5.981414211254481,2.772588722239781
0d3d703e,512,33,23,1,177,153,2,6,2,1,2,49,9,12,5,2,95,14.515152,341,19.0,38.0,67.0,71.0,57.0,138.0,804.9388219547343,17.75,14287.664089696535,ok,45,45,5.1813,5.1813,4194,1019,345,12560,10224,93.2,0.11514,22.644444444444446,7.666666666666667,3,512,1,8,switch,ONE|TWO|THREE|FOUR|FIVE|SIX|EIGHT|NINE,-8.314307633221022,8.341648618901306,6.927557906278317,5.846438775057725,1.821528605334936,1.821528605334936,9.438352054687252,5.0369526024136295,1.791759469228055
0dfd9992,6735,269,236,1,1916,1719,30,109,21,18,43,477,97,42,50,2,126,24.037175,1945,28.0,171.0,860.0,689.0,199.0,1549.0,11829.131537222112,56.409356725146196,667273.7006318391,ok,1764,1764,1891.8152,1891.8152,1185842,257515,84504,2320322,134942,672.2460317460317,1.072457596371882,145.98356009070295,47.904761904761905,33,6735,29,3,difference|merge|decrement|toivec|tojvec|astuple|lbind|apply|mapply|height|width|colorfilter|crop|toindices|shift|normalize|dneighbors|ineighbors|neighbors|partition|uppermost|lowermost|leftmost|rightmost|palette|asobject|paint|hperiod|vperiod,ZERO|ONE|ORIGIN,5.249237677854597,13.985964472036798,12.458837133077902,11.344565983192329,7.545820523622986,7.545820523622986,14.657216958089643,7.450079569807499,3.9318256327243257
0e206a2e,7009,276,247,1,1960,1766,25,119,16,24,35,540,58,60,55,5,103,24.394928,2096,29.0,202.0,860.0,728.0,231.0,1588.0,12468.577477768698,52.257425742574256,651575.7616600315,ok,1142,1142,2892.9585,2892.9585,1813700,289821,83739,125810,77218,1588.1786339754817,2.533238616462347,253.78371278458843,73.32661996497373,51,7009,24,4,add|combine|merge|argmax|sfilter|totuple|remove|astuple|product|compose|chain|rbind|lbind|fork|apply|mapply|mostcolor|asindices|toindices|objects|palette|fill|paint|cover,F|T|ZERO|ONE,5.496605876635684,14.410880066964463,12.577022220411106,11.335472039573135,7.9703805670747885,7.9703805670747885,11.742536059807348,7.4770384723196965,4.02535169073515
10fcaaa3,2365,93,81,1,646,576,11,38,11,7,13,177,16,13,25,3,103,24.430108,844,20.0,85.0,277.0,242.0,105.0,519.0,3484.6934236687175,28.47058823529412,99211.27159150937,ok,81,324,20.1747,20.1747,13822,3812,437,19544,12944,170.64197530864197,0.2490703703703704,47.06172839506173,5.395061728395062,13,2365,10,1,merge|apply|mapply|mostcolor|leastcolor|ofcolor|toindices|underfill|hconcat|vconcat,EIGHT,-2.341317263667017,9.534089150464357,8.246171559857563,6.082218910376446,3.0528070727872247,3.0528070727872247,9.880474778227056,6.3578422665081,3.258096538021482
11852cab,4537,159,144,1,1371,1328,14,92,16,24,26,379,48,30,50,5,103,27.534591,1351,28.0,118.0,656.0,486.0,146.0,1142.0,8210.77964624098,57.66101694915254,473441.90434765787,ok,400,400,98.1381,98.1381,53695,11218,1768,27706,12954,134.2375,0.24534525,28.045,4.42,17,4537,13,1,add|merge|mostcolor|asindices|ulcorner|lrcorner|toindices|objects|hmirror|vmirror|dmirror|cmirror|paint,T,1.3011859332123041,10.891093789826877,9.325364048544964,7.478169694159785,4.596513827591351,4.596513827591351,10.229440367831474,7.192182058713246,3.9318256327243257
1190e5a7,2876,102,90,1,830,772,12,60,16,7,17,225,28,15,29,3,105,27.196078,1066,23.0,100.0,389.0,301.0,123.0,690.0,4790.335008684076,34.614999999999995,165817.44632559925,ok,1559,59,61.3636,61.3636,38117,10764,3229,38468,20028,24.44964720974984,0.03936087235407312,6.904425914047466,2.0711994868505452,20,2876,11,0,difference|increment|sfilter|astuple|apply|mostcolor|ulcorner|toindices|dmirror|canvas|frontiers,,-0.8918858967814084,10.548441890494589,9.284055409798464,8.080237416216702,4.132981771836966,4.132981771836966,10.557608001127225,6.650279048587422,3.4011973816621555
137eaa0f,4584,177,156,1,1308,1192,15,70,12,20,23,339,53,33,42,5,103,24.898305,1599,29.0,147.0,588.0,475.0,176.0,1063.0,7929.375810611447,46.85374149659864,371520.924459771,ok,484,36,84.7179,84.7179,49509,9834,1686,26750,13262,102.29132231404958,0.17503698347107438,20.318181818181817,3.4834710743801653,31,4584,14,6,add|merge|chain|matcher|rbind|fork|apply|mapply|mostcolor|asindices|shift|objects|paint|canvas,F|T|ZERO|FIVE|UNITY|THREE_BY_THREE,0.8206807662890082,10.80992994835547,9.19370273082316,7.430707082545968,4.451061671938511,4.451061671938511,10.19432713480299,7.084226422097916,3.7612001156935624
150deff5,7433,292,258,1,2197,2067,27,149,21,27,47,610,81,62,57,4,94,24.455479,2038,24.0,186.0,993.0,798.0,210.0,1791.0,13816.213722140024,51.483870967741936,711312.1645334025,ok,339,339,414.6907,414.6907,269170,43577,11436,28952,18544,794.0117994100295,1.223276401179941,128.5457227138643,33.73451327433628,26,7433,26,7,add|merge|astuple|lbind|apply|mapply|height|width|shape|ulcorner|lrcorner|toindices|shift|normalize|uppermost|lowermost|leftmost|rightmost|asobject|hmirror|vmirror|dmirror|fill|vconcat|canvas|occurrences,ONE|TWO|THREE|FIVE|EIGHT|UNITY|TWO_BY_TWO,3.9058991529522467,12.503102144352457,10.682307714834224,9.344608992781216,6.029941474105523,6.029941474105523,10.273429104575246,7.63433723562832,4.060443010546419
178fcbfb,4556,173,154,1,1289,1197,16,77,14,19,21,353,45,32,48,5,103,25.33526,1463,30.0,133.0,577.0,475.0,163.0,1052.0,7730.862018251093,53.57142857142858,414153.3224063086,ok,403,403,84.1203,84.1203,55863,13651,2763,41740,15556,138.6178660049628,0.20873523573200992,33.873449131513645,6.856079404466501,29,4556,15,3,add|difference|merge|compose|fork|apply|mapply|mostcolor|colorfilter|asindices|ofcolor|toindices|objects|fill|paint,F|T|TWO,1.3402218040365963,10.930675444525871,9.521641310026597,7.92443418488756,4.444065550023214,4.444065550023214,10.63923913817842,7.088408778675395,3.8918202981106265
1a07d186,5678,219,196,1,1591,1428,20,93,14,23,29,421,52,39,51,5,103,24.926941,1731,30.0,159.0,704.0,584.0,189.0,1288.0,9740.168242396741,55.09433962264151,536628.1371282734,ok,1286,1286,339.25,339.25,212795,44652,13699,82134,42814,165.47045101088648,0.26380248833592534,34.72161741835148,10.652410575427682,39,5678,19,3,add|difference|merge|sfilter|compose|chain|rbind|lbind|fork|apply|mapply|mostcolor|sizefilter|asindices|toindices|objects|fill|paint|cover,F|T|ONE,3.1623585206919356,12.26808923928048,10.706676773297268,9.525151111816216,5.829680641531575,5.829680641531575,11.3161195139753,7.264730177929867,3.9512437185814275
1b2d62fb,2227,99,84,1,635,556,12,39,8,5,14,155,26,13,17,2,95,21.494949,803,24.0,75.0,274.0,228.0,99.0,502.0,3327.937023279964,36.480000000000004,121403.14260925309,ok,210,90,12.9166,12.9166,7732,1785,577,16302,13070,36.819047619047616,0.061507619047619054,8.5,2.7476190476190476,13,2227,11,3,intersection|ofcolor|toindices|rot90|rot270|fill|replace|tophalf|bottomhalf|lefthalf|righthalf,ZERO|EIGHT|NINE,-3.2157487278877124,8.953252164609035,7.487733761436444,6.359573868672378,2.633082372198119,2.633082372198119,9.699104418939655,6.322565239927284,2.8903717578961645
1bfc4729,3636,143,126,1,1088,1015,17,76,16,8,21,300,35,25,30,2,103,24.426573,1220,26.0,117.0,497.0,400.0,143.0,897.0,6422.404589090215,44.44444444444444,285440.2039595651,ok,300,300,25.9404,25.9404,14137,4176,681,28990,10134,47.123333333333335,0.086468,13.92,2.27,18,3636,16,0,combine|first|leastcolor|asindices|ofcolor|ulcorner|lrcorner|toindices|hmirror|fill|vconcat|replace|tophalf|bottomhalf|hfrontier|box,,-0.7991093212954926,9.556621486730899,8.337348564497175,6.525029657843462,3.2936270186819385,3.2936270186819385,10.274740715974103,6.923628628138427,3.4339872044851463
1c786137,4316,168,148,1,1184,1056,18,68,11,19,27,290,56,19,38,5,103,24.690476,1364,28.0,118.0,527.0,421.0,146.0,948.0,6815.953681818257,49.94915254237288,340451.11017488816,ok,1269,215,884.2759,884.2759,474048,85096,14770,164519,15846,373.56028368794324,0.6968289204097714,67.05752561071711,11.639085894405044,18,4316,17,2,add|argmax|mostcolor|height|width|shape|asindices|ulcorner|crop|toindices|objects|uppermost|lowermost|leftmost|rightmost|subgrid|trim,F|T,2.686612167363746,13.069065970861757,11.351547061296127,9.6004210780406,6.785899347835985,6.785899347835985,12.010787422344361,6.963189985870238,3.6635616461296463
1caeab9d,4855,184,165,1,1371,1254,17,81,13,21,24,367,46,32,47,5,103,25.38587,1564,29.0,141.0,613.0,502.0,170.0,1115.0,8261.470893793537,51.6241134751773,426491.11089307204,ok,300,300,77.5134,77.5134,46687,10533,1193,24610,9522,155.62333333333333,0.258378,35.11,3.9766666666666666,25,4855,16,2,add|merge|chain|lbind|fork|apply|mapply|mostcolor|asindices|ofcolor|toindices|objects|lowermost|fill|paint|cover,T|ONE,1.2146429988124736,10.751242451322511,9.262363400043334,7.085064293952548,4.36326931085761,4.36326931085761,10.11094877644823,7.134890851565884,3.871201010907891
1cf80156,4126,158,140,1,1124,1004,17,67,10,19,26,278,50,17,37,5,103,25.113924,1289,28.0,111.0,502.0,398.0,139.0,900.0,6407.046965451157,50.1981981981982,321622.2134368815,ok,540,70,61.7386,61.7386,37842,8539,1112,25828,11900,70.07777777777778,0.11433074074074073,15.812962962962963,2.0592592592592593,20,4126,16,1,add|first|mostcolor|height|width|shape|asindices|ulcorner|crop|toindices|objects|uppermost|lowermost|leftmost|rightmost|subgrid,T,0.307032410980442,10.54120130120716,9.052516286782616,7.014814351275545,4.138976888200526,4.138976888200526,10.159253170667593,6.912742820493176,3.6375861597263857
1e0a9b12,1007,41,36,1,284,229,5,15,3,2,7,58,10,5,6,2,68,23.560976,451,19.0,44.0,127.0,98.0,63.0,225.0,1344.8879827874812,21.159090909090907,28456.6070903442,ok,102,102,2.2211,2.2211,1365,136,234,8842,6610,13.382352941176471,0.02177549019607843,1.3333333333333333,2.2941176470588234,9,1007,4,0,rbind|apply|rot90|rot270,,-7.301168015368554,7.2196420401307355,4.919980925828125,5.459585514144159,1.1697229161260625,1.1697229161260625,9.087381464575735,5.438079308923196,1.9459101490553132
1e32b0e9,6479,267,234,1,1837,1642,28,108,19,17,41,490,65,42,53,3,103,23.265918,1952,27.0,180.0,803.0,675.0,207.0,1478.0,11370.973723184003,50.625,575655.5447361901,ok,1156,1156,84.3337,84.3337,59901,16155,3146,61146,38922,51.817474048442904,0.0729530276816609,13.97491349480969,2.7214532871972317,34,6479,27,5,subtract|divide|difference|merge|initset|extract|totuple|first|interval|astuple|product|compose|matcher|lbind|apply|mapply|papply|mostcolor|height|crop|toindices|partition|uppermost|lowermost|palette|asobject|underfill,ZERO|ONE|TWO|THREE|ORIGIN,2.4306927478497267,11.000465172527777,9.690046776683303,8.054204897064407,4.446569452677221,4.446569452677221,11.021036080222563,7.404279118037268,3.9889840465642745
1f0c79e5,4031,167,145,1,1131,997,18,67,14,11,24,301,32,26,32,2,103,23.137725,1386,23.0,141.0,490.0,418.0,164.0,908.0,6680.65722019322,34.09219858156028,227758.29260616176,ok,405,405,60.1866,60.1866,39790,9591,2035,38958,22742,98.24691358024691,0.14860888888888887,23.68148148148148,5.0246913580246915,23,4031,17,4,invert|combine|merge|interval|compose|lbind|apply|mapply|prapply|leastcolor|ofcolor|ulcorner|toindices|recolor|shift|paint|replace,ZERO|ONE|TWO|NINE,0.16223801038310937,10.591396035047872,9.16868469670735,7.618742377670413,4.113928211295933,4.113928211295933,10.57026509007593,6.905753276311464,3.4965075614664802
1f642eb9,4141,161,143,1,1159,1046,15,64,10,17,20,305,40,29,39,5,103,24.720497,1428,30.0,133.0,513.0,425.0,163.0,938.0,6893.1070086687505,47.93233082706767,330402.6855658894,ok,400,400,187.554,187.554,114489,22854,9102,26536,10088,286.2225,0.468885,57.135,22.755,32,4141,14,3,add|difference|merge|first|compose|rbind|fork|apply|mapply|mostcolor|sizefilter|asindices|objects|paint,F|T|ONE,1.4138537208372826,11.648242761917858,10.036925190765844,9.116359308505288,5.239384438011296,5.239384438011296,10.186295264571648,6.953684210870537,3.6888794541139363
1f85a75f,4170,159,141,1,1132,1009,17,66,10,19,26,280,50,17,37,5,103,25.226415,1319,28.0,114.0,505.0,402.0,142.0,907.0,6484.820637390747,49.368421052631575,320145.35567750107,ok,2700,40,415.0688,415.0688,247369,52213,4181,92030,13510,91.61814814814815,0.1537291851851852,19.338148148148147,1.5485185185185186,21,4170,16,1,add|argmax|mostcolor|height|width|shape|asindices|ulcorner|crop|toindices|objects|uppermost|lowermost|leftmost|rightmost|subgrid,T,1.6624600160221774,12.418640470472198,10.86310593714546,8.338544879988579,6.03085063120212,6.03085063120212,11.429880755795818,6.917705609835305,3.6375861597263857
1f876c06,2422,95,83,1,637,554,11,39,10,5,13,170,16,12,22,2,103,24.494737,908,23.0,90.0,275.0,235.0,113.0,510.0,3478.291270831746,30.02777777777778,104445.35732691993,ok,400,400,40.7091,40.7091,27146,8605,682,20158,10342,67.865,0.10177275,21.5125,1.705,19,2422,10,1,merge|compose|power|fork|apply|mapply|mostcolor|fgpartition|palette|paint,TWO,-2.1912068409291385,10.209021822019244,9.060214913398545,6.52649485957079,3.7307193304167168,3.7307193304167168,9.911406117780423,6.318968113746434,3.1354942159291497
1fad071e,3656,145,127,1,1078,1003,12,56,9,17,19,285,50,29,39,5,103,24.213793,1255,28.0,111.0,486.0,393.0,139.0,879.0,6257.549202923963,49.567567567567565,310171.4929233121,ok,324,20,75.479,75.479,42561,8599,595,24164,8508,131.36111111111111,0.23295987654320988,26.540123456790123,1.8364197530864197,13,3656,11,6,add|subtract|size|astuple|mostcolor|colorfilter|sizefilter|asindices|objects|hconcat|canvas,F|T|ZERO|ONE|FOUR|FIVE,-0.14368375693820717,10.658717115392617,9.0595174822416,6.39024066706535,4.337016193343856,4.337016193343856,10.092660584279184,6.911747300251674,3.6888794541139363
2013d3e2,4673,186,163,1,1294,1147,21,78,12,19,30,311,60,20,39,5,103,24.123656,1428,29.0,125.0,581.0,453.0,154.0,1034.0,7513.857283078528,52.548,394838.1725112105,ok,300,27,71.2759,71.2759,42234,8904,1236,25064,6912,140.78,0.23758633333333332,29.68,4.12,24,4673,20,2,add|first|mostcolor|height|width|shape|asindices|ulcorner|crop|toindices|objects|uppermost|lowermost|leftmost|rightmost|rot90|rot270|subgrid|tophalf|lefthalf,F|T,0.741292060624168,10.651004540161598,9.094368195723762,7.1204443723924875,4.280490740263481,4.280490740263481,10.129227729697604,7.045776576879511,3.6888794541139363
2204b7a8,5222,212,188,1,1481,1338,20,82,11,25,32,383,64,38,45,5,103,23.632075,1651,30.0,155.0,649.0,540.0,185.0,1189.0,8954.812556553894,52.25806451612903,467961.17231023574,ok,400,400,118.0846,118.0846,69427,13785,3769,28576,13488,173.5675,0.29521149999999996,34.4625,9.4225,34,5222,19,4,add|greater|decrement|branch|compose|lbind|mostcolor|height|width|shape|asindices|toindices|objects|uppermost|lowermost|leftmost|rightmost|replace|index,F|T|THREE|ORIGIN,1.8966896244621039,11.148045523340771,9.531408863445597,8.234830280442056,4.779834164894254,4.779834164894254,10.260357477464831,7.199678345691172,3.828641396489095
22168020,2235,91,80,1,604,512,10,35,7,5,13,156,15,14,17,2,62,23.56044,839,24.0,88.0,255.0,224.0,112.0,479.0,3260.7230076655924,30.545454545454547,99600.26641596718,ok,400,400,115.3251,115.3251,76651,14983,3648,23688,2588,191.6275,0.28831275,37.4575,9.12,18,2235,9,1,merge|remove|compose|lbind|fork|apply|mapply|palette|paint,ZERO,-1.7418329234729946,11.247030976588386,9.614738244123924,8.202208436436448,4.756388857390777,4.756388857390777,10.072766084358127,6.240275845170769,2.8903717578961645
