model_name,arc_agi_1_eval__00576224,arc_agi_1_eval__009d5c81,arc_agi_1_eval__00dbd492,arc_agi_1_eval__03560426,arc_agi_1_eval__0b17323b,arc_agi_1_eval__0bb8deee,arc_agi_1_eval__0c786b71,arc_agi_1_eval__0c9aba6e,arc_agi_1_eval__0f63c0b9,arc_agi_1_eval__12422b43,arc_agi_1_eval__12997ef3,arc_agi_1_eval__12eac192,arc_agi_1_eval__13713586,arc_agi_1_eval__140c817e,arc_agi_1_eval__17b80ad2,arc_agi_1_eval__17cae0c1,arc_agi_1_eval__195ba7dc,arc_agi_1_eval__1990f7a8,arc_agi_1_eval__19bb5feb,arc_agi_1_eval__1a2e2828,arc_agi_1_eval__1a6449f1,arc_agi_1_eval__1c02dbbe,arc_agi_1_eval__1c0d0a4b,arc_agi_1_eval__1d0a4b61,arc_agi_1_eval__1d398264,arc_agi_1_eval__1e81d6f9,arc_agi_1_eval__2037f2c7,arc_agi_1_eval__2072aba6,arc_agi_1_eval__20981f0e,arc_agi_1_eval__21f83797,arc_agi_1_eval__22a4bbc2,arc_agi_1_eval__32e9702f,arc_agi_1_eval__50aad11f,arc_agi_1_eval__97239e3d,arc_agi_1_eval__981571dc,arc_agi_1_eval__aa4ec2a5,arc_agi_1_eval__c62e2108,arc_agi_1_eval__fe9372f3,arc_agi_2_eval__1818057f,arc_agi_2_eval__291dc1e1,arc_agi_2_eval__2ba387bc,arc_agi_2_eval__38007db0,arc_agi_2_eval__3e6067c3,arc_agi_2_eval__45a5af55,arc_agi_2_eval__4a21e3da,arc_agi_2_eval__4c3d4a41,arc_agi_2_eval__58490d8a,arc_agi_2_eval__58f5dbd5,arc_agi_2_eval__8f215267,arc_agi_2_eval__981571dc,arc_agi_2_eval__a251c730,arc_agi_2_eval__aa4ec2a5,arc_agi_2_eval__b0039139,arc_agi_2_eval__b10624e5,arc_agi_2_eval__db0c5428,arc_agi_2_eval__db695cfb
gpt-5-1-2025-11-13-thinking-none,4.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,4.0,0.0,1.0,3.0,4.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
gpt-5-2-2025-12-11-thinking-high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,1.0,2.0,4.0,4.0,4.0
gpt-5-2-2025-12-11-thinking-low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,2.0
gpt-5-2-2025-12-11-thinking-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,1.0,2.0,4.0,4.0
gpt-5-2-2025-12-11-thinking-none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0
gpt-5-2-2025-12-11-thinking-xhigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
gpt-5-2-pro-2025-12-11-high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
gpt-5-2-pro-2025-12-11-medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
gpt-5-pro-2025-10-06,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0
grok-4-fast-reasoning,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,4.0,2.0
qwen3-235b-a22b-instruct-2507,4.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,4.0,3.0,4.0,2.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0
