target_metric,target_label,model,train_pearson_r,train_spearman_rho,loo_pearson_r,loo_spearman_rho,n
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_2,0.59856904646324,0.537904437453679,0.4476777765455995,0.39550226905930297,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_3,0.388643629400898,0.34648298846410963,0.3511946567424849,0.3098907042205541,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_3,0.6635022008822195,0.6265680254478944,0.4321922202306575,0.412511209139315,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_4,0.39757451834768864,0.33993030978391964,0.3684158556308804,0.31948578391424265,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_4,0.6966310128473486,0.6482603025772685,0.40308014927530184,0.39140552183966365,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_5,0.4086052605670827,0.34344395520029986,0.36735937358370024,0.3087557725754316,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_5,0.7204282099042907,0.6679155722520225,0.36199396435258524,0.3713429950061151,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_6,0.41052239052380807,0.3449237203581995,0.3650351983763792,0.3067679583216229,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_6,0.7387061010924809,0.6764961173519628,0.3276541093600668,0.3471938242019937,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_7,0.4154721459483487,0.34504447823989753,0.3694947319282513,0.3066103957468973,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_7,0.7498050149478954,0.6862008894640862,0.3081184352407254,0.3403589762085929,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_8,0.4257878643918055,0.3640537413582768,0.37567211013137497,0.3203785984120959,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_8,0.7590706273803874,0.6924293019599556,0.2890866760742726,0.3226263307758146,391
icecuber_failure,IceCuber failure rate,ridge,0.5891173822792343,0.5977060491301593,0.39471633472716283,0.3738836307020953,391
icecuber_failure,IceCuber failure rate,pcr_1,0.41539974815884473,0.40271714460127467,0.4074824997022579,0.39532742327176806,391
icecuber_failure,IceCuber failure rate,pls_1,0.43887220339273736,0.42656372999587905,0.4096677998096787,0.3952820875580901,391
icecuber_failure,IceCuber failure rate,pcr_2,0.4162357233943277,0.40688803025964654,0.40371740815039187,0.39310597330154823,391
icecuber_failure,IceCuber failure rate,pls_2,0.6008011381299061,0.6245901273411867,0.32732826103036594,0.31299776723260164,391
icecuber_failure,IceCuber failure rate,pcr_3,0.4181664826500646,0.40897347308883253,0.3981104817493444,0.39201791617327725,391
icecuber_failure,IceCuber failure rate,pls_3,0.6566906940522675,0.6792649980368004,0.3114768611293146,0.28498029617962545,391
icecuber_failure,IceCuber failure rate,pcr_4,0.42530920747878526,0.4132350301745603,0.40213703612920526,0.3896604590620236,391
icecuber_failure,IceCuber failure rate,pls_4,0.6795704216375261,0.7129947690131991,0.3039712315451553,0.27559580344828877,391
icecuber_failure,IceCuber failure rate,pcr_5,0.42828573931939323,0.4194006872347622,0.40078474169972994,0.38898042335685434,391
icecuber_failure,IceCuber failure rate,pls_5,0.6965193289875624,0.7256887688430265,0.2969718699046315,0.27545979630725487,391
icecuber_failure,IceCuber failure rate,pcr_6,0.4355263435729934,0.4336361013296401,0.40738053550723247,0.3979568946650894,391
icecuber_failure,IceCuber failure rate,pls_6,0.7069032665788401,0.7319450973305843,0.28608088671383325,0.2706088749437137,391
icecuber_failure,IceCuber failure rate,pcr_7,0.44111348102308867,0.43739896556491037,0.4086533565528169,0.3967781661094626,391
icecuber_failure,IceCuber failure rate,pls_7,0.7143019056761317,0.7394708258011249,0.26547823322294173,0.24735165382692276,391
icecuber_failure,IceCuber failure rate,pcr_8,0.4411156726943458,0.43726295842387647,0.4053395735430338,0.3978208875240556,391
icecuber_failure,IceCuber failure rate,pls_8,0.7183558104453671,0.7421002971944463,0.2592116656206378,0.23497500399284102,391
